text,affect
yelling,anger
ragetweet,anger
punishing,anger
diabolical,anger
riot,anger
growthefuckup,anger
destroyed,anger
retaliatory,anger
slaughterhouse,anger
manslaughter,anger
clash,anger
detonation,anger
sinister,anger
hellish,anger
quarrel,anger
bloody,anger
loath,anger
treacherous,anger
fumin,anger
hateeee,anger
accusing,anger
horrific,anger
revulsion,anger
madder,anger
retaliate,anger
scorn,anger
deplorable,anger
bomb,anger
resent,anger
devastation,anger
anarchist,anger
firestorm,anger
contemptible,anger
shittest,anger
smash,anger
cruel,anger
soangry,anger
rant,anger
deadly,anger
outburst,anger
snarl,anger
offend,anger
crazed,anger
revolting,anger
aggravating,anger
horror,anger
despise,anger
dontmesswithme,anger
stfu,anger
growling,anger
profane,anger
vulgarity,anger
douchebags,anger
fuckedoff,anger
violence,anger
molestation,anger
screaming,anger
erupt,anger
horrible,anger
threat,anger
bastards,anger
revenge,anger
catastrophe,anger
menacing,anger
damn,anger
demon,anger
crushing,anger
thrash,anger
riotous,anger
fedup,anger
deplore,anger
warfare,anger
argue,anger
vehement,anger
persecute,anger
flog,anger
revolt,anger
altercation,anger
warlike,anger
shitday,anger
castrate,anger
mutiny,anger
sabotage,anger
malevolent,anger
strike,anger
disaster,anger
disastrous,anger
madden,anger
scream,anger
arseholes,anger
brutal,anger
horseshit,anger
bastarding,anger
tumult,anger
disdain,anger
devil,anger
slay,anger
aggravates,anger
treachery,anger
vermin,anger
scorching,anger
choke,anger
spiteful,anger
mutilation,anger
mangle,anger
criminal,anger
anarchism,anger
punch,anger
denunciation,anger
holocaust,anger
virulence,anger
fatal,anger
blasphemous,anger
hurting,anger
dontlikeyou,anger
dumbasses,anger
battled,anger
crucifixion,anger
irritated,anger
evil,anger
atrocious,anger
deranged,anger
kidnap,anger
aggravated,anger
assassin,anger
scolding,anger
dicks,anger
slayer,anger
intimidation,anger
persecution,anger
aggression,anger
armed,anger
poison,anger
venom,anger
snarling,anger
battle,anger
disgruntled,anger
assailant,anger
resentment,anger
insidious,anger
lynch,anger
contemptuous,anger
infanticide,anger
imprisonment,anger
temper,anger
terrible,anger
mad,anger
lunatic,anger
domination,anger
peeved,anger
makesmemad,anger
bully,anger
curse,anger
disparage,anger
volatility,anger
eradication,anger
devastate,anger
tantrum,anger
scoundrel,anger
eradicate,anger
aggressively,anger
agitation,anger
dictatorship,anger
irritates,anger
profanity,anger
shot,anger
expletive,anger
nasty,anger
crime,anger
poisonous,anger
corrupting,anger
dastardly,anger
shoot,anger
shove,anger
condemnation,anger
aggravation,anger
wreak,anger
egregious,anger
contempt,anger
crushed,anger
harmful,anger
cruelly,anger
maniac,anger
combat,anger
aggressive,anger
hit,anger
fight,anger
shout,anger
cutthroat,anger
irritable,anger
odious,anger
shooting,anger
kick,anger
eruption,anger
enemy,anger
punished,anger
ambush,anger
yell,anger
harass,anger
incense,anger
gore,anger
malignant,anger
grudge,anger
antichrist,anger
aggressor,anger
expel,anger
destruction,anger
cranky,anger
growl,anger
slave,anger
spank,anger
denounce,anger
reprisal,anger
insulting,anger
clashing,anger
insurrection,anger
offended,anger
animosity,anger
growls,anger
executioner,anger
twat,anger
doomsday,anger
arson,anger
grr,anger
daemon,anger
spat,anger
obscenity,anger
havoc,anger
shackle,anger
accused,anger
feud,anger
expulsion,anger
indignant,anger
reprimand,anger
inexcusable,anger
bombard,anger
somad,anger
spanking,anger
suicidal,anger
anarchy,anger
combatant,anger
hanging,anger
poisoned,anger
frustrated,anger
wound,anger
glaring,anger
batter,anger
disgusting,anger
kicking,anger
inflict,anger
wrecked,anger
grievous,anger
prosecute,anger
agitated,anger
cheat,anger
swastika,anger
raid,anger
cursing,anger
harassing,anger
provocation,anger
strife,anger
suffocation,anger
defamatory,anger
scourge,anger
injure,anger
enslaved,anger
indict,anger
betray,anger
thundering,anger
arsehole,anger
jerk,anger
insane,anger
retaliation,anger
deprivation,anger
convict,anger
theft,anger
irritate,anger
fiend,anger
cussed,anger
turmoil,anger
smack,anger
retribution,anger
slavery,anger
irritability,anger
bitterly,anger
battery,anger
antagonism,anger
twats,anger
oppressor,anger
injurious,anger
intolerable,anger
gang,anger
rebellion,anger
collision,anger
adverse,anger
disgraced,anger
revolution,anger
diatribe,anger
asshole,anger
ranting,anger
thug,anger
antagonistic,anger
blast,anger
sickening,anger
irritating,anger
irks,anger
bombardment,anger
discrimination,anger
frustrate,anger
oppression,anger
insult,anger
tiredofit,anger
manipulation,anger
bigot,anger
tension,anger
hurtful,anger
disgust,anger
spite,anger
intrusive,anger
harshness,anger
slur,anger
wretch,anger
invasion,anger
morbidity,anger
assail,anger
tempest,anger
miserable,anger
puncture,anger
casualty,anger
bitterness,anger
inferno,anger
storming,anger
consternation,anger
raving,anger
guilty,anger
depraved,anger
immoral,anger
forcibly,anger
overpowering,anger
guillotine,anger
recalcitrant,anger
accursed,anger
invader,anger
scare,anger
screwed,anger
soannoyed,anger
jealousy,anger
indignation,anger
vexed,anger
confront,anger
brute,anger
throttle,anger
bickering,anger
coup,anger
defiant,anger
criminality,anger
provoking,anger
conflict,anger
revolver,anger
butcher,anger
lash,anger
incarceration,anger
contentious,anger
shutit,anger
yousuck,anger
damage,anger
wreck,anger
pillage,anger
shutup,anger
blaze,anger
slut,anger
cancer,anger
blasphemy,anger
disturbance,anger
dontmess,anger
standoff,anger
pernicious,anger
alienation,anger
gun,anger
discord,anger
grope,anger
chaotic,anger
frustration,anger
gory,anger
condescension,anger
discriminate,anger
friggen,anger
death,anger
lunacy,anger
jab,anger
oppressive,anger
cursed,anger
monstrosity,anger
scandalous,anger
sneer,anger
shit,anger
slash,anger
disparaging,anger
unfair,anger
gallows,anger
escalate,anger
intolerant,anger
lawlessness,anger
grouchy,anger
bellows,anger
traitor,anger
frightful,anger
perdition,anger
slander,anger
taunt,anger
invade,anger
wrangling,anger
malign,anger
bluddy,anger
arghh,anger
dreadful,anger
bearish,anger
derogatory,anger
glare,anger
deceived,anger
torpedo,anger
retards,anger
beast,anger
cross,anger
hurt,anger
banshee,anger
uncontrollable,anger
shatter,anger
jeopardize,anger
devastating,anger
conflagration,anger
thief,anger
idiots,anger
fits,anger
grating,anger
rave,anger
dissension,anger
betrayal,anger
disturbed,anger
subjugation,anger
stomped,anger
grab,anger
ticked,anger
grievance,anger
masochism,anger
defiance,anger
blackmail,anger
offensive,anger
decry,anger
sin,anger
violation,anger
confine,anger
fustrated,anger
overbearing,anger
deceive,anger
misery,anger
rebel,anger
punishment,anger
firearms,anger
darkside,anger
arghhhh,anger
disparity,anger
frustrates,anger
disgraceful,anger
shrill,anger
ire,anger
preposterous,anger
hadenough,anger
stolen,anger
prejudice,anger
annoyin,anger
humiliate,anger
resentful,anger
conspirator,anger
callous,anger
ruined,anger
adversary,anger
menace,anger
wanker,anger
antagonist,anger
skirmish,anger
tackle,anger
heated,anger
foul,anger
argument,anger
sting,anger
grumble,anger
robbery,anger
entangled,anger
outcry,anger
irreconcilable,anger
resistance,anger
obstructive,anger
dismay,anger
mob,anger
juststop,anger
badness,anger
ridicule,anger
incendiary,anger
flares,anger
uprising,anger
twofaced,anger
exacerbation,anger
dispute,anger
whip,anger
communism,anger
prejudicial,anger
intruder,anger
belittle,anger
confinement,anger
unbridled,anger
allegation,anger
reckless,anger
degeneracy,anger
dictatorial,anger
unjustifiable,anger
bigoted,anger
unjust,anger
hassle,anger
perversion,anger
offender,anger
fiesty,anger
tackled,anger
dissonance,anger
renegade,anger
hot,anger
prison,anger
cantstandit,anger
trespass,anger
suicide,anger
annoy,anger
leavemealone,anger
dishonest,anger
depravity,anger
distrust,anger
broil,anger
idiotic,anger
treason,anger
venting,anger
tortious,anger
duress,anger
criticize,anger
grrr,anger
inimical,anger
disrespectful,anger
cretins,anger
prisoner,anger
divorce,anger
chaos,anger
coercion,anger
unforgiving,anger
unkind,anger
frustrating,anger
bile,anger
unleash,anger
argumentation,anger
jerks,anger
pow,anger
grump,anger
hangry,anger
victimized,anger
poachers,anger
scold,anger
poaching,anger
roar,anger
tussle,anger
bane,anger
repudiation,anger
accusation,anger
enmity,anger
banish,anger
disfigured,anger
storm,anger
fear,anger
crazy,anger
anguish,anger
confined,anger
scoff,anger
shun,anger
derogation,anger
banished,anger
hammering,anger
brunt,anger
possessed,anger
nobodycares,anger
frenzied,anger
ordeal,anger
delusional,anger
reject,anger
obstruct,anger
foaming,anger
intractable,anger
bout,anger
brazen,anger
patronising,anger
rejects,anger
fervor,anger
dominate,anger
derision,anger
spear,anger
suppression,anger
animus,anger
unruly,anger
disrupting,anger
malpractice,anger
defy,anger
injustice,anger
antithesis,anger
torture,fear
terrorist,fear
horrific,fear
terrorism,fear
terrorists,fear
suicidebombing,fear
kill,fear
homicidal,fear
terror,fear
murderer,fear
catastrophe,fear
annihilate,fear
dying,fear
war,fear
bombing,fear
bomb,fear
missiles,fear
horror,fear
horrified,fear
terrorize,fear
brutality,fear
bloodthirsty,fear
murderous,fear
massacre,fear
horrifying,fear
mutilation,fear
assassinate,fear
terrifying,fear
fatality,fear
horrors,fear
demon,fear
murder,fear
devastation,fear
killing,fear
terrified,fear
holocaust,fear
suicidal,fear
kidnap,fear
crucifixion,fear
slaughter,fear
assault,fear
doomed,fear
poisoned,fear
suicide,fear
explosion,fear
disastrous,fear
dismemberment,fear
annihilation,fear
savagery,fear
deadly,fear
slaughtering,fear
suffocation,fear
disaster,fear
threatening,fear
assassin,fear
rape,fear
hell,fear
slaughterhouse,fear
guillotine,fear
explosive,fear
annihilated,fear
demonic,fear
ihatespiders,fear
bloodshed,fear
dread,fear
homicide,fear
barbaric,fear
anthrax,fear
molestation,fear
warfare,fear
peril,fear
tragedy,fear
attacking,fear
paralyzed,fear
executioner,fear
suffocating,fear
treachery,fear
fright,fear
apocalypse,fear
bombardment,fear
afraid,fear
frightening,fear
frightened,fear
scariest,fear
panicked,fear
morgue,fear
traumatic,fear
execution,fear
monster,fear
vengeance,fear
destroying,fear
slayer,fear
abomination,fear
painful,fear
drown,fear
petrified,fear
scare,fear
death,fear
chaos,fear
ghastly,fear
evil,fear
explode,fear
devil,fear
fatal,fear
doomsday,fear
doom,fear
frighten,fear
cancer,fear
fear,fear
nightmare,fear
manslaughter,fear
trauma,fear
eradication,fear
gunmen,fear
intruder,fear
brutal,fear
violently,fear
grenade,fear
hellish,fear
assassination,fear
kidnapped,fear
paralyze,fear
morbidity,fear
crippling,fear
savage,fear
violence,fear
destructive,fear
crushed,fear
suffering,fear
violent,fear
heartattack,fear
damnation,fear
poisonous,fear
aggressor,fear
earthquake,fear
shooting,fear
quake,fear
frightful,fear
hurricane,fear
imprisoned,fear
exterminate,fear
fearing,fear
hemorrhage,fear
torment,fear
lethal,fear
venom,fear
claustrophobia,fear
snakes,fear
danger,fear
robbery,fear
exorcism,fear
obliterated,fear
terrifies,fear
extermination,fear
harmful,fear
incurable,fear
poison,fear
cruelty,fear
biggestfear,fear
mortality,fear
monstrosity,fear
destruction,fear
persecution,fear
anxietyattack,fear
attack,fear
hysteria,fear
bombers,fear
cyanide,fear
dreadfully,fear
arson,fear
devastate,fear
tyrant,fear
warcrimes,fear
perish,fear
feared,fear
screaming,fear
maniac,fear
freakingout,fear
bloody,fear
venomous,fear
rampage,fear
enslaved,fear
warlike,fear
lifeless,fear
snake,fear
epidemic,fear
panicattack,fear
dangerously,fear
invader,fear
crisis,fear
detonate,fear
hazardous,fear
jihad,fear
die,fear
scary,fear
invade,fear
reprisal,fear
obliterate,fear
riot,fear
criminal,fear
tumor,fear
violation,fear
fearful,fear
inferno,fear
ohshit,fear
shipwreck,fear
leprosy,fear
claustrophobic,fear
hyperventilating,fear
nightmares,fear
destroyed,fear
ghostly,fear
hurricanes,fear
tyranny,fear
panic,fear
ptsd,fear
dangerous,fear
strangle,fear
tragedies,fear
wrenching,fear
hazard,fear
destroyer,fear
projectiles,fear
cholera,fear
obliteration,fear
slavery,fear
imprisonment,fear
agony,fear
anaconda,fear
anarchist,fear
treacherous,fear
riotous,fear
mortuary,fear
dreadful,fear
anarchy,fear
fears,fear
accident,fear
malignancy,fear
bombard,fear
cannibal,fear
abominable,fear
tyrannical,fear
depraved,fear
mutiny,fear
scared,fear
dictatorship,fear
beast,fear
missile,fear
cursed,fear
melee,fear
threaten,fear
hostage,fear
diseased,fear
gore,fear
devilish,fear
malignant,fear
misery,fear
horrible,fear
shot,fear
bomber,fear
hyperventilate,fear
crash,fear
gun,fear
shoot,fear
victimized,fear
paralysis,fear
mafia,fear
tornado,fear
turmoil,fear
combat,fear
alligator,fear
ruin,fear
shooter,fear
contagious,fear
miscarriage,fear
lynch,fear
desperation,fear
casualty,fear
devastating,fear
seizure,fear
starvation,fear
excruciating,fear
phobia,fear
harm,fear
crime,fear
emergency,fear
shock,fear
fight,fear
injured,fear
scream,fear
struggle,fear
havoc,fear
mortification,fear
frantically,fear
carnage,fear
standoff,fear
infestation,fear
soscary,fear
panicking,fear
rupture,fear
frantic,fear
horrid,fear
burial,fear
arsenic,fear
neurotic,fear
carcinoma,fear
witchcraft,fear
hysterical,fear
deranged,fear
prey,fear
infectious,fear
assailant,fear
sabotage,fear
psychosis,fear
hatred,fear
terminal,fear
collapse,fear
anguish,fear
grisly,fear
diabolical,fear
avalanche,fear
dreaded,fear
gash,fear
sos,fear
aggressive,fear
malevolent,fear
agonizing,fear
cobra,fear
harrowing,fear
fugitive,fear
wrecked,fear
armed,fear
cripple,fear
freaked,fear
schizophrenia,fear
plague,fear
upheaval,fear
vendetta,fear
forcibly,fear
abduction,fear
crocodile,fear
offender,fear
mayhem,fear
wounding,fear
disease,fear
agoraphobia,fear
brawl,fear
banish,fear
oppression,fear
hostile,fear
guerilla,fear
cyclone,fear
radiation,fear
hopeless,fear
ambush,fear
beastly,fear
shrapnel,fear
socialanxiety,fear
cadaver,fear
leukemia,fear
rabid,fear
endanger,fear
contagion,fear
anarchism,fear
hurt,fear
trepidation,fear
gory,fear
paranoid,fear
alarm,fear
blast,fear
gallows,fear
coffin,fear
madness,fear
spook,fear
fury,fear
awful,fear
victim,fear
ghost,fear
trembling,fear
scarier,fear
stab,fear
viper,fear
nervouswreck,fear
tarantula,fear
thug,fear
dungeon,fear
carcass,fear
freakedout,fear
vermin,fear
felon,fear
atrocity,fear
fangs,fear
militants,fear
perishing,fear
militia,fear
grim,fear
outbreak,fear
abhorrent,fear
abuse,fear
frankenstorm,fear
sinister,fear
menace,fear
hurting,fear
gang,fear
crushing,fear
combatant,fear
eruption,fear
shatter,fear
persecute,fear
revolver,fear
injury,fear
mangle,fear
soscared,fear
menacing,fear
desolation,fear
ferocious,fear
battered,fear
cutthroat,fear
pandemic,fear
volcano,fear
scares,fear
cruelly,fear
nefarious,fear
fearfully,fear
purgatory,fear
despotic,fear
tumult,fear
malicious,fear
emetophobia,fear
selfharm,fear
lunatic,fear
bully,fear
typhoon,fear
xenophobia,fear
treason,fear
oppressive,fear
battlefield,fear
dictator,fear
smash,fear
radioactive,fear
encroachment,fear
stroke,fear
traitor,fear
blizzard,fear
coma,fear
cruel,fear
endangered,fear
armament,fear
ruthless,fear
punishment,fear
shitless,fear
neurosis,fear
debauchery,fear
spider,fear
distress,fear
alarming,fear
revenge,fear
crazed,fear
insane,fear
projectile,fear
flog,fear
bang,fear
ransom,fear
criminality,fear
hanging,fear
deteriorate,fear
dementia,fear
punished,fear
perturbation,fear
haunt,fear
raptors,fear
abortion,fear
despair,fear
cantbreathe,fear
scoundrel,fear
isolated,fear
quivering,fear
duress,fear
dreading,fear
targeted,fear
rattlesnake,fear
demise,fear
warlock,fear
perilous,fear
dastardly,fear
raging,fear
injurious,fear
intimidate,fear
conflict,fear
wildfire,fear
wreck,fear
tumour,fear
retaliation,fear
vehement,fear
demented,fear
hideous,fear
banshee,fear
antichrist,fear
aghast,fear
bestial,fear
serpent,fear
condemnation,fear
corrosive,fear
armaments,fear
fire,fear
exclusion,fear
nervousness,fear
seize,fear
pneumonia,fear
spiders,fear
revolting,fear
vampire,fear
mercenary,fear
sarcoma,fear
incarceration,fear
manic,fear
injure,fear
smuggler,fear
pestilence,fear
hurtful,fear
stunned,fear
vengeful,fear
irreparable,fear
lunacy,fear
thundering,fear
disfigured,fear
artillery,fear
incendiary,fear
daemon,fear
wracking,fear
turbulent,fear
landslide,fear
malice,fear
enemy,fear
combative,fear
sickening,fear
repression,fear
infection,fear
wicked,fear
inhuman,fear
meltdown,fear
prison,fear
ruinous,fear
madman,fear
virulence,fear
ill,fear
barbarian,fear
battled,fear
plummet,fear
blackmail,fear
hangman,fear
contaminated,fear
darkened,fear
merciless,fear
beating,fear
aggression,fear
injection,fear
alienation,fear
insurmountable,fear
dagger,fear
conflagration,fear
butcher,fear
malaria,fear
interrogation,fear
despotism,fear
wrath,fear
prosecute,fear
disintegrate,fear
shackle,fear
oblivion,fear
homeless,fear
sufferer,fear
rob,fear
ogre,fear
oppressor,fear
abandonment,fear
deplorable,fear
injuring,fear
illness,fear
bleeding,fear
infanticide,fear
scourge,fear
threat,fear
firearms,fear
nerves,fear
raid,fear
eviction,fear
villain,fear
torrent,fear
pounding,fear
haze,fear
cardiomyopathy,fear
infidel,fear
deceit,fear
possessed,fear
dragon,fear
terrible,fear
belligerent,fear
restrained,fear
goblin,fear
hypertrophy,fear
paranoia,fear
tribulation,fear
flee,fear
shelling,fear
masochism,fear
tremor,fear
burglar,fear
sickness,fear
anxiety,fear
pain,fear
sepsis,fear
euthanasia,fear
omen,fear
foe,fear
ominous,fear
fraught,fear
convict,fear
rot,fear
casket,fear
accursed,fear
lightning,fear
villainous,fear
wounded,fear
elimination,fear
lava,fear
spank,fear
hostilities,fear
dismal,fear
blockade,fear
punch,fear
haunted,fear
angina,fear
infliction,fear
dispossessed,fear
tumultuous,fear
quarantine,fear
desecration,fear
coward,fear
eatingdisorders,fear
grizzly,fear
demoralized,fear
worry,fear
curse,fear
deprivation,fear
shudder,fear
bacteria,fear
pained,fear
stealing,fear
failure,fear
sostressed,fear
hateful,fear
forbidding,fear
cringe,fear
parasite,fear
loss,fear
abyss,fear
surgery,fear
volatility,fear
apprehensive,fear
confined,fear
clashing,fear
jeopardy,fear
shady,fear
jail,fear
dire,fear
evacuate,fear
assail,fear
perdition,fear
mob,fear
toxin,fear
unholy,fear
comatose,fear
pillage,fear
incest,fear
wound,fear
forced,fear
cowardice,fear
domination,fear
crypt,fear
witch,fear
smuggle,fear
worries,fear
banished,fear
purge,fear
inflict,fear
masks,fear
afflict,fear
sacrifices,fear
deterioration,fear
eeek,fear
gunpowder,fear
misfortune,fear
ulcer,fear
incubus,fear
apprehend,fear
lawsuit,fear
distressing,fear
prisoner,fear
jitters,fear
corrupting,fear
thrash,fear
martyr,fear
travesty,fear
duel,fear
pitfall,fear
evasion,fear
overpowering,fear
vanished,fear
impending,fear
risky,fear
martyrdom,fear
appalling,fear
syncope,fear
polio,fear
risk,fear
confine,fear
grave,fear
turbulence,fear
degrading,fear
punishing,fear
powerless,fear
incrimination,fear
freak,fear
mange,fear
hunter,fear
unsafe,fear
sin,fear
worstfeeling,fear
perpetrator,fear
occult,fear
intimidation,fear
disable,fear
decay,fear
affliction,fear
autopsy,fear
vulnerability,fear
flood,fear
bondage,fear
abhor,fear
overthrow,fear
appendicitis,fear
outcry,fear
cannon,fear
siren,fear
growling,fear
jeopardize,fear
deformity,fear
samurai,fear
neuralgia,fear
talons,fear
defenseless,fear
beware,fear
noxious,fear
asylum,fear
scorpion,fear
outburst,fear
derogation,fear
enmity,fear
ailing,fear
scandal,fear
adder,fear
communism,fear
thief,fear
plunge,fear
precarious,fear
expulsion,fear
mad,fear
brigade,fear
needles,fear
insanity,fear
apparition,fear
senile,fear
coercion,fear
gonorrhea,fear
retribution,fear
uprising,fear
cemetery,fear
badness,fear
phantom,fear
abandoned,fear
fled,fear
rejection,fear
rebellion,fear
disembodied,fear
captor,fear
stormy,fear
stalk,fear
wrangling,fear
helpless,fear
subjugation,fear
slave,fear
hopelessness,fear
superstitious,fear
broken,fear
manifestation,fear
cowardly,fear
abandon,fear
deserted,fear
jarring,fear
frenzied,fear
theft,fear
bacterium,fear
saber,fear
manipulation,fear
lawlessness,fear
impotence,fear
penetration,fear
swastika,fear
atherosclerosis,fear
shaking,fear
carnivorous,fear
eek,fear
leeches,fear
buried,fear
harbinger,fear
endocarditis,fear
failing,fear
stressed,fear
punish,fear
unstable,fear
freakout,fear
incursion,fear
distrust,fear
suspense,fear
blood,fear
bear,fear
hiding,fear
unlawful,fear
crazy,fear
anxious,fear
cult,fear
captive,fear
deportation,fear
detainee,fear
enforce,fear
suspect,fear
oppress,fear
revulsion,fear
grievous,fear
fang,fear
exile,fear
insidious,fear
plunder,fear
foreboding,fear
intolerance,fear
incite,fear
sorcery,fear
emaciated,fear
shriek,fear
busted,fear
helplessness,fear
exacerbation,fear
biopsy,fear
badfeeling,fear
relapse,fear
plight,fear
growl,fear
troublesome,fear
chased,fear
embolism,fear
darkness,fear
conspirator,fear
palsy,fear
harshness,fear
unthinkable,fear
sting,fear
robber,fear
pernicious,fear
smite,fear
depression,fear
confinement,fear
snowmageddon,fear
illegal,fear
eeeek,fear
towering,fear
intolerant,fear
subvert,fear
cliff,fear
sinful,fear
wasp,fear
suppress,fear
brute,fear
prohibited,fear
suppression,fear
ruined,fear
instability,fear
constraint,fear
odious,fear
downfall,fear
surrender,fear
raving,fear
mistrust,fear
alcoholism,fear
blob,fear
frenetic,fear
scalpel,fear
vertigo,fear
prayforme,fear
infarct,fear
defiance,fear
squeamish,fear
madden,fear
premeditated,fear
hunting,fear
heartbreaking,sadness
mourning,sadness
tragic,sadness
holocaust,sadness
suicidal,sadness
misery,sadness
massacre,sadness
euthanasia,sadness
depression,sadness
fatal,sadness
bereavement,sadness
grieving,sadness
bereaved,sadness
devastation,sadness
death,sadness
suicide,sadness
devastated,sadness
catastrophe,sadness
horrifying,sadness
tragedy,sadness
died,sadness
depressing,sadness
anguish,sadness
agony,sadness
deadly,sadness
weeping,sadness
deceased,sadness
stillbirth,sadness
murderer,sadness
cancer,sadness
dying,sadness
rape,sadness
devastating,sadness
sadness,sadness
morbidity,sadness
execution,sadness
abandonment,sadness
crucifixion,sadness
grief,sadness
depressed,sadness
perish,sadness
traumatic,sadness
atrocity,sadness
cadaver,sadness
betrayed,sadness
treachery,sadness
funeral,sadness
grieve,sadness
murderous,sadness
miserable,sadness
hopelessness,sadness
persecution,sadness
sad,sadness
suffering,sadness
sorrow,sadness
homicide,sadness
slaughtering,sadness
destroyed,sadness
horrific,sadness
unhappiness,sadness
crippled,sadness
bloodshed,sadness
pained,sadness
manslaughter,sadness
carnage,sadness
unbearable,sadness
stillborn,sadness
torment,sadness
helplessness,sadness
annihilation,sadness
slavery,sadness
annihilated,sadness
enslaved,sadness
casualty,sadness
horrors,sadness
murder,sadness
mourn,sadness
morbid,sadness
abandoned,sadness
sickness,sadness
mutilation,sadness
miscarriage,sadness
starvation,sadness
cruelty,sadness
childloss,sadness
disgrace,sadness
killing,sadness
oppression,sadness
terrorism,sadness
failure,sadness
famine,sadness
heartache,sadness
burial,sadness
saddens,sadness
distraught,sadness
despair,sadness
sadly,sadness
mournful,sadness
bloody,sadness
inhumanity,sadness
perishing,sadness
malignancy,sadness
mortification,sadness
kill,sadness
lifeless,sadness
dreadful,sadness
slave,sadness
desolation,sadness
devastate,sadness
perished,sadness
assassination,sadness
mortuary,sadness
dreadfully,sadness
leukemia,sadness
sarcoma,sadness
lethal,sadness
gallows,sadness
brokenheart,sadness
banishment,sadness
afflict,sadness
disheartened,sadness
bury,sadness
desecration,sadness
demoralized,sadness
tumour,sadness
terrorize,sadness
crying,sadness
heartbreak,sadness
die,sadness
lynch,sadness
sufferer,sadness
loneliness,sadness
abortion,sadness
dismemberment,sadness
diseased,sadness
fearful,sadness
destitute,sadness
torture,sadness
slayer,sadness
cemetery,sadness
fatality,sadness
condolence,sadness
doomed,sadness
painfully,sadness
moribund,sadness
disaster,sadness
depress,sadness
condemnation,sadness
victimized,sadness
obliteration,sadness
depressive,sadness
terrorist,sadness
guilt,sadness
incest,sadness
pandemic,sadness
unhappy,sadness
defeated,sadness
painful,sadness
deplorable,sadness
damnation,sadness
doomsday,sadness
corpse,sadness
abduction,sadness
sorrowful,sadness
regretful,sadness
desperation,sadness
cry,sadness
sickening,sadness
hemorrhage,sadness
unfairness,sadness
molestation,sadness
exile,sadness
abysmal,sadness
hellish,sadness
exterminate,sadness
disgraced,sadness
homeless,sadness
destroying,sadness
battered,sadness
betrayal,sadness
horrid,sadness
warfare,sadness
assassin,sadness
disastrous,sadness
lonesome,sadness
miserably,sadness
morgue,sadness
slaughter,sadness
earthquake,sadness
orphan,sadness
listless,sadness
grave,sadness
emptiness,sadness
unfortunately,sadness
alienated,sadness
fraught,sadness
forsaken,sadness
leprosy,sadness
cried,sadness
paralysis,sadness
malicious,sadness
ashamed,sadness
woe,sadness
danger,sadness
disheartening,sadness
heartless,sadness
violently,sadness
cripple,sadness
horror,sadness
atrophy,sadness
missing,sadness
emaciated,sadness
pain,sadness
demise,sadness
sickly,sadness
disgruntled,sadness
violence,sadness
rejected,sadness
torn,sadness
calamity,sadness
grim,sadness
grievous,sadness
hearse,sadness
extinct,sadness
crushed,sadness
isolation,sadness
meltdown,sadness
obit,sadness
paralyzed,sadness
carcinoma,sadness
suffocating,sadness
deformed,sadness
inhuman,sadness
punishing,sadness
incurable,sadness
strangle,sadness
disfigured,sadness
victim,sadness
deformity,sadness
slaughterhouse,sadness
decomposition,sadness
humiliate,sadness
buried,sadness
oppressor,sadness
abandon,sadness
tearful,sadness
isolate,sadness
lifesucks,sadness
hell,sadness
ruinous,sadness
banish,sadness
ruined,sadness
