text,intensity,affect,stems,pos,pos_
chaos,0.839,fear,chao,92,NOUN
ghastly,0.836,fear,ghast,84,ADJ
evil,0.833,fear,evil,84,ADJ
explode,0.828,fear,explod,100,VERB
devil,0.828,fear,devil,92,NOUN
fatal,0.828,fear,fatal,84,ADJ
doomsday,0.828,fear,doomsday,92,NOUN
doom,0.828,fear,doom,92,NOUN
frighten,0.828,fear,frighten,100,VERB
cancer,0.828,fear,cancer,92,NOUN
fear,0.828,fear,fear,92,NOUN
nightmare,0.828,fear,nightmar,92,NOUN
manslaughter,0.828,fear,manslaught,92,NOUN
trauma,0.828,fear,trauma,92,NOUN
eradication,0.828,fear,erad,92,NOUN
gunmen,0.828,fear,gunmen,92,NOUN
intruder,0.828,fear,intrud,92,NOUN
brutal,0.828,fear,brutal,84,ADJ
violently,0.828,fear,violent,86,ADV
grenade,0.828,fear,grenad,100,VERB
hellish,0.828,fear,hellish,84,ADJ
assassination,0.828,fear,assassin,92,NOUN
kidnapped,0.828,fear,kidnap,100,VERB
paralyze,0.828,fear,paralyz,100,VERB
morbidity,0.820,fear,morbid,92,NOUN
crippling,0.817,fear,crippl,100,VERB
savage,0.814,fear,savag,84,ADJ
violence,0.812,fear,violenc,92,NOUN
destructive,0.812,fear,destruct,84,ADJ
crushed,0.812,fear,crush,100,VERB
suffering,0.812,fear,suffer,100,VERB
violent,0.812,fear,violent,84,ADJ
heartattack,0.812,fear,heartattack,92,NOUN
damnation,0.812,fear,damnat,92,NOUN
poisonous,0.812,fear,poison,84,ADJ
aggressor,0.812,fear,aggressor,92,NOUN
earthquake,0.812,fear,earthquak,92,NOUN
shooting,0.812,fear,shoot,100,VERB
quake,0.812,fear,quak,92,NOUN
frightful,0.812,fear,fright,84,ADJ
hurricane,0.811,fear,hurrican,92,NOUN
imprisoned,0.811,fear,imprison,100,VERB
exterminate,0.810,fear,extermin,100,VERB
fearing,0.808,fear,fear,100,VERB
hemorrhage,0.807,fear,hemorrhag,92,NOUN
torment,0.806,fear,torment,92,NOUN
lethal,0.806,fear,lethal,84,ADJ
venom,0.804,fear,venom,92,NOUN
claustrophobia,0.803,fear,claustrophobia,92,NOUN
snakes,0.802,fear,snake,92,NOUN
danger,0.802,fear,danger,92,NOUN
robbery,0.800,fear,robberi,92,NOUN
exorcism,0.800,fear,exorc,92,NOUN
obliterated,0.800,fear,obliter,100,VERB
terrifies,0.798,fear,terrifi,100,VERB
extermination,0.797,fear,extermin,92,NOUN
harmful,0.797,fear,harm,84,ADJ
incurable,0.797,fear,incur,84,ADJ
poison,0.797,fear,poison,92,NOUN
cruelty,0.797,fear,cruelti,92,NOUN
biggestfear,0.797,fear,biggestfear,92,NOUN
mortality,0.797,fear,mortal,92,NOUN
monstrosity,0.797,fear,monstros,92,NOUN
destruction,0.797,fear,destruct,92,NOUN
persecution,0.797,fear,persecut,92,NOUN
anxietyattack,0.797,fear,anxietyattack,84,ADJ
attack,0.797,fear,attack,92,NOUN
hysteria,0.797,fear,hysteria,92,NOUN
bombers,0.797,fear,bomber,92,NOUN
cyanide,0.797,fear,cyanid,92,NOUN
dreadfully,0.796,fear,dread,86,ADV
arson,0.794,fear,arson,92,NOUN
devastate,0.792,fear,devast,100,VERB
tyrant,0.788,fear,tyrant,92,NOUN
warcrimes,0.785,fear,warcrim,92,NOUN
perish,0.784,fear,perish,100,VERB
feared,0.782,fear,fear,100,VERB
screaming,0.781,fear,scream,100,VERB
maniac,0.781,fear,maniac,92,NOUN
freakingout,0.781,fear,freakingout,85,ADP
bloody,0.781,fear,bloodi,84,ADJ
venomous,0.781,fear,venom,84,ADJ
rampage,0.781,fear,rampag,92,NOUN
enslaved,0.781,fear,enslav,100,VERB
warlike,0.781,fear,warlik,84,ADJ
lifeless,0.781,fear,lifeless,84,ADJ
snake,0.776,fear,snake,92,NOUN
epidemic,0.776,fear,epidem,92,NOUN
panicattack,0.774,fear,panicattack,100,VERB
dangerously,0.766,fear,danger,84,ADJ
invader,0.766,fear,invad,92,NOUN
crisis,0.766,fear,crisi,92,NOUN
detonate,0.766,fear,deton,100,VERB
hazardous,0.766,fear,hazard,84,ADJ
jihad,0.766,fear,jihad,92,NOUN
die,0.766,fear,die,100,VERB
scary,0.766,fear,scari,84,ADJ
invade,0.766,fear,invad,100,VERB
reprisal,0.766,fear,repris,92,NOUN
obliterate,0.766,fear,obliter,100,VERB
riot,0.766,fear,riot,92,NOUN
criminal,0.766,fear,crimin,84,ADJ
tumor,0.766,fear,tumor,92,NOUN
violation,0.766,fear,violat,92,NOUN
fearful,0.766,fear,fear,84,ADJ
inferno,0.766,fear,inferno,92,NOUN
ohshit,0.766,fear,ohshit,101,X
shipwreck,0.766,fear,shipwreck,92,NOUN
leprosy,0.766,fear,leprosi,92,NOUN
claustrophobic,0.765,fear,claustrophob,84,ADJ
hyperventilating,0.762,fear,hyperventil,92,NOUN
nightmares,0.759,fear,nightmar,92,NOUN
destroyed,0.754,fear,destroy,100,VERB
ghostly,0.754,fear,ghost,84,ADJ
hurricanes,0.750,fear,hurrican,92,NOUN
tyranny,0.750,fear,tyranni,92,NOUN
panic,0.750,fear,panic,92,NOUN
ptsd,0.750,fear,ptsd,101,X
dangerous,0.750,fear,danger,84,ADJ
strangle,0.750,fear,strangl,92,NOUN
tragedies,0.750,fear,tragedi,92,NOUN
wrenching,0.750,fear,wrench,100,VERB
hazard,0.750,fear,hazard,92,NOUN
destroyer,0.750,fear,destroy,92,NOUN
projectiles,0.750,fear,projectil,100,VERB
cholera,0.750,fear,cholera,92,NOUN
obliteration,0.750,fear,obliter,92,NOUN
slavery,0.750,fear,slaveri,92,NOUN
imprisonment,0.750,fear,imprison,92,NOUN
agony,0.750,fear,agoni,92,NOUN
anaconda,0.750,fear,anaconda,92,NOUN
anarchist,0.750,fear,anarchist,84,ADJ
treacherous,0.750,fear,treacher,84,ADJ
riotous,0.750,fear,riotous,84,ADJ
mortuary,0.750,fear,mortuari,92,NOUN
dreadful,0.750,fear,dread,84,ADJ
anarchy,0.750,fear,anarchi,92,NOUN
fears,0.750,fear,fear,100,VERB
accident,0.750,fear,accid,92,NOUN
malignancy,0.742,fear,malign,92,NOUN
bombard,0.740,fear,bombard,100,VERB
cannibal,0.740,fear,cannib,92,NOUN
abominable,0.738,fear,abomin,84,ADJ
tyrannical,0.734,fear,tyrann,84,ADJ
depraved,0.734,fear,deprav,84,ADJ
mutiny,0.734,fear,mutini,92,NOUN
scared,0.734,fear,scare,84,ADJ
dictatorship,0.734,fear,dictatorship,92,NOUN
beast,0.734,fear,beast,92,NOUN
missile,0.734,fear,missil,92,NOUN
cursed,0.734,fear,curs,100,VERB
melee,0.734,fear,mele,92,NOUN
threaten,0.734,fear,threaten,100,VERB
hostage,0.734,fear,hostag,92,NOUN
diseased,0.734,fear,diseas,100,VERB
gore,0.734,fear,gore,92,NOUN
devilish,0.734,fear,devilish,84,ADJ
malignant,0.734,fear,malign,84,ADJ
misery,0.734,fear,miseri,92,NOUN
horrible,0.734,fear,horribl,84,ADJ
shot,0.734,fear,shot,92,NOUN
bomber,0.734,fear,bomber,92,NOUN
hyperventilate,0.734,fear,hyperventil,100,VERB
crash,0.734,fear,crash,92,NOUN
gun,0.734,fear,gun,92,NOUN
shoot,0.734,fear,shoot,100,VERB
victimized,0.734,fear,victim,100,VERB
paralysis,0.734,fear,paralysi,92,NOUN
mafia,0.734,fear,mafia,92,NOUN
tornado,0.734,fear,tornado,92,NOUN
turmoil,0.733,fear,turmoil,92,NOUN
combat,0.728,fear,combat,92,NOUN
alligator,0.727,fear,allig,92,NOUN
ruin,0.725,fear,ruin,92,NOUN
shooter,0.722,fear,shooter,92,NOUN
contagious,0.720,fear,contagi,84,ADJ
miscarriage,0.719,fear,miscarriag,92,NOUN
lynch,0.719,fear,lynch,92,NOUN
desperation,0.719,fear,desper,92,NOUN
casualty,0.719,fear,casualti,92,NOUN
devastating,0.719,fear,devast,84,ADJ
seizure,0.719,fear,seizur,92,NOUN
starvation,0.719,fear,starvat,92,NOUN
excruciating,0.719,fear,excruci,100,VERB
phobia,0.719,fear,phobia,92,NOUN
harm,0.719,fear,harm,92,NOUN
crime,0.719,fear,crime,92,NOUN
emergency,0.719,fear,emerg,92,NOUN
shock,0.719,fear,shock,92,NOUN
fight,0.719,fear,fight,92,NOUN
injured,0.719,fear,injur,100,VERB
scream,0.719,fear,scream,92,NOUN
struggle,0.719,fear,struggl,92,NOUN
havoc,0.719,fear,havoc,92,NOUN
mortification,0.719,fear,mortif,92,NOUN
frantically,0.717,fear,frantic,86,ADV
carnage,0.717,fear,carnag,92,NOUN
standoff,0.716,fear,standoff,92,NOUN
infestation,0.716,fear,infest,92,NOUN
soscary,0.712,fear,soscari,84,ADJ
panicking,0.708,fear,panick,100,VERB
rupture,0.706,fear,ruptur,92,NOUN
frantic,0.705,fear,frantic,84,ADJ
horrid,0.705,fear,horrid,84,ADJ
burial,0.703,fear,burial,92,NOUN
arsenic,0.703,fear,arsenic,92,NOUN
neurotic,0.703,fear,neurot,84,ADJ
carcinoma,0.703,fear,carcinoma,92,NOUN
witchcraft,0.703,fear,witchcraft,92,NOUN
hysterical,0.703,fear,hyster,84,ADJ
deranged,0.703,fear,derang,84,ADJ
prey,0.703,fear,prey,92,NOUN
infectious,0.703,fear,infecti,84,ADJ
assailant,0.703,fear,assail,92,NOUN
sabotage,0.703,fear,sabotag,92,NOUN
psychosis,0.703,fear,psychosi,92,NOUN
hatred,0.703,fear,hatr,92,NOUN
terminal,0.703,fear,termin,84,ADJ
collapse,0.703,fear,collaps,92,NOUN
anguish,0.703,fear,anguish,92,NOUN
grisly,0.703,fear,grisli,84,ADJ
diabolical,0.703,fear,diabol,84,ADJ
avalanche,0.703,fear,avalanch,92,NOUN
dreaded,0.703,fear,dread,100,VERB
gash,0.703,fear,gash,92,NOUN
sos,0.703,fear,sos,92,NOUN
aggressive,0.703,fear,aggress,84,ADJ
malevolent,0.703,fear,malevol,84,ADJ
agonizing,0.703,fear,agon,84,ADJ
cobra,0.703,fear,cobra,92,NOUN
harrowing,0.703,fear,harrow,84,ADJ
fugitive,0.703,fear,fugit,84,ADJ
wrecked,0.703,fear,wreck,100,VERB
armed,0.703,fear,arm,84,ADJ
cripple,0.703,fear,crippl,92,NOUN
freaked,0.703,fear,freak,100,VERB
schizophrenia,0.703,fear,schizophrenia,92,NOUN
plague,0.703,fear,plagu,92,NOUN
upheaval,0.703,fear,upheav,92,NOUN
vendetta,0.703,fear,vendetta,92,NOUN
forcibly,0.700,fear,forcibl,86,ADV
abduction,0.700,fear,abduct,92,NOUN
crocodile,0.700,fear,crocodil,92,NOUN
offender,0.698,fear,offend,92,NOUN
mayhem,0.690,fear,mayhem,92,NOUN
wounding,0.688,fear,wound,100,VERB
disease,0.688,fear,diseas,92,NOUN
agoraphobia,0.688,fear,agoraphobia,92,NOUN
brawl,0.688,fear,brawl,92,NOUN
banish,0.688,fear,banish,100,VERB
oppression,0.688,fear,oppress,92,NOUN
hostile,0.688,fear,hostil,84,ADJ
guerilla,0.688,fear,guerilla,92,NOUN
cyclone,0.688,fear,cyclon,92,NOUN
radiation,0.688,fear,radiat,92,NOUN
hopeless,0.688,fear,hopeless,84,ADJ
ambush,0.688,fear,ambush,92,NOUN
beastly,0.688,fear,beast,84,ADJ
shrapnel,0.688,fear,shrapnel,92,NOUN
socialanxiety,0.688,fear,socialanxieti,92,NOUN
cadaver,0.688,fear,cadav,92,NOUN
leukemia,0.688,fear,leukemia,92,NOUN
rabid,0.688,fear,rabid,100,VERB
endanger,0.688,fear,endang,100,VERB
contagion,0.688,fear,contagion,92,NOUN
anarchism,0.688,fear,anarch,92,NOUN
hurt,0.688,fear,hurt,100,VERB
trepidation,0.688,fear,trepid,92,NOUN
gory,0.688,fear,gori,84,ADJ
paranoid,0.688,fear,paranoid,84,ADJ
alarm,0.688,fear,alarm,92,NOUN
blast,0.688,fear,blast,92,NOUN
gallows,0.686,fear,gallow,100,VERB
coffin,0.684,fear,coffin,92,NOUN
madness,0.675,fear,mad,92,NOUN
spook,0.673,fear,spook,92,NOUN
fury,0.672,fear,furi,92,NOUN
awful,0.672,fear,aw,84,ADJ
victim,0.672,fear,victim,92,NOUN
ghost,0.672,fear,ghost,92,NOUN
trembling,0.672,fear,trembl,100,VERB
scarier,0.672,fear,scarier,84,ADJ
stab,0.672,fear,stab,92,NOUN
viper,0.672,fear,viper,92,NOUN
nervouswreck,0.672,fear,nervouswreck,92,NOUN
tarantula,0.672,fear,tarantula,92,NOUN
thug,0.672,fear,thug,92,NOUN
dungeon,0.672,fear,dungeon,92,NOUN
carcass,0.672,fear,carcass,92,NOUN
freakedout,0.672,fear,freakedout,85,ADP
vermin,0.672,fear,vermin,92,NOUN
felon,0.672,fear,felon,92,NOUN
atrocity,0.672,fear,atroc,92,NOUN
fangs,0.672,fear,fang,92,NOUN
militants,0.672,fear,milit,92,NOUN
perishing,0.672,fear,perish,100,VERB
militia,0.672,fear,militia,92,NOUN
grim,0.672,fear,grim,84,ADJ
outbreak,0.672,fear,outbreak,92,NOUN
abhorrent,0.672,fear,abhorr,84,ADJ
abuse,0.672,fear,abus,92,NOUN
frankenstorm,0.672,fear,frankenstorm,92,NOUN
sinister,0.672,fear,sinist,84,ADJ
menace,0.672,fear,menac,92,NOUN
hurting,0.672,fear,hurt,100,VERB
gang,0.672,fear,gang,92,NOUN
crushing,0.672,fear,crush,100,VERB
combatant,0.672,fear,combat,84,ADJ
eruption,0.672,fear,erupt,92,NOUN
shatter,0.672,fear,shatter,100,VERB
persecute,0.672,fear,persecut,100,VERB
revolver,0.672,fear,revolv,92,NOUN
injury,0.672,fear,injuri,92,NOUN
mangle,0.672,fear,mangl,100,VERB
soscared,0.672,fear,soscar,100,VERB
menacing,0.672,fear,menac,84,ADJ
desolation,0.667,fear,desol,92,NOUN
ferocious,0.667,fear,feroci,84,ADJ
battered,0.667,fear,batter,100,VERB
cutthroat,0.664,fear,cutthroat,84,ADJ
pandemic,0.664,fear,pandem,92,NOUN
volcano,0.663,fear,volcano,92,NOUN
scares,0.660,fear,scare,100,VERB
cruelly,0.658,fear,cruelli,86,ADV
nefarious,0.656,fear,nefari,84,ADJ
fearfully,0.656,fear,fear,86,ADV
purgatory,0.656,fear,purgatori,92,NOUN
despotic,0.656,fear,despot,84,ADJ
tumult,0.656,fear,tumult,92,NOUN
malicious,0.656,fear,malici,84,ADJ
emetophobia,0.656,fear,emetophobia,92,NOUN
selfharm,0.656,fear,selfharm,84,ADJ
lunatic,0.656,fear,lunat,84,ADJ
bully,0.656,fear,bulli,92,NOUN
typhoon,0.656,fear,typhoon,92,NOUN
xenophobia,0.656,fear,xenophobia,92,NOUN
treason,0.656,fear,treason,92,NOUN
oppressive,0.656,fear,oppress,84,ADJ
battlefield,0.656,fear,battlefield,92,NOUN
dictator,0.656,fear,dictat,92,NOUN
smash,0.656,fear,smash,100,VERB
radioactive,0.656,fear,radioact,84,ADJ
encroachment,0.656,fear,encroach,92,NOUN
stroke,0.656,fear,stroke,92,NOUN
traitor,0.656,fear,traitor,92,NOUN
blizzard,0.656,fear,blizzard,92,NOUN
coma,0.656,fear,coma,92,NOUN
cruel,0.656,fear,cruel,84,ADJ
endangered,0.656,fear,endang,84,ADJ
armament,0.656,fear,armament,92,NOUN
ruthless,0.656,fear,ruthless,84,ADJ
punishment,0.656,fear,punish,92,NOUN
shitless,0.656,fear,shitless,84,ADJ
neurosis,0.656,fear,neurosi,92,NOUN
debauchery,0.656,fear,debaucheri,92,NOUN
spider,0.656,fear,spider,92,NOUN
distress,0.656,fear,distress,92,NOUN
alarming,0.656,fear,alarm,100,VERB
revenge,0.656,fear,reveng,92,NOUN
crazed,0.656,fear,craze,84,ADJ
insane,0.656,fear,insan,84,ADJ
projectile,0.654,fear,projectil,92,NOUN
flog,0.653,fear,flog,100,VERB
bang,0.652,fear,bang,92,NOUN
ransom,0.644,fear,ransom,92,NOUN
criminality,0.642,fear,crimin,92,NOUN
hanging,0.641,fear,hang,100,VERB
deteriorate,0.641,fear,deterior,92,NOUN
dementia,0.641,fear,dementia,92,NOUN
punished,0.641,fear,punish,100,VERB
perturbation,0.641,fear,perturb,92,NOUN
haunt,0.641,fear,haunt,100,VERB
raptors,0.641,fear,raptor,92,NOUN
abortion,0.641,fear,abort,92,NOUN
despair,0.641,fear,despair,92,NOUN
cantbreathe,0.641,fear,cantbreath,92,NOUN
scoundrel,0.641,fear,scoundrel,92,NOUN
isolated,0.641,fear,isol,100,VERB
quivering,0.641,fear,quiver,100,VERB
duress,0.641,fear,duress,92,NOUN
dreading,0.641,fear,dread,100,VERB
targeted,0.641,fear,target,100,VERB
rattlesnake,0.641,fear,rattlesnak,92,NOUN
demise,0.641,fear,demis,86,ADV
warlock,0.641,fear,warlock,92,NOUN
perilous,0.641,fear,peril,84,ADJ
dastardly,0.641,fear,dastard,86,ADV
raging,0.641,fear,rage,100,VERB
injurious,0.641,fear,injuri,84,ADJ
intimidate,0.641,fear,intimid,92,NOUN
conflict,0.641,fear,conflict,92,NOUN
wildfire,0.641,fear,wildfir,92,NOUN
wreck,0.641,fear,wreck,92,NOUN
tumour,0.641,fear,tumour,92,NOUN
retaliation,0.641,fear,retali,92,NOUN
vehement,0.641,fear,vehement,84,ADJ
demented,0.641,fear,dement,84,ADJ
hideous,0.641,fear,hideous,84,ADJ
banshee,0.641,fear,banshe,92,NOUN
antichrist,0.641,fear,antichrist,92,NOUN
aghast,0.641,fear,aghast,84,ADJ
bestial,0.639,fear,bestial,84,ADJ
serpent,0.638,fear,serpent,92,NOUN
condemnation,0.637,fear,condemn,92,NOUN
corrosive,0.636,fear,corros,84,ADJ
armaments,0.636,fear,armament,92,NOUN
fire,0.636,fear,fire,92,NOUN
exclusion,0.636,fear,exclus,92,NOUN
nervousness,0.627,fear,nervous,92,NOUN
seize,0.625,fear,seiz,100,VERB
pneumonia,0.625,fear,pneumonia,92,NOUN
spiders,0.625,fear,spider,92,NOUN
revolting,0.625,fear,revolt,100,VERB
vampire,0.625,fear,vampir,92,NOUN
mercenary,0.625,fear,mercenari,84,ADJ
sarcoma,0.625,fear,sarcoma,92,NOUN
incarceration,0.625,fear,incarcer,92,NOUN
manic,0.625,fear,manic,84,ADJ
injure,0.625,fear,injur,100,VERB
smuggler,0.625,fear,smuggler,92,NOUN
pestilence,0.625,fear,pestil,92,NOUN
hurtful,0.625,fear,hurt,84,ADJ
stunned,0.625,fear,stun,100,VERB
vengeful,0.625,fear,veng,84,ADJ
irreparable,0.625,fear,irrepar,84,ADJ
lunacy,0.625,fear,lunaci,92,NOUN
thundering,0.625,fear,thunder,100,VERB
disfigured,0.625,fear,disfigur,100,VERB
artillery,0.625,fear,artilleri,92,NOUN
incendiary,0.625,fear,incendiari,84,ADJ
daemon,0.625,fear,daemon,92,NOUN
wracking,0.625,fear,wrack,100,VERB
turbulent,0.625,fear,turbul,84,ADJ
landslide,0.625,fear,landslid,92,NOUN
malice,0.625,fear,malic,92,NOUN
enemy,0.625,fear,enemi,92,NOUN
combative,0.625,fear,combat,84,ADJ
sickening,0.625,fear,sicken,84,ADJ
repression,0.625,fear,repress,92,NOUN
infection,0.625,fear,infect,92,NOUN
wicked,0.625,fear,wick,84,ADJ
inhuman,0.625,fear,inhuman,84,ADJ
meltdown,0.625,fear,meltdown,92,NOUN
prison,0.625,fear,prison,92,NOUN
ruinous,0.625,fear,ruinous,84,ADJ
madman,0.625,fear,madman,92,NOUN
virulence,0.625,fear,virul,92,NOUN
ill,0.621,fear,ill,84,ADJ
barbarian,0.620,fear,barbarian,92,NOUN
battled,0.615,fear,battl,100,VERB
plummet,0.613,fear,plummet,92,NOUN
blackmail,0.612,fear,blackmail,92,NOUN
hangman,0.610,fear,hangman,92,NOUN
contaminated,0.610,fear,contamin,100,VERB
darkened,0.610,fear,darken,100,VERB
merciless,0.609,fear,merciless,84,ADJ
beating,0.609,fear,beat,100,VERB
aggression,0.609,fear,aggress,92,NOUN
injection,0.609,fear,inject,92,NOUN
alienation,0.609,fear,alien,92,NOUN
insurmountable,0.609,fear,insurmount,84,ADJ
dagger,0.609,fear,dagger,92,NOUN
conflagration,0.609,fear,conflagr,92,NOUN
butcher,0.609,fear,butcher,92,NOUN
malaria,0.609,fear,malaria,92,NOUN
interrogation,0.609,fear,interrog,92,NOUN
despotism,0.609,fear,despot,92,NOUN
wrath,0.609,fear,wrath,92,NOUN
prosecute,0.609,fear,prosecut,100,VERB
disintegrate,0.609,fear,disintegr,100,VERB
shackle,0.609,fear,shackl,92,NOUN
oblivion,0.609,fear,oblivion,92,NOUN
homeless,0.609,fear,homeless,84,ADJ
sufferer,0.609,fear,suffer,92,NOUN
rob,0.609,fear,rob,100,VERB
ogre,0.609,fear,ogr,92,NOUN
oppressor,0.609,fear,oppressor,92,NOUN
abandonment,0.609,fear,abandon,92,NOUN
deplorable,0.609,fear,deplor,84,ADJ
injuring,0.609,fear,injur,100,VERB
illness,0.609,fear,ill,92,NOUN
bleeding,0.609,fear,bleed,100,VERB
infanticide,0.609,fear,infanticid,92,NOUN
scourge,0.609,fear,scourg,92,NOUN
threat,0.604,fear,threat,92,NOUN
firearms,0.600,fear,firearm,92,NOUN
nerves,0.600,fear,nerv,92,NOUN
raid,0.600,fear,raid,92,NOUN
eviction,0.596,fear,evict,92,NOUN
villain,0.595,fear,villain,92,NOUN
torrent,0.594,fear,torrent,92,NOUN
pounding,0.594,fear,pound,100,VERB
haze,0.594,fear,haze,92,NOUN
cardiomyopathy,0.594,fear,cardiomyopathi,92,NOUN
infidel,0.594,fear,infidel,84,ADJ
deceit,0.594,fear,deceit,92,NOUN
possessed,0.594,fear,possess,100,VERB
dragon,0.594,fear,dragon,92,NOUN
terrible,0.594,fear,terribl,84,ADJ
belligerent,0.594,fear,belliger,84,ADJ
restrained,0.594,fear,restrain,84,ADJ
goblin,0.594,fear,goblin,92,NOUN
hypertrophy,0.594,fear,hypertrophi,92,NOUN
paranoia,0.594,fear,paranoia,92,NOUN
tribulation,0.594,fear,tribul,92,NOUN
flee,0.594,fear,flee,100,VERB
shelling,0.594,fear,shell,100,VERB
masochism,0.594,fear,masoch,92,NOUN
tremor,0.594,fear,tremor,92,NOUN
burglar,0.594,fear,burglar,92,NOUN
sickness,0.594,fear,sick,92,NOUN
anxiety,0.594,fear,anxieti,92,NOUN
pain,0.594,fear,pain,92,NOUN
sepsis,0.594,fear,sepsi,92,NOUN
euthanasia,0.594,fear,euthanasia,92,NOUN
omen,0.594,fear,omen,92,NOUN
foe,0.594,fear,foe,92,NOUN
ominous,0.594,fear,omin,84,ADJ
fraught,0.594,fear,fraught,84,ADJ
convict,0.594,fear,convict,92,NOUN
rot,0.594,fear,rot,100,VERB
casket,0.594,fear,casket,92,NOUN
accursed,0.594,fear,accurs,84,ADJ
lightning,0.594,fear,lightn,92,NOUN
villainous,0.594,fear,villain,84,ADJ
wounded,0.592,fear,wound,100,VERB
elimination,0.588,fear,elimin,92,NOUN
lava,0.588,fear,lava,92,NOUN
spank,0.587,fear,spank,92,NOUN
hostilities,0.586,fear,hostil,92,NOUN
dismal,0.584,fear,dismal,84,ADJ
blockade,0.582,fear,blockad,92,NOUN
punch,0.580,fear,punch,92,NOUN
haunted,0.578,fear,haunt,100,VERB
angina,0.578,fear,angina,92,NOUN
infliction,0.578,fear,inflict,92,NOUN
