t,a,wc,uwc,ewc,cpc,hc,sc,fc,ac
"u time 2 open snap , u time 2 respond",anger,10,0.0,0.0,0,0.0,0.0,0.0,0.0
Police wanna called pigs actin like em . . . . honestly insult pigs,anger,14,0.0,0.0,3,1.0,0.0,1.0,0.0
troubled soul loose heart 'cause joy peace brings beauty store outweighs hurt life sting .,anger,15,0.0,0.0,0,4.0,0.0,2.0,2.0
floated like butterflies . sting like bees ! ',anger,9,0.0,0.0,1,2.0,0.0,1.0,1.0
"like pineapple eat pizza , lose sting cooked .",anger,9,0.0,0.0,0,1.0,0.0,1.0,1.0
offense doctor crying tears joy realizing family christmas Cute,anger,9,0.0,0.0,0,2.0,0.0,1.0,0.0
"warning : sensitive , angry , insecure baby today , UGH people large hate ignore bc literally ~ worst~",anger,19,0.053,0.105,0,1.0,0.0,2.0,1.0
deleting social media apps phone . snap chat insta .,anger,10,0.0,0.0,0,0.0,0.0,0.0,0.0
Panpiper playing Big River outside Bridges SR1,anger,7,0.14300000000000002,0.28600000000000003,0,1.0,0.0,0.0,0.0
base going rain brills snap stories .,anger,7,0.0,0.0,0,0.0,0.0,0.0,0.0
offense ppl creams build glutes . . . COME . squat .,anger,12,0.083,0.0,2,0.0,0.0,1.0,0.0
offense troye start dming people feel like idiot dm thanks,anger,10,0.0,0.0,0,2.0,0.0,2.0,0.0
"Forgiveness look weak , weakest person holds anger , hatred , revenge .",anger,13,0.0,0.0,0,0.0,0.0,3.0,2.0
Trump supports reach level irritation,anger,5,0.0,0.2,0,0.0,0.0,1.0,0.0
ethan car revenge grayson,anger,4,0.0,0.0,0,0.0,0.0,1.0,1.0
Got $ 20 tip drunk Uber passenger . Today $ 25 parking ticket . blame karma dumb ass forgot pay meter .,anger,22,0.0,0.136,0,0.0,0.0,0.0,0.0
homework watch revenge possibly tonight'*plays phone 2 hours avoid homework,anger,10,0.0,0.1,0,0.0,0.0,1.0,1.0
Dear hipster game finding hard pay attention talk politics grapes wrath . SHUT !,anger,14,0.071,0.0,0,0.0,0.0,1.0,1.0
White people irritate .,anger,4,0.0,0.0,0,0.0,0.0,1.0,0.0
"Y'all bitches angry bitter , truly suck lol",anger,8,0.0,0.0,0,0.0,0.0,3.0,0.0
going City round revenge .,anger,5,0.0,0.0,0,0.0,0.0,1.0,1.0
: * sees incense burner * drugs ?,anger,8,0.0,0.0,1,0.0,0.0,1.0,0.0
turn . Soon says hi burst tears lmaoo overwhelmed .,anger,10,0.0,0.0,0,0.0,0.0,0.0,0.0
"getting offended furious writers style isn;t taste ultimately daft , suppose .",anger,12,0.0,0.0,0,0.0,0.0,2.0,1.0
NA kids relentless,anger,3,0.33299999999999996,0.33299999999999996,0,1.0,0.0,0.0,0.0
Finally uploaded file needed university server drop box . took like half hour lot cursing anger,anger,16,0.0,0.062,0,1.0,0.0,2.0,1.0
"Pro Tip : work kid reaches 20 mos old . Stay home longer , absolutely miserable .",anger,17,0.0,0.059000000000000004,0,2.0,0.0,1.0,0.0
Imagine bitter bias dating sending threats partner . Like ? nasty . know exist,anger,14,0.0,0.0,0,1.0,0.0,3.0,1.0
Howard Webb held knowing answers . red . Sutton Craigan raging ! Hahaha,anger,13,0.0,0.154,0,0.0,0.0,1.0,1.0
Ppl like irritate soul,anger,4,0.0,0.25,0,2.0,0.0,1.0,0.0
picking pieces :/,anger,3,0.0,0.0,0,0.0,0.0,0.0,0.0
"learned let resentment people hurt , keeping like swallowing poison expecting die .",anger,13,0.0,0.0,0,1.0,0.0,3.0,3.0
outrage Kessel tweet butthurt USA players hilarious .,anger,8,0.125,0.25,0,1.0,0.0,1.0,0.0
wave fiery cross f**kin ' !,anger,6,0.0,0.0,1,0.0,0.0,1.0,0.0
"Thou wilt valiant wrathful dove , magnanimous mouse . William Shakesphere",anger,11,0.0,0.091,0,0.0,0.0,1.0,1.0
", nipples offend lol . sad women purposely flaunting / sexualizing bodies immodest way .",anger,15,0.0,0.0,0,0.0,0.0,1.0,1.0
Thurston offers Gallen ‘ peace ’ mind : NORTH Queensland playmaker Johnathon Thurston insists holds grudge Paul G . . .,anger,21,0.095,0.23800000000000002,2,1.0,0.0,1.0,0.0
Manchester derby home,anger,3,0.0,0.33299999999999996,0,1.0,0.0,0.0,0.0
casuals tweets Vic faved making gag,anger,6,0.0,0.16699999999999998,0,0.0,0.0,0.0,0.0
"angry God want , God gives expect .",anger,8,0.0,0.0,0,2.0,0.0,1.0,0.0
"Yeah hot nigga , m burning uhhhhh",anger,7,0.0,0.0,1,0.0,0.0,1.0,0.0
resentment rlly shit .,anger,4,0.0,0.0,0,0.0,0.0,2.0,0.0
resent tired annoyed word Wiener splashed news . slam - dunk,anger,11,0.0,0.091,0,0.0,0.0,3.0,0.0
jelly baby favourite insult,anger,4,0.0,0.0,0,1.0,0.0,1.0,0.0
Forever raging 😏 😂 😭,anger,5,0.0,0.0,0,0.0,0.0,1.0,1.0
ppl defending cops continue kill innocent ppl ppl innocent clearly cooperate irritate tf outta,anger,14,0.0,0.0,0,0.0,0.0,2.0,1.0
Living life relentless,anger,3,0.0,0.0,0,0.0,0.0,0.0,0.0
"smh customers getting angry bc ai nt got marlboro lights gas hut . called 2 hours ago , fuck .",anger,20,0.0,0.05,0,0.0,0.0,1.0,0.0
"28 yr old man threw saucepan boiling water garda , hit garda shaft brush . . . Letterkenny District Court .",anger,21,0.0,0.095,2,0.0,0.0,1.0,0.0
Way prominent exasperate peaked ? : TGMbNqUEe,anger,7,0.0,0.0,1,0.0,0.0,0.0,0.0
"abroad causing spontaneous decisions worry things good , type fuming",anger,10,0.0,0.0,0,1.0,0.0,1.0,1.0
"American police training calculated trample human dignity , inflame outrage , escalate confrontations .",anger,14,0.0,0.071,0,1.0,0.0,3.0,0.0
Constantly fucking boiling ok,anger,4,0.0,0.0,0,0.0,0.0,0.0,0.0
"fact , furious people wrong , furious fool .",anger,9,0.0,0.0,0,0.0,0.0,2.0,0.0
throw snap dance party LO . Rest big Homie 🙏,anger,10,0.1,0.2,0,2.0,0.0,0.0,0.0
strike thee great vengeance furious anger attempt poison destroy brothers,anger,10,0.0,0.0,0,2.0,0.0,6.0,3.0
Alex growl . . 😂 😂 😂,anger,7,0.0,0.5710000000000001,1,0.0,0.0,1.0,1.0
sit home damn starting irritate . need house !,anger,9,0.0,0.0,0,1.0,0.0,2.0,0.0
5 ppl left stores huff past year ve guest service,anger,10,0.0,0.2,0,0.0,0.0,0.0,0.0
told talk need bring . slightly bitter tøp cover cancer,anger,10,0.0,0.0,0,0.0,0.0,2.0,1.0
asked Jared marry said .,anger,5,0.0,0.2,0,1.0,0.0,0.0,0.0
Everton playing fume day,anger,4,0.0,0.25,0,1.0,0.0,1.0,0.0
Marcus Rojo worst player seen . Useless toasting burning bastard,anger,10,0.0,0.1,0,0.0,0.0,1.0,0.0
"anger inside turned fuel , burned watched spin , like inferno types ,",anger,13,0.0,0.0,0,1.0,0.0,2.0,1.0
L board match paper teams moment showing field . Denver,anger,10,0.1,0.1,0,0.0,0.0,0.0,0.0
Omg asked sit reluctantly moved huff . Biiitttccchhhhhh,anger,8,0.0,0.125,0,0.0,0.0,0.0,0.0
hold grudge year barely hold minutes,anger,6,0.0,0.16699999999999998,0,0.0,0.0,1.0,0.0
dogs making RIDICULOUS sounds right like high pitched gargle - y growl,anger,12,0.083,0.0,0,1.0,0.0,2.0,1.0
( whisper ) frown .,anger,5,0.0,0.0,0,0.0,0.0,0.0,0.0
Dentist said ' going numb lip feel got lips like Pete Burns ! . . . . . . right,anger,20,0.0,0.05,6,1.0,0.0,0.0,0.0
worth noting despite animosity president Israeli president behaved gentleman .,anger,10,0.0,0.1,0,0.0,0.0,1.0,0.0
Clash titans wrath titans,anger,4,0.0,0.0,0,0.0,0.0,2.0,2.0
"outrage ( tweets , jokes , attention ) * exactly * M*lo wants(this meant defense )",anger,16,0.0,0.0,1,0.0,0.0,1.0,0.0
seen fast furious Tokyo drift . Boutta watch,anger,8,0.0,0.125,0,0.0,0.0,1.0,0.0
revenge soon,anger,2,0.0,0.0,0,0.0,0.0,1.0,1.0
answer 50 texts pls snap,anger,5,0.0,0.2,0,0.0,0.0,0.0,0.0
car furious white men funny story tell sober 😂,anger,9,0.0,0.111,0,0.0,0.0,1.0,0.0
anger boiling .,anger,3,0.0,0.0,0,0.0,0.0,1.0,0.0
fuming,anger,1,0.0,0.0,0,0.0,0.0,1.0,0.0
LOL reminders ex - gf birthday approaching . bad considers acknowledging existence affront . . .,anger,16,0.062,0.0,2,1.0,0.0,1.0,1.0
Hell hath fury like late dude concur government session keeps expiring submit form,anger,13,0.0,0.0,0,1.0,0.0,2.0,2.0
adults commiting crimes protest . ( like burning library ) expecting warning ?,anger,13,0.0,0.0,1,1.0,0.0,1.0,1.0
"Imagine celtic burst net wae attempt , nutt old dain hard way usual",anger,13,0.0,0.0,0,0.0,0.0,0.0,0.0
Fuckin hell seeing face makes fume,anger,6,0.0,0.16699999999999998,0,0.0,0.0,2.0,1.0
"Yo , talking horoscopes clue saying gon na act offended question ?",anger,12,0.0,0.0,0,0.0,0.0,1.0,1.0
Bon allume madden,anger,3,0.0,0.33299999999999996,0,0.0,0.0,1.0,1.0
insult compliment told look like happy duck,anger,7,0.0,0.0,0,3.0,0.0,1.0,0.0
going waste energy holding grudge nt life year XD time release feelings dislike,anger,13,0.077,0.077,0,0.0,0.0,1.0,0.0
sixth form destroyed glowing skin m fuming,anger,7,0.0,0.14300000000000002,0,1.0,0.0,2.0,1.0
little frustrates misplacing . looking keys 2 hours,anger,8,0.0,0.125,0,0.0,0.0,1.0,0.0
Lol Adam Bull fake outrage . . .,anger,8,0.0,0.125,2,0.0,0.0,1.0,0.0
uber driver TRIED feel wrath,anger,5,0.2,0.0,0,0.0,0.0,1.0,1.0
"windy tiger ankle wrist tapes ? include character - specific details burning fox , . . .",anger,17,0.0,0.0,3,0.0,0.0,0.0,0.0
"Aidy : * physics question*Aidy : ' . . . ok , gon na ask Tristan cause wanna aggravate '",anger,20,0.0,0.05,5,0.0,0.0,1.0,0.0
India react uri attack . . . . .,anger,9,0.0,0.111,4,0.0,0.0,1.0,1.0
dump gasoline run burning building use Excel .,anger,8,0.0,0.125,0,1.0,0.0,0.0,0.0
medicine burning,anger,2,0.0,0.0,0,0.0,0.0,0.0,0.0
raging storm brought emotions sorry . enjoy thunder,anger,8,0.0,0.0,0,0.0,0.0,3.0,2.0
found tonight son practical work counting GCSE exam . OK ! thought STEM rage ? ?,anger,16,0.188,0.125,1,0.0,0.0,1.0,1.0
"Tears eyes dry wo , burning like wire lightbulb",anger,9,0.0,0.0,0,1.0,0.0,0.0,0.0
furious ! ! ! !,anger,5,0.0,0.0,3,0.0,0.0,1.0,0.0
"Especially comes voicing displeasure , tell straight hold peace ✌ ️️",anger,11,0.0,0.0,0,1.0,0.0,0.0,0.0
Oh yeah Squid face God madden 17 xbox1 come,anger,9,0.0,0.222,0,1.0,0.0,1.0,1.0
world drives assessed tenderhearted vulnerable build guards invigorate raging self defense mechanisms,anger,12,0.0,0.0,0,0.0,0.0,1.0,2.0
endIn bitter tragedyI'll spendAnd,anger,4,0.0,0.0,0,0.0,0.0,1.0,0.0
"hmu snap , like . . . 💀",anger,8,0.0,0.0,2,1.0,0.0,0.0,0.0
Fear fearsome fury forest fawn !,anger,6,0.0,0.0,0,0.0,0.0,2.0,2.0
love people racist right racist shit . . . works . . .,anger,13,0.0,0.0,4,1.0,0.0,1.0,0.0
pre industrial revolution - esque footwear ? guys tryin grapes wrath today ?,anger,13,0.0,0.077,0,0.0,0.0,2.0,1.0
persons opinion offend,anger,3,0.0,0.0,0,0.0,0.0,1.0,1.0
Mia worst road rage seen gets mad hands windows lol,anger,10,0.0,0.1,0,0.0,0.0,2.0,2.0
' protests peace ' going lately people burning cities hometowns . Practice u preach .,anger,15,0.0,0.0,0,1.0,0.0,0.0,0.0
day tiff . . day !,anger,6,0.0,0.0,1,0.0,0.0,0.0,0.0
people debating race inequality justice system like non existent ? trying aggravate .,anger,13,0.0,0.0,0,1.0,0.0,1.0,0.0
Y'all twitter snap,anger,3,0.0,0.0,0,0.0,0.0,0.0,0.0
perfume smells like smell smokey incense,anger,6,0.0,0.0,0,1.0,0.0,1.0,0.0
Goddamn headache .,anger,3,0.0,0.0,0,0.0,0.0,0.0,0.0
let frown,anger,2,0.0,0.0,0,0.0,0.0,0.0,0.0
People speed limit irritate,anger,4,0.0,0.0,0,0.0,0.0,1.0,0.0
finally leaving job soon . working 16 . going kind bitter sweet,anger,12,0.0,0.083,0,2.0,0.0,1.0,0.0
"LGBTQ media inform , inspire , entertain andunite community . platform 2 goal 2 offend 4 attention",anger,17,0.059000000000000004,0.17600000000000002,0,2.0,0.0,1.0,1.0
Cuz bible talks son coming fiery sword got mother . called whore revelations,anger,13,0.0,0.0,0,1.0,0.0,0.0,0.0
"meeting tiff mall soon , congrats getting L babes ❣",anger,10,0.1,0.1,0,1.0,0.0,0.0,0.0
think fire detector going old place boiling water bad went bc DUST nt turn,anger,14,0.071,0.0,0,0.0,0.0,1.0,2.0
bows world tank creats rubberbath sting weeks,anger,7,0.0,0.14300000000000002,0,0.0,0.0,1.0,1.0
Bushes good forces resentment money gave power . changed tunes .,anger,11,0.0,0.0,0,3.0,0.0,1.0,1.0
pay good money watch slap pout Candice .,anger,8,0.0,0.125,0,2.0,0.0,1.0,0.0
Hell hath fury like sound technician scorned'That quote right,anger,9,0.0,0.0,0,1.0,0.0,2.0,2.0
Hell hath fury like bureaucrat scorned . ― Milton Friedman,anger,10,0.0,0.1,0,1.0,0.0,3.0,2.0
"Wow . . . dads favorite throwback rappers died fiery car crash today Atlanta , sad sad 😷 😷",anger,19,0.0,0.105,2,1.0,0.0,0.0,2.0
Undifferentiated patent closest patron braininess ideas incense offensive lineman : wHYaNEWG,anger,11,0.0,0.0,0,0.0,0.0,2.0,0.0
"tbh amy know need sort life , looks like having great time ' thanks tiff 😂 💜",anger,17,0.0,0.059000000000000004,0,3.0,0.0,0.0,0.0
Feel wrath air - dropped pamphlets !,anger,7,0.0,0.0,0,0.0,0.0,1.0,1.0
"Okay annoyed , good job .",anger,6,0.0,0.0,0,1.0,0.0,1.0,0.0
n word normalized media ? wow . words . . Words . . . Frog boiling pot media .,anger,19,0.0,0.0,3,0.0,0.0,0.0,0.0
chase fameif goingto resent itwhen startschasing you'WRDSMTH,anger,7,0.0,0.0,0,0.0,0.0,1.0,1.0
"look like raging bitch , obnoxiously laughing funny . think middle ground .",anger,13,0.0,0.0,0,2.0,0.0,2.0,1.0
use getting early asf shit goin irritate .,anger,8,0.0,0.0,0,0.0,0.0,2.0,0.0
Extremely bitter fact Subway Robart replaced low - rent version Chipotle,anger,11,0.0,0.182,0,0.0,0.0,1.0,0.0
Look available store ! ! ! Liquid incense burn sticks cones smoke home ! ! ! !,anger,17,0.0,0.0,5,1.0,0.0,1.0,0.0
Honestly fuming,anger,2,0.0,0.0,0,0.0,0.0,1.0,0.0
raging,anger,1,0.0,0.0,0,0.0,0.0,1.0,1.0
Connie fuming Bake went ' fuck starting vodka ',anger,9,0.0,0.222,0,0.0,0.0,1.0,0.0
respect people force opinions offended 😂,anger,6,0.0,0.16699999999999998,0,1.0,0.0,1.0,2.0
"Probably gon na end seriously poorly point soon , tired , freezing boiling space seconds",anger,15,0.0,0.0,0,0.0,0.0,0.0,0.0
": wow today good day * hour later : burns food , gets sick , spills boiling hot water myself*me : mind",anger,22,0.0,0.045,0,1.0,0.0,1.0,1.0
Blood boiling,anger,2,0.0,0.0,0,0.0,0.0,0.0,1.0
gets aggravated fast like aggravate purpose ?,anger,7,0.0,0.0,0,1.0,0.0,2.0,0.0
heard Movie Bob furious Skittles analogy . upset actually Skittles .,anger,11,0.0,0.273,0,0.0,0.0,1.0,0.0
hell drilling outside house ? ! Literally got sleep half busy shift twats woken,anger,14,0.0,0.071,1,0.0,0.0,2.0,1.0
Joes gf started singing star Joe got angry sing right started angrily singing,anger,13,0.0,0.077,0,3.0,0.0,1.0,0.0
"Republicans , , Graham , Flake , Sasse safe wrath , Hillary Hiney - Kissing ad saw",anger,17,0.0,0.294,1,1.0,0.0,1.0,1.0
waggled eyebrows baby burst laughing love haha,anger,7,0.0,0.0,0,3.0,0.0,0.0,0.0
ve wondered long Angelina Brad crap . gon lie 😐,anger,10,0.0,0.1,0,1.0,0.0,0.0,0.0
boys dint know game game . . . life death . . . better chose know wrath come,anger,18,0.0,0.0,4,0.0,0.0,2.0,2.0
Changed clothes work pre - workout . . route gym traffic - pre workout kicking . .,anger,17,0.0,0.0,2,0.0,0.0,1.0,0.0
swear got anger issues heart big AF . . .,anger,10,0.1,0.1,2,1.0,0.0,1.0,0.0
"struggled w EDs 7y / o , resent making spectacle certain youtuber severe anorexia",anger,14,0.0,0.0,0,0.0,0.0,1.0,1.0
"poured boiling water foot . . cup tea enjoyable , worse football career foiled .",anger,15,0.0,0.0,1,0.0,0.0,0.0,0.0
resentment,anger,1,0.0,0.0,0,0.0,0.0,1.0,0.0
pout want Adrian appear tell stop pouting,anger,7,0.0,0.14300000000000002,0,0.0,0.0,0.0,0.0
Stk expensive i'f bigger female tiff . slim loves eat .,anger,11,0.0,0.091,0,1.0,0.0,0.0,0.0
irritated u love like god damn ur makin angry love u forgive u angry,anger,14,0.0,0.0,0,4.0,0.0,4.0,0.0
ramos best burning haters head,anger,5,0.0,0.0,0,0.0,0.0,0.0,0.0
near kitchen unfortunately cooking snap series 🍳,anger,7,0.0,0.0,0,0.0,0.0,0.0,0.0
"Bret point ? Cena , Balor , sting . . .",anger,11,0.0,0.273,2,0.0,0.0,1.0,1.0
revenge,anger,1,0.0,0.0,0,0.0,0.0,1.0,1.0
makes things easier compact fiery burdened weight sexuality . releases transmutation,anger,11,0.0,0.0,0,0.0,0.0,0.0,0.0
love Matthew Parris ! Political rage good !,anger,8,0.0,0.125,0,2.0,0.0,1.0,1.0
sure burning looting positively impact community,anger,6,0.0,0.0,0,1.0,0.0,0.0,0.0
book m riteing wots happond moor angry m plese man hide eval deeds,anger,13,0.0,0.0,0,0.0,0.0,1.0,1.0
Professor : introduce interesting factHi Ethan Sun engulf planet fiery explosion day,anger,12,0.0,0.083,0,0.0,0.0,1.0,1.0
affected insult infected .,anger,4,0.0,0.0,0,1.0,0.0,1.0,1.0
insult late Sherri Martel,anger,4,0.0,0.25,0,0.0,0.0,1.0,0.0
maps yeah yeah yeahs came radio today burst tears,anger,9,0.0,0.111,0,0.0,0.0,0.0,0.0
"wish live bitter guilty conscience think applied , sorry 💁 🏻 😊",anger,12,0.0,0.0,0,0.0,0.0,2.0,0.0
kenny - bornme - washingtonkenny - fucking liar born fiery pits hell,anger,12,0.0,0.0,0,0.0,0.0,1.0,1.0
fury . patience . conversation .,anger,6,0.0,0.0,0,0.0,0.0,1.0,1.0
"swear god worst drug loving . physical withdrawals bad , emotional withdrawals sting little",anger,14,0.0,0.0,0,2.0,0.0,2.0,2.0
ya girl,anger,2,0.0,0.0,0,0.0,0.0,0.0,0.0
loss city cup 😂 😂 cmon united !,anger,8,0.0,0.125,0,0.0,0.0,0.0,1.0
Boy oh boy ! weekday schedule crazy ! matter tired takes smile Kai face frown,anger,15,0.0,0.067,0,1.0,0.0,1.0,1.0
Like fucking asked .,anger,4,0.0,0.0,0,1.0,0.0,0.0,0.0
allowed Pereira start taking set pieces ? fuming,anger,8,0.0,0.125,0,0.0,0.0,1.0,0.0
fucking mad blood boiling .,anger,5,0.0,0.0,0,0.0,0.0,1.0,2.0
trying stay playing madden 2k 17 addictive 😭 😭,anger,9,0.0,0.111,0,1.0,0.0,1.0,1.0
fury . patience . conversation . 💙 ❤ ️ ✨,anger,10,0.0,0.0,0,0.0,0.0,1.0,1.0
BYU offense score 24 + vs WVU ?,anger,8,0.25,0.25,0,0.0,0.0,1.0,0.0
d love 2 c Gyimah action coach holding grudge !,anger,10,0.0,0.1,0,1.0,0.0,1.0,0.0
Forgiving means operating God spirit God unforgiving hold grudge . ? Exactly .,anger,13,0.0,0.0,1,3.0,0.0,2.0,0.0
got lot tokens saved wanna spam event song eyes sting m tired,anger,12,0.0,0.0,0,0.0,0.0,1.0,1.0
blood boiling,anger,2,0.0,0.0,0,0.0,0.0,0.0,1.0
suppose work ? Wtf dude ? Thanks pissing .,anger,9,0.0,0.0,0,1.0,0.0,1.0,0.0
m mad power rangers . m incensed . m furious .,anger,11,0.0,0.0,2,1.0,0.0,3.0,1.0
Bitches aggravate like inspires biggest cunt known man kind ?,anger,10,0.0,0.0,0,3.0,0.0,2.0,0.0
Fuking fuming,anger,2,0.0,0.5,0,0.0,0.0,1.0,0.0
"hate lawn mower . soul , condemn fiery pits Hell .",anger,11,0.0,0.0,0,1.0,0.0,3.0,3.0
people offended kendall ends photo shoot like seriously shut fuck,anger,10,0.0,0.0,0,1.0,0.0,2.0,2.0
Actually fuming wear Saturday,anger,4,0.0,0.25,0,0.0,0.0,1.0,0.0
find people irritate ? right 😒,anger,6,0.0,0.0,0,0.0,0.0,1.0,0.0
"fuck boiling inside , gon na good let .",anger,9,0.0,0.0,0,1.0,0.0,0.0,0.0
feel furious,anger,2,0.0,0.0,0,0.0,0.0,1.0,0.0
Mexican ladies irritate fuck outta . lil preschool fucking kids welfare allllat smh .,anger,14,0.0,0.071,0,1.0,0.0,1.0,0.0
People irritate MF soul,anger,4,0.25,0.0,0,1.0,0.0,1.0,0.0
People fuckin irritate,anger,3,0.0,0.0,0,0.0,0.0,1.0,0.0
way ur angry literally feel ur blood boiling,anger,8,0.0,0.0,0,0.0,0.0,1.0,1.0
mind raging want end,anger,4,0.0,0.0,0,0.0,0.0,1.0,1.0
hateful bitter fag,anger,3,0.0,0.0,0,0.0,0.0,2.0,1.0
OOOOOOOOH GOD UUUUGGGGHHHHHHHHH,anger,3,1.0,0.667,0,1.0,0.0,0.0,0.0
thing feed naay raging brother filling gaps,anger,7,0.0,0.0,0,1.0,0.0,1.0,1.0
lost couple niggas want revenge coach,anger,6,0.0,0.0,0,0.0,0.0,1.0,1.0
outrage black man kills black man streets ?,anger,8,0.0,0.0,0,0.0,0.0,2.0,1.0
