text,affect,word_count,upper_word_count,ent_word_count,h_count,s_count,a_count,f_count,cons_punct_count
Back to the gym tonight! Gotta loose the million pounds I put on while I was off work for 6 weeks. ,0.000,24.000,0.083,0.125,0.000,0.000,0.000,0.013,0.000
the feeling of when you've finished all you homework :D ,0.000,11.000,0.091,0.000,0.000,0.000,0.000,0.000,0.000
"Those single seats available 4 the Boston game r behind the Bruins bench. C'mon fans, put your $$$ where your mouths r.   ",3.000,27.000,0.000,0.148,0.000,0.000,0.000,0.000,0.000
I am definitely being a lame loser tonight. Typical Monday. ,0.000,12.000,0.083,0.167,0.000,0.000,0.000,0.000,0.000
beautiful snowy morning.  will need snowshoes for 2days christmas tree cutting adventure.  ,0.000,16.000,0.000,0.125,0.026,0.000,0.000,0.000,0.000
In Detroit. Now to airport people watch for 3 hours 'till my next flight..... ,0.000,17.000,0.000,0.118,0.000,0.000,0.000,0.000,4.000
THAT WAS HORRIBLE! anddddd I get to go back and do it again tonight ,0.000,15.000,0.267,0.067,0.000,0.000,0.000,0.013,0.000
Eating out of polystyrene on a Saturday night! ,0.000,9.000,0.000,0.222,0.000,0.000,0.000,0.000,0.000
Last christmas carol show... ,1.000,5.000,0.000,0.200,0.013,0.000,0.000,0.000,2.000
smh wus wrong wit niggas these days a  that  to another  does it out of in my eyes smh lot of niggas lie to me,3.000,28.000,0.000,0.036,0.000,0.013,0.000,0.000,0.000
"odeio ouvir um disco legal,procurar um lugar pra baixa-lo e não encontrar!!!! =S ( )",1.000,24.000,0.042,0.000,0.000,0.000,0.000,0.000,3.000
I'm so tired and I hurt so bad! Pulled my hamstring or groin. ,0.000,16.000,0.125,0.000,0.000,0.013,0.000,0.013,0.000
Who decided to shut down the National Center for Education Statistics for maintenance TODAY when I'm writing my tuition story!!! ,2.000,24.000,0.083,0.083,0.000,0.000,0.000,0.000,2.000
Countesthorpe kids cookery club in morning....,0.000,7.000,0.000,0.143,0.013,0.000,0.000,0.000,3.000
another day of not feeling good......,0.000,7.000,0.000,0.143,0.013,0.000,0.000,0.000,5.000
Watching Winnie the Pooh with my baby sister..anyone who knows me understands this is a big deal....,3.000,20.000,0.000,0.050,0.013,0.000,0.000,0.000,4.000
Work is the last place I want to be right now =( Not to mention it's freezinggg and first of the monthers have yelled at me twice ,0.000,28.000,0.036,0.036,0.000,0.000,0.000,0.000,0.000
"When someone in front of me in the queue takes a table I was eyeing up, fine but when someone from behind does it ",2.000,25.000,0.040,0.000,0.000,0.000,0.000,0.000,0.000
Holy poop nuggets I just want to feel better! ,2.000,10.000,0.100,0.000,0.013,0.000,0.000,0.000,0.000
"My voice is gonna be shot on Tuesday.. all day singing, auditions AND night rehearsal . Oh ... -__-",0.000,22.000,0.045,0.136,0.013,0.013,0.000,0.000,3.000
was confronted by an unknown woman in asda and her words where 'i hope your sober from last weekends antics' ,3.000,22.000,0.000,0.091,0.013,0.000,0.000,0.000,0.000
Since I'm stuck watching my brother today my day will consist of watching him play  all day long! ,0.000,21.000,0.048,0.048,0.026,0.013,0.000,0.000,0.000
Takin one slut outta my life movin on lookin for a good girl that the team hasn't ran thru ,0.000,20.000,0.000,0.000,0.013,0.000,0.000,0.000,0.000
Red album cold hands and waiting for the bus ,0.000,9.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
..army mania haircut και μια μέρα ακόμη σαν πολίτης ,1.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
Success: when the 3-year-olds I teach say they love me. I seriously get the biggest smile. ,0.000,21.000,0.095,0.048,0.038,0.000,0.000,0.000,0.000
When your so called 'friend' becomes a stranger as soon as she's got a boyfriend! Hahahaha you'll soon realise how silly you've been ,2.000,29.000,0.000,0.000,0.026,0.000,0.000,0.000,0.000
Dropping Magnus off at the vet to have his man surgery I wonder if he knows what's about to happen,1.000,21.000,0.048,0.048,0.013,0.000,0.000,0.013,0.000
Going to have the laziest weekend ever  well not exactly. Shopping with the madre tomorrow ,0.000,17.000,0.000,0.118,0.013,0.000,0.000,0.000,0.000
OH SHIT!! tomorrow is part 1 of tha season finale of Son Of Anarchy!! ,1.000,18.000,0.111,0.167,0.000,0.000,0.000,0.013,2.000
"Two hour long vision meeting this morning, full day at work, and Adam's lovely work Christmas party tonight ",0.000,21.000,0.000,0.286,0.038,0.013,0.000,0.000,0.000
There is no greater sorrow than to recall in misery the time when we were happy. & ,1.000,18.000,0.000,0.000,0.013,0.026,0.000,0.000,0.000
Twitter won't change my profile picture. ,2.000,8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
I had to bottle a rat with rosy nosy beer last night Henry brought it in it climbed the curtain. Please don't condemn me :( ,3.000,27.000,0.037,0.074,0.013,0.013,0.000,0.000,0.000
"I just realized most Xmas songs have the word gay in it. Welp, WA has both meanings down, good job guys!  ",0.000,26.000,0.077,0.115,0.026,0.000,0.000,0.000,0.000
rest in the bosom of a FOOL!,2.000,8.000,0.125,0.000,0.000,0.013,0.000,0.000,0.000
*Premier Inn TVs are bolted surprisingly strongly to the table* Daybreak proofing?  ,2.000,16.000,0.000,0.062,0.013,0.000,0.000,0.000,0.000
I'm on a  Vibe gon feed this depression to the paper with a pen as the spoon. My Pad is hungry and Imma feed it this ,1.000,29.000,0.034,0.034,0.000,0.013,0.000,0.000,0.000
I so don't feel good :( ,1.000,7.000,0.143,0.000,0.013,0.000,0.000,0.000,0.000
DARN YOU SCHOOL I WANTED TO GO TO A CONCERT TODAY!!!!:( ,1.000,17.000,0.647,0.059,0.000,0.000,0.000,0.000,3.000
shit nabura lht ng files ko sa USB ksama pa nmn dun ung mga pics ng  =(( un,1.000,20.000,0.050,0.050,0.000,0.000,0.000,0.000,0.000
Can't wait to sit in the doctor's office reception area so I can read how to fix meatloaf 3 ways and catch up on 1992  ,0.000,28.000,0.036,0.071,0.000,0.000,0.000,0.000,0.000
Thankful for a warm shower and indoor plumbing this frosty morning.  ,0.000,13.000,0.000,0.000,0.013,0.000,0.000,0.000,0.000
"The trouble today with women, the mouth don't stop ",3.000,11.000,0.000,0.091,0.000,0.000,0.000,0.000,0.000
Another friday night at home by myself ,0.000,7.000,0.000,0.286,0.013,0.000,0.000,0.000,0.000
"Been a long day. Looking forward to The Cafe at 9, then bed, ready for another long day tomorrow. Year 12 parents evening. ",0.000,28.000,0.000,0.179,0.000,0.026,0.000,0.000,0.000
Adam: I was afraid -Gen. 3:10 ~ Abram: Do not be afraid -Gen. 15:1 ~ Sarah: she was afraid-Gen. 18:15 ~ Jacob:I was afraid -Gen. 31:31 ,3.000,37.000,0.054,0.162,0.000,0.000,0.000,0.051,0.000
"Happy Tweet:  Some think that joy is in short supply.  Rather, it's in short use!!    ",0.000,24.000,0.000,0.000,0.026,0.000,0.000,0.000,1.000
Bad news guys. Lost my hipster glasses. Swagger on a negative hundred thousand trillion ,1.000,16.000,0.000,0.062,0.000,0.026,0.000,0.013,0.000
"Acabo de confundir a cierta persona en mi uni con ""cierta personita"".  mi conciencia no me deja",3.000,21.000,0.000,0.048,0.000,0.000,0.000,0.000,0.000
False Evidence Appearing Real... ,3.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000
"So glad I'm home from school early, quick nap before work -_-",0.000,14.000,0.071,0.000,0.026,0.000,0.000,0.000,0.000
Sleep for an hour and then back up for school. ,0.000,11.000,0.000,0.091,0.000,0.000,0.000,0.000,0.000
Each present or sorrow seems the chief.,0.000,8.000,0.000,0.000,0.013,0.013,0.000,0.000,0.000
11 days until my new site relaunch. in my heart!,0.000,12.000,0.000,0.083,0.013,0.000,0.000,0.000,0.000
Just ate at a diner with three kinds of gravys on a single platter. ,0.000,15.000,0.000,0.067,0.013,0.000,0.000,0.000,0.000
Wonderful time eating Christmassy food and listening to Christmas music and watching Muppet Christmas Carol with my friends tonight! ,0.000,20.000,0.000,0.200,0.077,0.000,0.000,0.000,0.000
"You Know I Spend Money, Because Spending Time Is Hopeless ",3.000,11.000,0.091,0.000,0.013,0.013,0.000,0.000,0.000
after going to that alpha probate last night..i realized im a disgrace to the stereotype of black women dancing really well :(,1.000,25.000,0.000,0.040,0.026,0.013,0.000,0.000,1.000
It's always fun when my clients don't come in on time ,2.000,13.000,0.000,0.000,0.013,0.000,0.000,0.000,0.000
So dois  pra vc sem mais ! bis engordaa ta ruM . um por ano e pronto :),0.000,19.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Stupid cow get out my life.  ,2.000,8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Phone is dying + power is out at home = no phone for awhile ,0.000,14.000,0.000,0.000,0.026,0.013,0.000,0.000,0.000
Oh and to make my day even better I have double maths ,0.000,12.000,0.083,0.000,0.000,0.000,0.000,0.000,0.000
et que ça serait trop chouette qu'on paye les femmes à rester à la maison. ,3.000,16.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Woke up at 5AM to the sounds of Deeds laughing in his room playing with Magpie. ,0.000,17.000,0.059,0.118,0.026,0.000,0.000,0.000,0.000
C'est officiel : La moustache ne me va pas. ,1.000,10.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000
Just miserable out. So much hwww...but first singing/driving lesson with a jolly russian. SIKE. ,0.000,21.000,0.048,0.048,0.026,0.013,0.000,0.000,2.000
"I feel a certain strange surging thru my soul....., yet it feels so off-limits..wht do I do... Wht. Is there to say? ",3.000,31.000,0.065,0.000,0.013,0.000,0.000,0.000,7.000
this pregnant guy about to give us a test tomorrow .. ,0.000,11.000,0.000,0.091,0.000,0.000,0.000,0.000,1.000
Fun night :) now time to be productive ,0.000,8.000,0.000,0.000,0.013,0.000,0.000,0.000,0.000
I wish I could sleep in all day.. Oh wait I have tons of homework then work till 9 ,0.000,20.000,0.150,0.050,0.000,0.000,0.000,0.000,1.000
Time to tidy the messing office! ,0.000,7.000,0.000,0.143,0.000,0.000,0.000,0.000,0.000
football training is going to be wet ,0.000,7.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Guess I should write my paper(s) now... ,1.000,9.000,0.111,0.000,0.000,0.000,0.000,0.000,2.000
On the agenda for today - homework on homework ,0.000,9.000,0.000,0.111,0.000,0.000,0.000,0.000,0.000
Strictly avoid frightening ideas ,3.000,4.000,0.000,0.000,0.000,0.013,0.000,0.000,0.000
"""If you are patient in one moment of anger, you will escape a hundred days of sorrow.""  ",2.000,22.000,0.000,0.091,0.000,0.013,0.000,0.000,0.000
"Both siblings plugged into their ipods sleeping. 2 mad parents, and then theres me! ",0.000,18.000,0.000,0.056,0.000,0.013,0.000,0.000,0.000
As the film dosent cheer me up I'm gunna go to bed in a really shit mood feeling like I'm gunny cry (y) ,0.000,27.000,0.074,0.000,0.026,0.013,0.000,0.000,0.000
"What a week, 10 years since I last heard those fateful words, hearing them a second time wasn't any easier.   ",3.000,25.000,0.040,0.080,0.000,0.000,0.000,0.000,0.000
i feel like want to tears when i watch that video. ,1.000,12.000,0.000,0.000,0.013,0.013,0.000,0.000,0.000
HOT shower time.. :) Then movies and goodies by my lonesome!& haa -__-,0.000,16.000,0.062,0.000,0.013,0.013,0.000,0.000,1.000
Taco Bell At The Food Court ; I Got My Last Day In Mens ,0.000,14.000,0.071,0.214,0.000,0.000,0.000,0.000,0.000
I'm sorry but if you're going to do an act 1 run through I think maybe it should be finished before you try it..? ,2.000,28.000,0.071,0.036,0.000,0.000,0.000,0.000,1.000
"Jus kno tht Im in debt for u, defendin all our dreams.. i hope u tell ur Families this Shit aint wat it Seems..I got u  havno ",3.000,34.000,0.059,0.029,0.038,0.000,0.000,0.000,2.000
Depressione post-tour. Dopo una decina di date in un anno. :(,1.000,15.000,0.000,0.067,0.000,0.000,0.000,0.000,0.000
my heart is racing and I'm shaking ,2.000,8.000,0.125,0.000,0.013,0.000,0.000,0.013,0.000
"Birthday gifts from kids: Chewbacca bobblehead, Nerf Thor hammer, book about Rin Tin Tin. ",0.000,18.000,0.000,0.111,0.038,0.000,0.000,0.000,0.000
"There is a river of flowing through the city of our God-the sacred home of the God above all gods.""",0.000,24.000,0.000,0.000,0.051,0.000,0.000,0.000,0.000
Sitting at statcare..and they are making me ware a sick mask..  ,0.000,15.000,0.000,0.000,0.000,0.013,0.000,0.013,2.000
"I have serious issues. For instance, my paying for a service that you don't provide = hell raining down on you.",2.000,25.000,0.040,0.000,0.000,0.013,0.000,0.000,0.000
"Knowing you have two essays, a test paper and shit loads of reading to do is a great start to the week ",0.000,23.000,0.000,0.043,0.013,0.000,0.000,0.000,0.000
There is nothing I like better than watching Daniel Day Lewis ambling around in period costumes yelling stuff with some awesome accent.,0.000,23.000,0.043,0.043,0.026,0.000,0.000,0.000,0.000
"~ ontem lá na minha voz tava muito Rocaaa , ai eu comecei a canta as musicas do Mr.Catra , Fico igualziinhu man , kkk [+]",0.000,30.000,0.000,0.067,0.000,0.000,0.000,0.000,0.000
I lost my heart in the beginnings of winter... And I was so convinced... ,1.000,16.000,0.125,0.062,0.013,0.013,0.000,0.000,4.000
140 characters is not enough to rant about our shit tory government. make the rich richer and let the poor rot in a hole.  ,2.000,27.000,0.000,0.037,0.000,0.013,0.000,0.000,0.000
I'm stressed out to the point I dont wanna do any more work. At least tomorrow is Friday! ,0.000,22.000,0.091,0.091,0.000,0.000,0.000,0.013,0.000
"Running on half a can of coke, an hour and a half of sleep, and a snickerdoodle ",0.000,19.000,0.000,0.105,0.000,0.000,0.000,0.000,0.000
follows a pure thought like a shadow that never leaves-The Buddha,0.000,13.000,0.000,0.000,0.013,0.000,0.000,0.000,0.000
Now excuse me while I go read till like 1 in the morning.    of course I have to be a slow reader ,0.000,24.000,0.083,0.042,0.013,0.000,0.000,0.000,0.000
"Jesus demands are simple.  His yoke is easy, his burden light.  The relationship brings ",0.000,19.000,0.000,0.053,0.026,0.000,0.000,0.000,0.000
Finally at home ending a hard week. Now it's time for a hard weekend ,1.000,16.000,0.000,0.125,0.013,0.000,0.000,0.000,0.000
When you yell at the oven to cook your food faster ,2.000,11.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Fehler:509,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
So jealous of all of you that are eating Thanksgiving meal... I'm playing soccer.  ,0.000,18.000,0.056,0.056,0.026,0.000,0.000,0.000,2.000
Helpin Brandon and brittany move her parents stuff! ,1.000,9.000,0.000,0.111,0.000,0.000,0.000,0.000,0.000
Awkward stage my junior year?  ,0.000,7.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Very slow northbound M23 J11 to J8 M25& accident cleared, roadworks in place ",0.000,15.000,0.267,0.133,0.000,0.013,0.000,0.000,0.000
Had at least 3 PEOPLE telling me they've been friendzoned today =)))) ,1.000,17.000,0.059,0.118,0.000,0.000,0.000,0.000,0.000
the heating vent sounds make me so amped!!  ,0.000,11.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
Looking forward to spending time with my long lost honourary sisters tonight!  ,0.000,14.000,0.000,0.071,0.000,0.026,0.000,0.000,0.000
laying on my floor looking up at the ceiling and listening to amazing music is the best feeling ever ,0.000,19.000,0.000,0.000,0.026,0.000,0.000,0.000,0.000
My first day of Thanksgiving Break and I'm up right now to get started on all this bs Chemistry work and a Research Project ,0.000,25.000,0.040,0.040,0.013,0.000,0.000,0.000,0.000
"OK donc je découvre Man va Wild. Et en plus, c'est le best of. ",3.000,17.000,0.059,0.059,0.000,0.000,0.000,0.000,0.000
"Up, showered:) .... time ta clean -.- ",0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000
mmmmmm I think mother nature is coming . ,0.000,8.000,0.125,0.000,0.013,0.000,0.000,0.000,0.000
how the fuck have i lost my psychology book ,2.000,9.000,0.000,0.000,0.000,0.013,0.000,0.000,0.000
I can't wait to go meet Matt's parents tomorrow. The of having a new boyfriend... Eh kind of boyfriend ;),0.000,24.000,0.042,0.083,0.013,0.000,0.000,0.000,2.000
feeling like crap this morning. ,0.000,6.000,0.000,0.167,0.013,0.000,0.000,0.000,0.000
"""The King will reply, ‘Truly I tell you, whatever you did for one of the least of these brothers and sisters of mine, you did for me."" ",0.000,34.000,0.029,0.029,0.013,0.000,0.000,0.000,0.000
Shit just hit the fan ,3.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"No school for me tomorrow. Going practice though, but all I get to do is sit there. ",0.000,20.000,0.050,0.050,0.000,0.000,0.000,0.000,0.000
about to leave the house and drive through the city in like an hour or so.rawwwwwwwwwwwwwwr!drivingandnosey driving!,0.000,18.000,0.000,0.000,0.013,0.000,0.000,0.000,0.000
Not a chest infection so no antibiotics for me.... tiz a viral infection of the voice box.,0.000,19.000,0.000,0.000,0.000,0.000,0.000,0.026,3.000
"'I shouldn't treat you badly, I'm a dick' - why act like one then? headphones in and ignore the world ",1.000,26.000,0.077,0.000,0.026,0.000,0.000,0.013,0.000
The only thing on my Christmas list this year is  and ,0.000,12.000,0.000,0.083,0.013,0.000,0.000,0.000,0.000
I feel so good this morning :),0.000,7.000,0.143,0.000,0.013,0.000,0.000,0.000,0.000
Hate driving next to 18 Wheelers. Heart starts pounding through my chest every time. ,3.000,16.000,0.000,0.125,0.013,0.013,0.000,0.013,0.000
"My honey is sooo sweet, he just called and said ""keep your schedule clear tomorrow "" I know that could only mean 1 thing   ",0.000,27.000,0.037,0.074,0.013,0.000,0.000,0.000,0.000
Even better I get to work a party with Jackie Tarantola and then kill myself in a cars party ,0.000,19.000,0.053,0.053,0.026,0.013,0.000,0.000,0.000
Got stuck behind both construction and a car accident on my way to school today. ,0.000,16.000,0.000,0.062,0.000,0.013,0.000,0.000,0.000
Gonna make the most of my time curled up in the warm today... Back to mucking out stables for 3 shetties and two horses on friday.. ,0.000,29.000,0.000,0.138,0.000,0.000,0.000,0.000,3.000
The way my dog tells me happy thanksgiving is by throwing up in my room. ,0.000,16.000,0.000,0.000,0.026,0.000,0.000,0.000,0.000
 and I will have to start paying off my student loan ,0.000,12.000,0.083,0.000,0.000,0.000,0.000,0.000,0.000
I Might Tell A Lie If You Ask Me Bout My Whereabouts But I Might Speak That Real If You Ask Me What I Care About ,0.000,26.000,0.154,0.038,0.000,0.013,0.000,0.000,0.000
"Life is a game, the chips fall where they may but most times they don't fall where you want them ",3.000,22.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Lol went into shutdown mode. Now it's time to study. ,0.000,13.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
That heartwarming feeling you get when your mother smiles that hugw smile she always tries to hide ,0.000,17.000,0.000,0.000,0.026,0.000,0.000,0.013,0.000
"Letting go is a slow process, however many have yet to even begin the process. of the unknown.",3.000,21.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ohh this messy breakfast of mine!!! ☺ ,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000
What's better than a cozy night with family and friends  ,0.000,12.000,0.000,0.000,0.038,0.000,0.000,0.000,0.000
No auto tune but u can feel the pain it all comes rushing out like i hit a vein ,3.000,19.000,0.000,0.000,0.013,0.013,0.000,0.000,0.000
I want some sweets soooooo bad but this tooth of mine want allow it..!! ,1.000,17.000,0.059,0.000,0.013,0.000,0.000,0.013,2.000
I HATE it when I try and help someone and they just mess with their phone while I fix it for them. ,2.000,23.000,0.174,0.000,0.000,0.013,0.000,0.000,0.000
great.... now my hands smell like doro wit lol,0.000,10.000,0.000,0.000,0.026,0.000,0.000,0.000,3.000
Valkyrie climbed under the covers and curled up behind my knees the moment I slid into bed. Yay kitty warmth. ,0.000,22.000,0.045,0.045,0.026,0.000,0.000,0.000,0.000
Damn. I wanted to make Blondies and opened the fridge to not having any butter.  ,1.000,18.000,0.056,0.056,0.000,0.000,0.000,0.000,0.000
This is gonna be a bad head day!!! ,3.000,12.000,0.000,0.000,0.000,0.000,0.000,0.013,2.000
Twitter please stop rubbing it in that you watched  last nght however fell asleep befor it started and now i am in a state of ,1.000,26.000,0.000,0.000,0.013,0.000,0.000,0.000,0.000
Finished a paper got 5 hours of sleep now its time to start my day ,0.000,15.000,0.000,0.067,0.000,0.000,0.000,0.000,0.000
has had a great day. Doesn't want jiggs to leave for work ,1.000,14.000,0.000,0.000,0.013,0.000,0.000,0.000,0.000
"Although nothing special happened today, I think it's been one of the greatest days ever. Thanks Big Man!!  ",0.000,24.000,0.042,0.125,0.026,0.000,0.000,0.000,1.000
I  soo Much  Im Jus Tryna Feel sum ,0.000,11.000,0.182,0.000,0.000,0.000,0.000,0.000,0.000
WHY do I have to be the nice kid in my neighborhood?? Now Im the holiday dog walker. ,0.000,22.000,0.136,0.000,0.026,0.000,0.000,0.000,1.000
"As I type, I get texts... baby is fine (moving and heart beating) Since she is O-, they've given a RH shot, to be safe. THE BABY IS FINE! ",0.000,38.000,0.211,0.000,0.038,0.026,0.000,0.000,2.000
"Bag strap broke today, watch broke yesterday lucky my laptop and camera was ok after bag fell :(",1.000,19.000,0.000,0.105,0.013,0.000,0.000,0.000,0.000
And so the dawning of the much anticipated hen day/night has arrived....dun dun dun!!!!! ,3.000,23.000,0.000,0.000,0.000,0.000,0.000,0.000,7.000
Going around heartland looking like a tomato face... ,0.000,9.000,0.000,0.000,0.013,0.000,0.000,0.000,2.000
"Made my decision, nap time til 2:45  ",0.000,9.000,0.000,0.111,0.000,0.000,0.000,0.000,0.000
My whole family is coming over today ,0.000,7.000,0.000,0.143,0.013,0.000,0.000,0.000,0.000
"When you're on a role, don't forget to Thank those who gave you a push...Thank You! ",0.000,22.000,0.000,0.000,0.026,0.000,0.000,0.000,2.000
Its not christmas without the coca cola and tim hortons commercials <3 ,0.000,12.000,0.000,0.167,0.013,0.000,0.000,0.000,0.000
I luv kick ups specially da ones with Silver Fox! ,0.000,11.000,0.091,0.091,0.013,0.000,0.000,0.000,0.000
"my hair is pretty much my natural hair color now..seriously...dying it again friday, ",0.000,18.000,0.000,0.056,0.013,0.013,0.000,0.000,3.000
.. I pop bottles cause I bottle my Emotions ... at least I put it all in the open ... ,3.000,20.000,0.150,0.000,0.000,0.000,0.000,0.000,5.000
"Soooo much work to do,have not even left my room today ",1.000,13.000,0.000,0.077,0.000,0.000,0.000,0.000,0.000
It's Monday morning after a couple of relaxing days.... Already hate it... To make things worse... I'm stuck in traffic! ,0.000,26.000,0.038,0.038,0.013,0.013,0.000,0.000,7.000
Time for a team run. ,0.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
two day calc test begins tomorrow ,0.000,6.000,0.000,0.333,0.000,0.000,0.000,0.000,0.000
"i should clarify: we're winning the *game* of terror, not the war on it. america terrorizes like fucking no one does. still, plenty to ",3.000,32.000,0.000,0.000,0.026,0.026,0.000,0.013,0.000
"Weeping may endure for a night, but comes in the morning! Guess what? It's Sunday Morning!",0.000,21.000,0.000,0.095,0.000,0.013,0.000,0.000,0.000
Don't waste your day being busy...Make sure you're productive by doing the things you don't want to do first.  ,3.000,26.000,0.000,0.077,0.000,0.000,0.000,0.000,2.000
"Anger items for the day: Xmas decorations before thanksgiving, no horseradish at a deli, flight delays, no scotch, and a middle seat. ",2.000,28.000,0.000,0.071,0.026,0.000,0.000,0.000,0.000
science homework all day... -.-,0.000,6.000,0.000,0.167,0.000,0.000,0.000,0.000,2.000
Officially done with class for the semester! So crazy how the time flies...now on to finals..,0.000,20.000,0.000,0.000,0.000,0.000,0.000,0.013,3.000
Great. Just noticed I have a spider bite on my face. Yay. ,0.000,15.000,0.067,0.000,0.026,0.000,0.000,0.013,0.000
guess who doesn't have her floral design course.  this girl.  ,1.000,15.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
I pop Bottles so I Bottle my emotions. Atleast I put it all in da open... ,3.000,18.000,0.167,0.056,0.000,0.000,0.000,0.000,2.000
Parents cancelled christmas tree decorating after I rush home from studying downtown! :(  ,1.000,15.000,0.067,0.000,0.026,0.000,0.000,0.000,0.000
"They Say Not payin Somethin No Mind Is a Better Choice, Shit I Begg 2 Differ ignorin it makes it Worse Then Make U Wanna Fight ",2.000,27.000,0.074,0.000,0.000,0.000,0.000,0.013,0.000
I left my copy of Love Actually at school...  ,1.000,11.000,0.091,0.091,0.013,0.000,0.000,0.000,2.000
Credits at the beginning of a movie are really annoying! ,1.000,11.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
I just found a dollar in my pocket while doing laundry. Highlight of my week. ,0.000,17.000,0.059,0.059,0.000,0.000,0.000,0.000,0.000
Weather related tweet! ,2.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
I been writing all day yesterday and I'm still not finished with this review ;o back to writing. o.O,0.000,22.000,0.091,0.091,0.000,0.000,0.000,0.000,0.000
Okay I'm scared of ghost.. Please don't ever come and find me. ,3.000,16.000,0.062,0.000,0.013,0.000,0.000,0.026,1.000
"Ugh. Despite a midnight shower to wash the vomit out of her hair, both children were up and at 'em by 7 this morning. Bring on the coffee",0.000,31.000,0.000,0.065,0.000,0.000,0.000,0.000,0.000
i think i broke my butt bone. ,1.000,8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3 hour drive on the bus... ,0.000,7.000,0.000,0.143,0.000,0.000,0.000,0.000,2.000
Rest In Peace Ginter the fish ,1.000,6.000,0.000,0.000,0.013,0.000,0.000,0.000,0.000
That 90% sobered up phase where you dunno whether to eat or sleep. ,1.000,15.000,0.000,0.067,0.000,0.000,0.000,0.000,0.000
Little Pigs Too in Peak has closed. ,1.000,8.000,0.000,0.125,0.013,0.000,0.000,0.000,0.000
I'm hoping I fall asleep before the stampede scene. ,1.000,11.000,0.182,0.000,0.013,0.000,0.000,0.000,0.000
somehow i feel like that isnt the first time shes watched him leave. :( ,1.000,17.000,0.000,0.059,0.013,0.000,0.000,0.000,0.000
