text,affect,word_count,upper_word_count,ent_word_count,h_count,s_count,a_count,f_count,cons_punct_count
Getting Ready to Spend Time With Fam ---   and is What Life Is All About,0.000,16.000,0.000,0.062,0.000,0.000,0.000,0.000,0.000
 is to do calc problems....that has been my life for the last 3 hours and will be for the rest of the night ,0.000,26.000,0.000,0.038,0.000,0.000,0.000,0.000,3.000
Feeling left out... I guess I always have my boyfriend. ,1.000,12.000,0.167,0.000,0.000,0.000,0.000,0.000,2.000
I only have two class periods left with my favorite teacher. ,1.000,12.000,0.083,0.083,0.013,0.000,0.000,0.000,0.000
Stupid fucking woman on the bus talks to the bus driver every week for ages I wanna get home u stupid dirty old fuck ,2.000,24.000,0.042,0.042,0.013,0.000,0.000,0.000,0.000
been awake since 4:30am. too tired for black friday fun. ,1.000,12.000,0.000,0.083,0.013,0.000,0.000,0.000,0.000
"My biggest is loosing you, so please don't make me ever face that fear. You have no absolutely no idea how much you mean to me.",3.000,30.000,0.000,0.000,0.013,0.013,0.000,0.000,0.000
I can't believe I'm saying this but Room 112 by 112 is a big ass simp album. ,1.000,20.000,0.100,0.100,0.000,0.000,0.000,0.000,0.000
"They're playing Manchester Orchestra in between acts...Hey Allston Pudding, I really would have liked to go to that concert. ",2.000,24.000,0.042,0.042,0.026,0.000,0.000,0.000,2.000
Guess I better start my psychology paper that's due Monday. ,0.000,12.000,0.083,0.083,0.000,0.000,0.000,0.000,0.000
literally haven't seen the sun in a week and it's finally coming out! ,0.000,16.000,0.000,0.062,0.000,0.000,0.000,0.000,0.000
"Since this is the season to give I'm giving God my problems 4 solutions, sickness 4 healing, insecurity 4 a touch  of HIS garment! ",0.000,29.000,0.069,0.103,0.013,0.026,0.000,0.000,0.000
Now for the painful walk downstairs ,0.000,6.000,0.000,0.000,0.000,0.013,0.000,0.000,0.000
FANTASTIC. My amazing memory saves the day again! Now I can sleep in tomorrow ,0.000,16.000,0.125,0.125,0.013,0.013,0.000,0.000,0.000
Naubusan kami ng slot sa 5k ng MILO MARATHON :| ,1.000,10.000,0.200,0.200,0.000,0.000,0.000,0.000,0.000
People are more likely to die in hospital at the weekend? ,3.000,12.000,0.000,0.083,0.013,0.013,0.000,0.000,0.000
"Can honestly say, don't think I've ever done so shit in an exam before ",0.000,17.000,0.059,0.000,0.000,0.000,0.000,0.000,0.000
"If nobody makes plans by tomorrow morning, I'm gonna finally watch all those SVU episodes crowding my DVR.   ",1.000,23.000,0.130,0.174,0.000,0.000,0.000,0.000,0.000
The world didnt give it and the world cant take it away ,0.000,14.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
time to start this research paper ,0.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
History wasn't so bad! Now the last exam on tuesday! And that would be N.S! ,0.000,19.000,0.053,0.105,0.000,0.000,0.000,0.013,0.000
Ready to knock some1 out before 9.05am today ,0.000,8.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000
I have learned to be content in any situation and I thank God for peace that surpasses ALL understanding  ,0.000,20.000,0.150,0.000,0.051,0.000,0.000,0.000,0.000
Just had possibly the most awkward conversation in my life. ,0.000,11.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
staging environment. private server. logged in to back-end CMS. opening the front-end in new window... too many connections... WTF? ,1.000,29.000,0.069,0.069,0.000,0.000,0.000,0.000,4.000
"Soooooo... yeah, I think I'm gonna start posting my newest fan fiction. I was gonna wait till I was finish, but I'm excited. :D",0.000,33.000,0.182,0.000,0.013,0.000,0.000,0.000,2.000
''What is profound might become absolutely meaningless'' ,3.000,11.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
I want cake. I bet we don't have any. ,1.000,12.000,0.167,0.000,0.000,0.000,0.000,0.000,0.000
"Remember, men need laughter sometimes more than food.",0.000,10.000,0.000,0.000,0.013,0.000,0.000,0.000,0.000
Great...thanksgiving. mad people in my house for no apparent reason smh -_-,0.000,15.000,0.000,0.000,0.026,0.013,0.000,0.000,2.000
"Don't believe the lies, look me in the eyes- please don't be scared of me ",3.000,18.000,0.000,0.000,0.013,0.013,0.000,0.013,0.000
"It's so cold in here every freaking girls boobs, including my own, have become their own powerpoint presentation. ",0.000,22.000,0.000,0.000,0.013,0.000,0.000,0.013,0.000
"Abundance is: seeing lots and lots of family, eat lots of delicious food, see many beautiful places repeatedly over the last four days. ",0.000,27.000,0.000,0.037,0.051,0.000,0.000,0.000,0.000
Went upstairs for a min and came back to find my puppy ate a huge corner of my book... ,2.000,20.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000
Little hesitant to apply deodorant ever again ,3.000,7.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Enjoy this Day Beautiful World and Planet Earth's wonderful people!!   ,0.000,14.000,0.000,0.143,0.038,0.000,0.000,0.000,1.000
Guess what? Its Thursday and I have 2 tests today... ,0.000,12.000,0.083,0.250,0.000,0.000,0.000,0.000,2.000
Packing to leave tomorrow ,1.000,4.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000
gotta get up in 6 hours to ride a plane ,0.000,11.000,0.000,0.091,0.000,0.000,0.000,0.000,0.000
Happiness may shift with the circumstances but the Joy of the Lord gives you the Victory over the circumstances.  ,0.000,21.000,0.000,0.048,0.038,0.000,0.000,0.000,0.000
bawling my eyes out and curled up....i have never felt this sick so far ,0.000,16.000,0.000,0.000,0.000,0.026,0.000,0.000,3.000
Had a coffee about 2 hours ago and I'm coming up like a bastard with the and jitters now! Need 2 naggins to calm me down !!!,3.000,31.000,0.032,0.065,0.013,0.000,0.000,0.013,2.000
Working my first Campbell game of the year ,0.000,8.000,0.000,0.375,0.000,0.000,0.000,0.000,0.000
" Seein' folks,  overcome limitations, by seeing that THEY can be who they DREAM! That their capacity for is the compass!",0.000,27.000,0.074,0.037,0.013,0.000,0.000,0.000,0.000
Annoying people who rung you and then hang up once you pick up the phone ,2.000,15.000,0.000,0.000,0.000,0.013,0.000,0.000,0.000
Lost volleyball game to meadowlark ,0.000,5.000,0.000,0.000,0.000,0.013,0.000,0.000,0.000
Successful day of nothingness. ;D Now back to reality. ,0.000,11.000,0.091,0.182,0.013,0.013,0.000,0.000,0.000
"Looking through old Facebook photos, I noticed circa late spring 2009, aka graduation, that my eyes were bugged out.  ",3.000,24.000,0.042,0.083,0.000,0.000,0.000,0.000,0.000
"Our storms are designed to test out Faith. As a Christian we have the power to WIN in every situation. Cry but keep flying,  ",0.000,28.000,0.036,0.036,0.038,0.013,0.000,0.000,0.000
mom said someone ant work called her newborn girl LUBNA *wohoo* ,0.000,13.000,0.077,0.077,0.000,0.000,0.000,0.000,0.000
I'll miss watching Buehrle on the south side. He was my favorite White Sox player. ,1.000,18.000,0.056,0.111,0.013,0.013,0.000,0.000,0.000
And know I pop bottles because I bottle my emotions.. At least I put it all in the open.. ,3.000,21.000,0.143,0.000,0.000,0.000,0.000,0.000,2.000
I am fucking extremely full!! ,0.000,7.000,0.143,0.000,0.000,0.000,0.000,0.000,1.000
Tweetin For My Big Brovaa Since His Fatt Ass Wanna Take Snack Breaks n Shitt.! ,0.000,17.000,0.000,0.118,0.000,0.000,0.000,0.000,0.000
"Such a pointless day at college, just ate mcdonalds now for fitness ",0.000,13.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
At what point does Fred Hoiberg's heart doctor get concerned? ,2.000,12.000,0.000,0.083,0.013,0.000,0.000,0.000,0.000
"Our pastor asked us to join in him in fasting, for 40 days, in this: eat right and exercise.   ",0.000,24.000,0.000,0.042,0.000,0.000,0.000,0.000,0.000
mid terms begin next week. ,0.000,6.000,0.000,0.167,0.000,0.000,0.000,0.000,0.000
"Love when mt boyfriend gets drunk, and then no one knows where he is ",0.000,15.000,0.000,0.000,0.013,0.000,0.000,0.000,0.000
Kind of in an amazing mood  ,0.000,8.000,0.000,0.000,0.026,0.000,0.000,0.000,0.000
my sissy in law been cooking all day . ,0.000,9.000,0.000,0.111,0.000,0.000,0.000,0.000,0.000
"I release all struggle now, and I am at peace.    ",0.000,13.000,0.154,0.000,0.013,0.000,0.000,0.013,0.000
Debate paper for history ,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Having a lie in tomorrow! Don't have to be up till 8. ,0.000,15.000,0.000,0.133,0.000,0.013,0.000,0.000,0.000
o my fucking god new korn album is out ,0.000,9.000,0.000,0.000,0.013,0.000,0.000,0.000,0.000
Last day of art appreciation class ,1.000,6.000,0.000,0.167,0.013,0.000,0.000,0.000,0.000
My House Number Start W. 399 but hers start W. 396 andand She just live up the street ,0.000,18.000,0.111,0.000,0.000,0.000,0.000,0.000,0.000
Never run away from your problem face them face to face cause so they will catch and never let goo... RIP Jane Kane,3.000,24.000,0.042,0.042,0.000,0.000,0.000,0.000,2.000
Life is looking up for the first time in awhile. I can truly do all things through Christ who strengthens me! ,0.000,23.000,0.043,0.043,0.026,0.000,0.000,0.000,0.000
My mom bought Star Wars candy canes for me. ,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.013,0.000
Nice night of reading ahead ,0.000,5.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000
So ima spend my b-day movin my shit. ,0.000,13.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
In the gym this morning... Xmas tree afterwards then a nice 4-12 shift at waitrose... ,0.000,19.000,0.000,0.105,0.013,0.000,0.000,0.000,4.000
"She Women share on of technology. Fear of not being able to find/trust sone to help. Impact: limit potential, missed opportunities.",3.000,28.000,0.000,0.000,0.000,0.026,0.000,0.000,0.000
on the other hand... it does mean i have one less test to worry about. ,0.000,17.000,0.000,0.000,0.000,0.013,0.000,0.000,2.000
An enraged person only gets angrier when you say “I completely understand.”       ,2.000,16.000,0.062,0.000,0.013,0.000,0.000,0.000,0.000
Radio degraded from some good songs to absolute shit ,1.000,9.000,0.000,0.000,0.013,0.013,0.000,0.000,0.000
Me and my mom just got to the store and realized she left her purse at home:p  :P,0.000,21.000,0.048,0.000,0.013,0.000,0.000,0.000,0.000
"suffering from a of failure? what is the worst case scenario? If it is not that bad, why are you still afraid?Hmmm, I think I am goin…",3.000,32.000,0.062,0.000,0.000,0.026,0.000,0.013,0.000
Love and Hip Hop on my newsfeeds ,0.000,7.000,0.000,0.000,0.013,0.000,0.000,0.000,0.000
Just woke up from a coma.. Now time to take an exam. ,0.000,14.000,0.000,0.000,0.000,0.013,0.000,0.000,1.000
Open house = sit in campus ministry ,0.000,7.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Dick Vitale is calling the Ohio State/Duke game. ,1.000,11.000,0.000,0.182,0.013,0.000,0.000,0.000,0.000
"this year, for the first time in my life, I will not have a christmas tree in my home ",1.000,21.000,0.048,0.095,0.026,0.000,0.000,0.000,0.000
"God, got the most amazing pair of shoes ever today! My feet are going to be fucked up by the time I'm 20 ",0.000,26.000,0.038,0.077,0.026,0.000,0.000,0.000,0.000
i hate the human race...  ,2.000,7.000,0.000,0.000,0.000,0.013,0.000,0.000,2.000
"ok free people skirt, hide and seeks over ",2.000,9.000,0.000,0.000,0.013,0.000,0.000,0.013,0.000
"Man, these Indian rappers from Brampton are almost as bad as the black ones. ",1.000,16.000,0.000,0.125,0.000,0.000,0.000,0.013,0.000
   Its a big distraction from our lives. They create the illusion of so we accept their Solutions. $$,3.000,22.000,0.000,0.091,0.000,0.000,0.000,0.000,0.000
I wonder if my new emoticon keyboard works in Twitter.  It does! Probably only visible to iPhone/iPad users tho. ,1.000,25.000,0.040,0.040,0.013,0.000,0.000,0.000,0.000
Really wanna go see the lights on the cumberland but the weather just won't cooperate ,1.000,16.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
First year working Black Friday!! ,0.000,7.000,0.000,0.286,0.000,0.000,0.000,0.000,1.000
Not even worth a rejection letter. ,1.000,7.000,0.000,0.000,0.000,0.013,0.000,0.000,0.000
Its my birthday! I'm officially 14(: any shout outs? It would make me feel special. ,0.000,21.000,0.048,0.048,0.026,0.000,0.000,0.000,0.000
perfect day to start the Christmas movies POLAR EXPRESS. ,0.000,10.000,0.200,0.200,0.026,0.000,0.000,0.000,0.000
I love seeing cars with Christmas trees on top!  ,0.000,11.000,0.091,0.091,0.026,0.000,0.000,0.000,0.000
Hell week started a day early ,0.000,6.000,0.000,0.167,0.000,0.013,0.000,0.000,0.000
good morning world! ,0.000,4.000,0.000,0.000,0.013,0.000,0.000,0.000,0.000
Am in the best real ale pub since the  ,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
If you've never liked Nickelback then you pretty much wasted most of your life . ,1.000,16.000,0.000,0.062,0.013,0.000,0.000,0.000,0.000
I'm exhausted but can't sleep.  I just want my nap.  ,1.000,16.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000
I love it  when I have a big smile on my face for no reason... ,0.000,17.000,0.118,0.000,0.026,0.000,0.000,0.000,2.000
"Wow!The Outlet Thanksgiving Dinner was MAH-JOR! LOVE seeing others honor, respectandcare so much!Food, friends, funandgames were excellent! ",0.000,24.000,0.125,0.125,0.064,0.000,0.000,0.000,0.000
Gotta drive in the pitch black to work on the farm. ,0.000,13.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2 more days of this break.. :( I don't want it to end.. ,1.000,16.000,0.062,0.062,0.000,0.000,0.000,0.000,2.000
Great. Just noticed I have a spider bite on my face. Yay. ,0.000,15.000,0.067,0.000,0.026,0.000,0.000,0.013,0.000
Officially put in my two weeks notice at work!  ,0.000,11.000,0.000,0.091,0.000,0.000,0.000,0.000,0.000
"God, don't show me any more I don't think my heart can take it. ",1.000,18.000,0.056,0.000,0.026,0.000,0.000,0.000,0.000
eating a candy cane.. ,0.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
Time for bed before a big day of packing/moving and yet more packing ,0.000,15.000,0.000,0.067,0.000,0.000,0.000,0.000,0.000
Not walkin up stairs because you're afraid to trip going up.. ,3.000,13.000,0.000,0.000,0.000,0.000,0.000,0.013,1.000
Someone went thru our mail and tore open my mom's bday card to me! Looking for $? Our neighbor on another street brought it over. ,1.000,29.000,0.000,0.034,0.013,0.000,0.000,0.000,0.000
There is only one thing that makes a  impossible to achieve: the of failure.,3.000,17.000,0.000,0.059,0.013,0.026,0.000,0.000,0.000
Oh my god ...  did an awesome play on ....love that scene.,3.000,15.000,0.000,0.000,0.051,0.000,0.000,0.000,5.000
just finished the last paper I'll have to write for the rest of the semester :D COPIOUS AMOUNTS OF !!!,0.000,23.000,0.217,0.000,0.000,0.000,0.000,0.000,2.000
"4 hour food technology exam today, ",0.000,7.000,0.000,0.286,0.000,0.000,0.000,0.000,0.000
Fuck all of y'all we ignore feelings here ,3.000,9.000,0.000,0.111,0.000,0.000,0.000,0.000,0.000
I saw a dead Cardinal outside at lunch. I don't think it's a coincidence.  ,1.000,19.000,0.105,0.000,0.000,0.013,0.000,0.000,0.000
Don't Let That Nigga steal your.... He didn't give it To U.....,0.000,16.000,0.062,0.062,0.000,0.013,0.000,0.000,7.000
so its that time of night where i just have this burst of energy and i wont be able to go to sleep for another hour or two. lol ,0.000,31.000,0.000,0.065,0.000,0.000,0.000,0.000,0.000
On the way home from Chester. Zack drives like something off need for speed :( ,3.000,16.000,0.000,0.125,0.026,0.000,0.000,0.000,0.000
"Good thing all the union station exits dtla are all being blocked by cops... Got lost, now chilling at the hobo capital of the world.. ",0.000,28.000,0.000,0.000,0.013,0.013,0.000,0.000,3.000
Have to sing to old people tomorrow.... ,0.000,8.000,0.000,0.125,0.013,0.000,0.000,0.000,3.000
Let's get this day over so I can go home and study ,0.000,13.000,0.077,0.077,0.013,0.000,0.000,0.000,0.000
Spanish is the worst class. My teacher has been out for two weeks and my peers are proletariats. ,1.000,20.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000
Jamming to Pandora...trying to bring some light to my bday weekend...I really wish I was able to go home and be with my family..,1.000,29.000,0.069,0.034,0.038,0.000,0.000,0.000,5.000
Round two of basketball games ,0.000,5.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000
"Sooooo Tired, but I want to watch a movie. ",1.000,11.000,0.091,0.000,0.000,0.000,0.000,0.000,0.000
Why would i nap from 8-830...cant sleep now and have to wake for a track meet in 6 hours... ,0.000,24.000,0.000,0.083,0.000,0.000,0.000,0.000,4.000
"I feel a certain strange surging thru my soul....., yet it feels so off-limits..wht do I do... Wht. Is there to say? ",3.000,31.000,0.065,0.000,0.013,0.000,0.000,0.000,7.000
...and guess what song just popped in my head. ,3.000,11.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000
Pain is my happiness..darkness is my light... I'm one big void of nothingness...,1.000,18.000,0.056,0.056,0.013,0.038,0.000,0.000,5.000
It's not a proper relationship without friendship... But how do you get it back? ,1.000,17.000,0.000,0.000,0.026,0.000,0.000,0.000,2.000
"... for remember, fear doesn't exist anywhere except in the mind."" - Dale Carnegie ",3.000,18.000,0.000,0.056,0.000,0.013,0.000,0.000,2.000
John Arne Riise flattens the man who once flattened him with a golf club. ,0.000,15.000,0.000,0.067,0.000,0.000,0.000,0.000,0.000
God im so mad its burning my fuckin stomach! ,2.000,11.000,0.000,0.000,0.013,0.013,0.000,0.000,0.000
all this  news has made me very nervous whenever i see a cop.  even a friendly cop in the mall.  i hate that.  ,3.000,30.000,0.000,0.000,0.013,0.013,0.000,0.013,0.000
Listening to someone in Smith sing  from my room.  ,0.000,12.000,0.000,0.083,0.013,0.000,0.000,0.000,0.000
Sitting here depressed n staring into space ,1.000,7.000,0.000,0.000,0.000,0.013,0.000,0.000,0.000
  A wise person said: Abundance in the universe is circulating..if it needs to multiply give it away...Bread on water...Give ,0.000,27.000,0.037,0.000,0.013,0.000,0.000,0.000,5.000
Back to the real world!!  ,1.000,8.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
"YOU PUT THAT UKELELE AWAY OR I WILL RIP IT FROM YOUR HANDS AND BEAT YOU DEAD.  We are studying, you dumb shit!  ",2.000,28.000,0.607,0.000,0.000,0.026,0.000,0.000,0.000
Ça me manque de ne pas mettre mon doigt dans les narines de mon frere et de cramer les cheveux de mon colombinus d'amour ! ,1.000,25.000,0.000,0.040,0.000,0.000,0.000,0.000,0.000
.when yur dad's anger and yuu laugh.,2.000,9.000,0.000,0.000,0.013,0.000,0.000,0.000,0.000
really? mcdonalds cafe machine isnt working..no peppermint hot chocolate): ,1.000,15.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
We just delivered a Christmas package to a family in need. You should have seen the kids' excitement! ,0.000,21.000,0.000,0.048,0.051,0.000,0.000,0.000,0.000
Mawning...joy cms in d mawnin wen u survivd d nite...on ma mind,0.000,16.000,0.000,0.000,0.013,0.000,0.000,0.000,4.000
cutting off my camp bracelets is such a sad ritual. I mus be reeeeaaalllyy dedicated to this play. ,1.000,20.000,0.050,0.000,0.013,0.013,0.000,0.000,0.000
Tomorrow's Wednesday ): double social studies and Spanish .. /:,0.000,12.000,0.000,0.250,0.000,0.000,0.000,0.000,1.000
Whoooooaaaa ! Slow Ya Roll Buddy.! ( in my white girl voice) ,0.000,15.000,0.000,0.067,0.000,0.000,0.000,0.000,0.000
Metal Gear Rising being made by the Bayonetta devs? Yes please! ,0.000,13.000,0.000,0.000,0.013,0.000,0.000,0.000,0.000
" said he wants to live in u, but  he saw fear in your house occupying your space and u wouldn't invite him in ro get rid of ",3.000,31.000,0.000,0.000,0.013,0.013,0.000,0.000,0.000
State of certainty to state of confusion just like that...,1.000,11.000,0.000,0.000,0.013,0.000,0.000,0.000,2.000
Guess I better start another long weekend of work ,0.000,9.000,0.111,0.111,0.000,0.013,0.000,0.000,0.000
Cody won't be coming anywhere NEAR where I live. At all. );,1.000,16.000,0.125,0.062,0.000,0.000,0.000,0.000,0.000
My hair has decided to be a curly mess today. ,0.000,11.000,0.000,0.091,0.000,0.000,0.000,0.000,0.000
i just finished rewriting all my notes 3 times. now to start writing new notes. an write them 3 times. ,0.000,23.000,0.000,0.087,0.000,0.000,0.000,0.000,0.000
One of those nights when all I wanna do is listen to my iPod and hide under the covers.. ,1.000,20.000,0.050,0.150,0.000,0.000,0.000,0.013,1.000
ya en casa despues de una noche de jangueo maximo en la ahora a comer algo y a descansar que a las 2 hay que comer en casa de los iaios,0.000,31.000,0.000,0.065,0.000,0.000,0.000,0.000,0.000
GOSH! I miss football so much! ,1.000,8.000,0.250,0.000,0.000,0.013,0.000,0.000,0.000
catching up on true blood whilst not studying..,0.000,9.000,0.000,0.000,0.000,0.000,0.000,0.013,1.000
God please shine your grace and mercy on this oddly looking lady that's about to cut my hair. Great Clips!,3.000,23.000,0.000,0.000,0.064,0.000,0.000,0.000,0.000
Finals tomorrow... ugh ,0.000,4.000,0.000,0.250,0.000,0.000,0.000,0.000,2.000
"making my awesome sweet potatoes in my bra, dancing like a white irish girl in the kitchen. haha! all alone n full of ",0.000,26.000,0.000,0.038,0.051,0.013,0.000,0.000,0.000
 is not a strategy  is not a factor is not an option,3.000,14.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"No sleep for me, been up since 10am thursday morning...Now off too go shopping with my mother in a pissy mood. ",0.000,26.000,0.000,0.038,0.000,0.000,0.000,0.000,2.000
"i mean for you to hate it,not me.i love it,but there are a few people in for a rude awakening. is it in you?lmao!!!!!",3.000,34.000,0.000,0.029,0.013,0.013,0.000,0.000,4.000
alot of ppl r sad that their brother is going to college and leaving them...... well im sad i cant sell my brother on e-bay.... shit ,1.000,32.000,0.000,0.000,0.038,0.026,0.000,0.000,8.000
I'm home watchin this sad movie. Missing college. ,1.000,11.000,0.091,0.000,0.013,0.026,0.000,0.000,0.000
3 and a half hours on a bus full of germans ,0.000,11.000,0.000,0.182,0.000,0.000,0.000,0.000,0.000
Guess I'll give up on using the internet for now and do something useful for a change.  ,1.000,20.000,0.050,0.000,0.000,0.000,0.000,0.000,0.000
"...Do not grieve, for the joy of the LORD is your strength. Nehemiah 8:10  ",0.000,18.000,0.056,0.056,0.013,0.013,0.000,0.000,2.000
Intelligence puts man on the throne. Faith puts God there.     ,3.000,13.000,0.000,0.077,0.026,0.000,0.000,0.000,0.000
"Its like time runs to me, runs to me faster, fastest. Oh how I make my self beating no well  ♬   ♬  ",3.000,28.000,0.036,0.000,0.026,0.013,0.000,0.000,0.000
The snow makes my job just slightly more bearable... That is until I have to see tracksuit mcwetass and his fannypack bringing empties ,0.000,24.000,0.042,0.000,0.000,0.013,0.000,0.000,2.000
in any form diminishes my ability to think clearly and trust myself. Why in the world is it used as a tool so often?,3.000,26.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Making the best bubble bath by putting every single bath soap in. ,0.000,13.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Buenas noches a todos! Despues de un ratito en la a la camita a descansar,0.000,16.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000
Suppose I'd better crack on. Have new HV coming out to meet us. ,0.000,16.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000
setting up my grandpas tv with my dad x_x ,0.000,9.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Well its half 2 in the morning and cant sleep ,0.000,11.000,0.000,0.091,0.013,0.000,0.000,0.000,0.000
TEARS ARE AH FORM OF PROTECTION...IS NOT MY DIRECTION,1.000,11.000,0.909,0.000,0.000,0.013,0.000,0.000,2.000
 when I found out that JLS are doing their tour at the O2 on my birthday....and I don't have tickets to go. ,0.000,27.000,0.148,0.037,0.013,0.000,0.000,0.000,3.000
The fear of the  is the beginning of wisdom...doing His will connotes His ,3.000,16.000,0.000,0.000,0.000,0.013,0.000,0.000,2.000
For the next 24 hrs i go from an employed actor  - unemployed actor  - employed actor - unemployed actor to salesman ! !,0.000,26.000,0.000,0.038,0.000,0.000,0.000,0.000,0.000
I actually do get to do s send today but it's Comcast New England Sports Net meaning all Boston sports ,0.000,21.000,0.048,0.143,0.000,0.000,0.000,0.000,0.000
"i just wanna listen to music, but my stupid ass ipod is broke -__- :'( ",1.000,16.000,0.000,0.000,0.013,0.000,0.000,0.000,0.000
United losing..RT if the feeling is mutual,0.000,9.000,0.111,0.222,0.000,0.013,0.000,0.000,1.000
2 hour car ride ,0.000,4.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000
got the jobbbb :) now to study for physics and arch history the rest of the night ,0.000,17.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Sucks when you don't have wifi and you dont have your cell phone and ou can't get on twitter ,1.000,22.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
I'm writing an apologetic letter to a judge ,0.000,9.000,0.111,0.000,0.000,0.000,0.000,0.000,0.000
Wen tears of joy flood my eyes exse,0.000,8.000,0.000,0.125,0.013,0.013,0.000,0.013,0.000
having your own personal little mini breakdown ,0.000,7.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
I ate a burrito the size of my arm earlier and now i am weathering the calm before the storm ,3.000,20.000,0.050,0.000,0.000,0.000,0.000,0.013,0.000
Its been my pleasure to watch the  stifle the  during the first half of the game. ,0.000,19.000,0.000,0.053,0.013,0.013,0.000,0.000,0.000
Six chapter of Economics to study for tomorrow's final ,0.000,10.000,0.000,0.300,0.000,0.000,0.000,0.000,0.000
I don't need to swear to anything. Punch your mrs and you'll wake up with your dick on your pillow next to bloody scissors. .,3.000,29.000,0.034,0.034,0.000,0.013,0.000,0.013,0.000
Eeeeeeeee 2 more friends got engaged!!! Next summer's wedding season calendar will be filling up quickly! ,0.000,21.000,0.000,0.095,0.051,0.000,0.000,0.000,2.000
