0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
got,a,$,20,tip,from,a,drunk,uber,passeng,.,today,i,get,a,$,25,park,ticket,.,i,'d,blame,karma,but,my,dumb,ass,forgot,to,pay,the,meter,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
if,i,do,my,homework,now,i,can,watch,reveng,and,possibl,go,out,tonight'\n*play,on,phone,for,2,hour,to,avoid,do,homework,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dear,hipster,behind,me,at,the,game,i,am,find,it,veri,hard,to,pay,attent,while,you,talk,about,the,polit,of,grape,of,wrath,.,shut,up,!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white,peopl,irrit,me,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y'all,bitch,be,so,angri,and,bitter,",",that,must,truli,suck,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we,re,go,to,get,citi,in,the,next,round,for,a,reveng,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
me,:,*,see,incens,burner,*,is,this,for,drug,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
so,then,it,'s,my,turn,.,soon,as,he,say,hi,i,just,burst,into,tear,lmaoo,i,was,so,overwhelm,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and,get,offend,or,furious,that,a,writer,style,isn;t,to,your,tast,is,ultim,daft,",",i,suppos,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
these,na,kid,are,relentless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
final,upload,the,file,i,need,to,the,univers,server,'s,drop,box,.,it,took,like,half,an,hour,and,a,lot,of,curs,and,anger,on,my,part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pro,tip,:,go,back,to,work,when,your,kid,reach,20,mos,old,., ,stay,home,ani,longer,",",and,you,ll,be,absolut,miser,with,the,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imagin,be,bitter,when,your,bias,is,date,and,send,threat,to,their,partner,.,like,whi,?,that,'s,nasti,.,and,they,do,n't,even,know,you,exist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
howard,webb,alway,held,up,as,know,the,answer,.,no,red,.,sutton,and,craigan,rage,!,hahaha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ppl,like,that,irrit,my,soul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whi,is,it,alway,me,pick,up,the,piec,:/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,ve,learn,to,let,go,of,resent,for,peopl,who,have,hurt,me,",",becaus,keep,it,is,like,swallow,poison,and,expect,them,to,die,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,outrag,over,kessel,'s,tweet,by,butthurt,usa,player,is,hilari,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,onli,have,to,wave,a,fieri,cross,and,we,will,f**kin,',do,this,!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thou,wilt,be,as,valiant,as,the,wrath,dove,",",or,most,magnanim,mous,.,william,shakespher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no,",",nippl,do,n't,offend,me,lol,.,but,it,'s,sad,to,me,to,see,women,purpos,flaunt,/,sexual,their,own,bodi,in,a,veri,immodest,way,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thurston,offer,gallen,a,‘,peac,’,of,his,mind,:,north,queensland,playmak,johnathon,thurston,insist,he,hold,no,grudg,against,paul,g,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manchest,derbi,at,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
some,of,the,casual,tweet,that,vic,has,fave,are,make,me,gag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do,not,be,angri,with,god,becaus,you,do,not,get,what,you,want,",",for,god,give,most,when,you,expect,least,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yeah,i,'m,hot,nigga,",",they,say,i,m,burn,uhhhhh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resent,is,rlli,my,shit,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,resent,be,tire,and,annoy,that,the,word,wiener,is,splash,across,the,news,.,this,should,be,a,slam,-,dunk,for,me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jelli,babi,is,my,favourit,insult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forev,rage,😏,😂,😭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,ppl,on,here,defend,cop,as,they,continu,to,kill,innoc,ppl,or,ppl,who,are,n't,innoc,but,clear,cooper,irrit,tf,outta,me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
live,life,so,relentless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smh,custom,get,angri,at,me,bc,i,ai,nt,got,no,marlboro,light,in,the,gas,hut,.,i,call,them,in,2,hour,ago,",",fuck,you,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,28,yr,old,man,threw,a,saucepan,of,boil,water,at,a,garda,",",and,then,hit,the,garda,with,the,shaft,of,a,brush,...,letterkenni,district,court,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,toward,be,promin,if,your,exasper,is,peak,?,:,tgmbnquee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be,abroad,is,caus,me,to,make,spontan,decis,and,not,worri,about,thing,which,is,good,",",but,the,type,a,part,of,me,is,fume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
everyth,i,see,of,american,polic,train,seem,calcul,to,trampl,human,digniti,",",inflam,outrag,",",and,escal,confront,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
constant,fuck,boil,and,it,'s,not,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
in, ,fact,",", ,sometim,i,do,n't,get,furious,at,peopl,who,wrong,me,",",but,  ,i,get, ,furious,at, ,myself, ,for,be, ,a, ,fool,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
someon,throw,a,snap,danc,parti,for,lo,.,rest,up,big,homi,🙏,🏾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and,i,will,strike,down,upon,thee,with,great,vengeanc,and,furious,anger,those,who,attempt,to,poison,and,destroy,my,brother,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whi,did,alex,just,growl,at,me,..,😂,😂,😂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,sit,at,home,so,damn,much,that,everyth,is,start,to,irrit,me,.,i,need,to,get,out,the,hous,by,myself,!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at,least,5,ppl,have,left,my,store,in,a,huff,in,the,past,year,but,i,ve,never,had,anyon,call,guest,servic,on,me,yet,so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,told,myself,i,would,n't,talk,about,this,but,i,need,to,bring,it,up,.,i,'m,slight,bitter,about,the,tøp,cover,of,cancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,ask,jare,to,marri,me,and,he,said,no,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
everton,not,play,and,fume,on,here,have,day,off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marcus,rojo,is,the,worst,player,i,have,ever,seen,.,useless,toast,burn,bastard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this,anger,insid,i,turn,to,fuel,",",i,burn,and,watch,myself,spin,down,",",like,inferno,type,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anoth,l,on,the,board,we,just,can,not,match,up,on,paper,with,these,team,at,the,moment,and,it,show,on,the,field,.,onto,denver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omg,someon,ask,them,to,sit,and,they,reluct,move,with,a,huff,.,biiitttccchhhhhh,🔪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
how,can,you,hold,a,grudg,for,over,a,year,i,can,bare,hold,one,for,a,few,minut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
my,dog,make,the,most,ridicul,sound,right,now,it,like,a,high,pitch,gargl,-,y,growl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(,whisper,),i,can,not,frown,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
