t,a,wc,uwc,ewc,cpc,hc,sc,fc,ac
feeling doubtful,3,0.062,0,0,0,0,0,0,0
feel later w nt hopes m kinda skeptical,3,0.25,0,0,0,0.125,0,0,0
admit feels bit strange share outfit photos enjoy,3,0.25,0,0,0,0,0,0,0
help feeling alarmed possible future uses data tracking devices particularily given key focus experiments proving commercial whaling ought reallowed talk management whale populations,3,0.719,0,0,0,0,0,0,0.043
open site browser feel agitated,3,0.156,0,0,0,0,0,0.2,0
spend month feeling anxious searching job,3,0.188,0,0.167,0,0,0,0,0.167
know people long feel like m worth little effort end friend m reluctant burn bridges,3,0.469,0,0,0,0.133,0.067,0,0
m assuming feel anxious dealing customers,3,0.188,0,0,0,0,0,0,0.167
feeling little gun shy making purchase online knowing fit properly years ago home inspector found old faucet leaking repairing replacing contingency,3,0.656,0,0.048,0,0.048,0,0.095,0.048
feel threatened kind patriarchal attitude educated parents push continue schooling finish college education,3,0.406,0,0,0,0.077,0,0.077,0.077
worked low self worth discovered troika forces sent naturally station called childhood s end aloneness feeling unprotected mercy hostile forces,3,0.625,0,0,0,0.05,0.05,0.05,0.15
remember feeling terribly intimidated sight complicated circuit wolf scout handbook,3,0.312,0,0,0,0,0.1,0.2,0.2
going try leave day doll ample time process thoughts come feeling pressured,3,0.375,0,0,0,0,0,0,0
feeling somewhat intimidated distance exposure,3,0.156,0,0,0,0,0,0.2,0.2
home feeling agitated,3,0.094,0,0,0,0.333,0,0.333,0
finally considering feeling distressed situation,3,0.156,0,0,0,0,0.2,0,0.2
feeling little bit intimidated,3,0.125,0,0,0,0,0,0.25,0.25
feeling little shaky little emotionally delicate wonder content play unsettle bring painful memories experiences poor mental gone,3,0.531,0,0,0,0.176,0.118,0,0.059
feel anxious putting fires wearing billowy like colors way fabric drapes smooth texture,3,0.406,0,0,0,0.077,0,0,0.154
grateful things feel distressed undeserving soul wishes death slight luxury having house,3,0.375,0,0,0,0.25,0.167,0.167,0.167
told ruth lecturer fm summer school started feeling doubtful attended lectures,3,0.344,0,0.091,0,0.091,0,0,0
feel hesitant close friends,3,0.125,0,0,0,0.5,0,0,0
feel weird morning,3,0.094,0,0,0,0,0,0,0
need situations feel uncomfortable,3,0.125,0,0,0,0,0,0,0
think comfortable man relate mixed confusing feelings m afraid happen open spend time woman,3,0.438,0,0,0,0.071,0,0,0.071
feel afraid stupid world renowned mayo surgeon,3,0.219,0,0,0,0,0,0,0.143
feel like startled lot like home,3,0.188,0,0,0,0.5,0,0,0
bear grudges ill feel little agitated,3,0.188,0,0,0,0,0.167,0.333,0.333
don t feel threatened m going,3,0.188,0,0,0,0,0,0.167,0.167
heard felt speaking directly feel overwhelmed,3,0.188,0,0,0,0,0.167,0,0
feel bit timid endeavor feel facebook pages great way connecting blog facebook twitter place,3,0.438,0,0,0,0.071,0,0,0
feel little terrified coming,3,0.125,0,0,0,0,0,0,0.25
felt continuation conversation having client feeling distressed know life,3,0.281,0,0,0,0,0.111,0,0.111
think earth feel scared,3,0.125,0,0,0,0,0,0.25,0.25
hate visiting places right feel m constantly guard kids nt feel uncomfortable holiday families,3,0.438,0,0,0,0.214,0.071,0.071,0.071
want love want feel like walk house paranoid looking fat rolls,3,0.344,0,0,0,0.182,0,0,0.091
feel confused people things microwave clearing seconds remaining,3,0.25,0,0.125,0,0,0,0,0
covered feeling overwhelmed idea going partnership friend,3,0.219,0,0,0,0.143,0.143,0,0
feel reluctant moves,3,0.094,0,0,0,0,0,0,0
feel agitated restless nt cope right,3,0.188,0,0,0,0,0,0.167,0
hate feel unsure place hate nt find want,3,0.25,0,0,0,0,0.25,0.25,0.25
feeling hesitant future,3,0.094,0,0,0,0,0,0,0
highly recommend photographer high energy feel uncomfortable,3,0.219,0,0,0,0,0,0,0
feel weird like ve got alien inside,3,0.219,0,0,0,0.143,0.143,0.143,0.143
m struck ways feel like frantic frenetic version obrien makes majority documentary unable stop stopping means unknown,3,0.531,0,0.059,0,0.059,0,0,0.118
feel distraught day feel like need work break,3,0.25,0,0,0,0.125,0.125,0,0
nt pool couple days start feel agitated,3,0.219,0,0.143,0,0,0,0.143,0
feel case frightened government infringing privacy certainly shouldn t possess google account google desktop lookup gmail account,3,0.531,0,0,0,0,0.059,0.059,0.118
feeling uncertain,3,0.062,0,0,0,0,0,0,0
m pretty upfront stating feel agitated bit space deal,3,0.281,0,0,0,0,0,0.111,0
feel frantic need eat day long snack hopefully things going moving right direction,3,0.406,0,0.077,0,0.077,0.077,0,0.077
tend shy away feel intimidated talk nt engage,3,0.25,0,0,0,0.125,0,0.125,0.125
remembered experience ended watching nt prepared emotionally recalled walking away feeling frightened discombobulated realized s right,3,0.5,0,0,0,0,0.062,0,0.062
think ve feeling extremely intimidated idea writing album review particularly review favorite artists,3,0.406,0,0,0,0.077,0,0.077,0.077
guess home cry mom people teased look tend feel paranoid look hey nt wear sleeveless bloody conscious,3,0.531,0,0,0,0.059,0.118,0.059,0.118
received close woman recently feeling bit distressed,3,0.219,0,0,0,0.143,0.143,0,0.143
nt know proud actually feel confused,3,0.188,0,0,0,0.167,0,0,0
feel teachers administrators reluctant use classroom tool necessary training feel distraction,3,0.344,0,0,0,0,0,0,0
sorry nt great gf forever feeling insecure blah blahx drama,3,0.312,0,0,0,0.1,0.1,0,0
feel nt miss m afraid rejection know long kisses poems,3,0.312,0,0,0,0.1,0.3,0.1,0.2
feel shy talking embarrassing moments life feel lost talking complexity devout lover poetry,3,0.406,0,0,0,0.077,0.154,0,0
embarrassed school classes far away feel like frantic stressed sweating mess running class,3,0.406,0,0,0,0.077,0.077,0,0.154
sitting quiet room,3,0.094,0,0,0,0,0,0,0
admit nt sure like makes feel agitated,3,0.219,0,0,0,0.143,0,0.143,0
feel anxious,3,0.062,0,0,0,0,0,0,0.5
m afraid things feel judged paranoid little fucking mistake going follow grave,3,0.375,0,0,0,0,0.083,0,0.25
deep breath tell ok feel scared sit quiet area read book don t feel like playing right away,3,0.562,0,0,0,0.111,0,0.056,0.056
find feeling uptight anxious list living income challenging,3,0.25,0,0,0,0,0,0,0.125
post news m feeling bit wimpy ve decided kids great adventure tomorrow,3,0.375,0,0.083,0,0.167,0,0,0
didn t know hang people anymore plans t possibly believable excuse think starting feel suspicious,3,0.469,0,0,0,0,0.067,0.067,0.067
nt specify exact causes terror m feeling know m terrified,3,0.312,0,0,0,0,0.1,0.1,0.2
sure felt prayers week long feel fearful moments sighing ifs,3,0.312,0,0.1,0,0,0.2,0.1,0.1
feel frightened wanted document way m feeling,3,0.219,0,0,0,0,0.143,0,0.143
ve mess week feel helpless,3,0.156,0,0,0,0,0.2,0,0.2
pay veterinary specialist special fee feel frantic finances,3,0.25,0,0,0,0.125,0,0,0.125
shake feeling kind frantic mentioned job,3,0.188,0,0,0,0.167,0,0,0.333
feel uncertain future jewish music s sense belong nt know exactly,3,0.344,0,0.091,0,0.091,0,0,0
m feeling mood terrified m gon na watching city hunter best drama coffee prince,3,0.438,0,0,0,0.071,0,0,0.143
feeling apprehensive excited nervous exhilarated daunting task learning navigate language culture,3,0.344,0,0,0,0.182,0,0,0.182
going birthday potluck feeling indecisive,3,0.156,0,0,0,0.2,0,0,0
turn tv turn radio leave rooms feel extremely agitated happens,3,0.312,0,0,0,0,0,0.1,0
feel weird knowing died wasn t,3,0.188,0,0,0,0,0.167,0,0.167
hate debating hate begun feeling like people timid quiet person trample,3,0.344,0,0,0,0.091,0.182,0.182,0.182
m feeling overwhelmed stressed,3,0.125,0,0,0,0,0.25,0,0.25
feel like fish flopping floor finally fish tank shaken wondering m breathing long going find equilibrium,3,0.5,0,0,0,0.125,0.062,0,0
feeling reluctant contented,3,0.094,0,0,0,0.333,0,0,0
feel unsure probably looking social contact sense sliding downward,3,0.281,0,0,0,0,0,0,0
m feeling nervous,3,0.094,0,0,0,0,0,0,0.333
starting feel paranoid panic pressure brain,3,0.188,0,0,0,0,0,0,0.333
ve liked quiet intelligent feel skeptical,3,0.188,0,0,0,0.167,0,0,0
m glad nt think forget feeling afraid outside open window,3,0.312,0,0,0,0.1,0,0,0.1
slightly feeling skeptical,3,0.094,0,0,0,0,0,0,0
feel like shouldn t puts vulnerable position leaves open attack m starting thicker skin lately,3,0.469,0,0,0,0.133,0.067,0.067,0.133
admit feel little neurotic post,3,0.156,0,0,0,0,0,0,0.2
nt feel vulnerable fragile,3,0.125,0,0,0,0,0,0,0.25
d relaxed nt feel pressured need time memorize jump course d pressure equitation rider sug equitation horse,3,0.531,0,0,0,0.118,0,0,0
feel helped patience calmness day feel uptight start feeling stressed think subtle mind exercise focus breathing,3,0.5,0,0,0,0,0,0,0.062
feel terrified looking child time dog knew,3,0.219,0,0,0,0,0,0,0.143
look like post photo soon m feeling little bit shy moment ie,3,0.375,0,0,0,0.083,0,0,0
feel little inhibited,3,0.094,0,0,0,0,0,0,0
feel like trying walk strange house dark bumping things wishing turn lights,3,0.375,0,0,0,0.083,0.083,0,0.083
nt problem getting easel settle concentrate especially m feeling pressured anxious think painting starting fizzle,3,0.469,0,0,0,0,0,0,0.067
feel little uncertain old midriff,3,0.156,0,0,0,0,0,0,0
m clickity clacking away ctc m feeling little timid,3,0.281,0,0,0,0,0,0,0
feel kind wimpy,3,0.094,0,0,0,0.333,0,0,0
ask feeling fearful trying avoid completing,3,0.188,0,0,0,0.167,0.167,0.167,0.167
ve decided actually things ve saying m prepared unexpected feeling little overwhelmed aspects life need things prepared different things classify unexpected,3,0.656,0,0,0,0,0.048,0,0
feel uncertain things martin admitted thursday night broadway premiere evita andrew lloyd webber musical,3,0.438,0,0.214,0,0.071,0,0,0
feeling little distraught decided watch movie,3,0.188,0,0,0,0,0.167,0,0
feel little shaken,3,0.094,0,0,0,0,0,0,0
feel vulnerable right taking power run,3,0.188,0,0,0,0.167,0,0,0.167
married felt stable stress know stressed nt feel uncertain,3,0.281,0,0,0,0.111,0,0,0.222
feel unsure like m constantly failing,3,0.188,0,0,0,0.167,0.167,0,0.167
waking morning feeling agitated restless,3,0.156,0,0,0,0,0,0.2,0
feel pressured skip meals lie tell nt feel difference calories opposed,3,0.344,0,0,0,0,0.091,0,0
struck strong emotion feel overwhelmed,3,0.156,0,0,0,0,0.2,0,0
felt bit voyeuristic watching feeling bit uncomfortable,3,0.219,0,0,0,0,0,0,0
went pool wednesday feeling little apprehensive couldn t performance monday,3,0.312,0,0.2,0,0,0,0,0.1
wouldn t feel paranoid,3,0.125,0,0,0,0,0,0,0.25
feel terrified insofar remains remote chance assumes power sorry,3,0.281,0,0,0,0.111,0,0,0.111
m feeling blindingly terrified gluttony nt think solution awkward slumber party mama,3,0.375,0,0,0,0.083,0.083,0,0.083
feel bit shaky like mini panic attack,3,0.219,0,0,0,0.143,0.143,0.143,0.286
feel david remind frightened elbows end nd ko,3,0.25,0,0,0,0,0.125,0,0.125
feeling little shy asked shrini kind place,3,0.219,0,0,0,0.143,0,0,0
absolutely hate m truly taking verse heart doesn t matter feel overwhelmed joy jesus gives salvation able bring,3,0.562,0,0,0,0.111,0.111,0.056,0.056
feeling slightly apprehensive seminars feeling relaxed following talk history dept,3,0.312,0,0,0,0.1,0,0,0.1
think m compelled act meek asian kind feel tad inhibited extent nt,3,0.375,0,0.083,0,0.083,0,0,0
expert simply filmmaker feel uncomfortable speaking level higher audience especially real experts audience know medical radiation issues,3,0.531,0,0,0,0,0,0,0.059
feel scared uncomfortable bees wasps different matter,3,0.219,0,0,0,0,0,0.143,0.286
feel helpless way claude mckay felt poetry,3,0.219,0,0,0,0,0.143,0,0.143
feel strange google find comforted moms experienced situation having,3,0.281,0,0,0,0.111,0,0,0
nt moments feel uncertain s going,3,0.188,0,0,0,0,0,0,0
understand new changing technology inevitable fact opening opportunities history feel threatened choose cling past expect rest world,3,0.531,0,0,0,0,0,0.059,0.059
feel scared need things ve having greatest supporter truly worrisome,3,0.312,0,0,0,0,0,0.1,0.1
find later didn t feel strange wearing shorts,3,0.25,0,0,0,0,0,0,0
t feel like s hiding said slowly unsure,3,0.25,0,0,0,0.125,0,0,0.125
things liked regardless bad comments longer feel afraid things want sake happiness m laughing dancing singing slightest fear try heaven,3,0.625,0,0,0,0.3,0.05,0.1,0.15
t help feel little agitated situation,3,0.188,0,0,0,0,0,0.167,0
feel hesitant write things m afraid wrong things wo nt voice clarify things written damage,3,0.469,0,0,0,0,0.067,0.067,0.067
feel little skeptical got lose,3,0.156,0,0,0,0,0.2,0,0
finally able conversation complete stranger feeling nervous anxious things got better,3,0.344,0,0,0,0.091,0,0,0.182
hoping feel slightly threatened,3,0.125,0,0,0,0.25,0,0.25,0.25
don t think resist knowing foreigners think chronic insecurity especially spaniards think people unamuno accurately points feel suspicious,3,0.562,0,0,0,0,0.111,0.056,0
feeling scared confront hurt past probably feel hurting feeling shame,3,0.312,0,0,0,0,0.3,0.4,0.3
don t courage feel indecisive afraid rejection,3,0.219,0,0,0,0,0.143,0.143,0.286
missed posting birthday nt feeling insecure day spend time online,3,0.312,0,0.1,0,0.1,0.2,0,0
hate feeling pissy agitated,3,0.125,0,0,0,0,0.25,0.5,0.25
feeling restless life sure,3,0.125,0,0,0,0,0,0,0
lying bed night day making experiments usual suspects fabric plastic feeling agitated issues proper presentation headway course mere hours,3,0.594,0,0,0,0.053,0.053,0.053,0.053
grade,3,0.031,0,0,0,0,0,0,0
feel like m confused,3,0.125,0,0,0,0.25,0,0,0
assumptions based think feel ve wondered strange things,3,0.25,0,0,0,0.125,0,0,0
d feeling shaky d spent week contemplating d pissed away lifes work,3,0.375,0,0.083,0,0,0,0.083,0
feel completely helpless worry stricken,3,0.156,0,0,0,0.2,0.6,0,0.4
telling nesha feel damn paranoid thinks funny think way,3,0.281,0,0,0,0,0,0.111,0.111
feeling indication childs personality petrified,3,0.156,0,0,0,0,0,0,0.2
feeling helpless wonderful things hand,3,0.156,0,0,0,0.2,0.2,0,0.2
feel feel scared,3,0.094,0,0,0,0,0,0.333,0.333
believe david shown actually alright feel fearful anxious day feel peace happy joyful,3,0.406,0,0,0,0.154,0.077,0.077,0.154
feel restless lasted way long,3,0.156,0,0,0,0,0.2,0,0
feel overwhelmed,3,0.062,0,0,0,0,0.5,0,0
tv homes feel assaulted commercials,3,0.156,0,0,0,0.2,0,0.2,0.2
feel pressured post updates doesn t mean forced,3,0.25,0,0,0,0,0,0,0.125
nt feel uncomfortable people actually knew read m scared getting judged,3,0.344,0,0,0,0,0,0.091,0.091
feeling kind pressured,3,0.094,0,0,0,0.333,0,0,0
feel little overwhelmed year bringing,3,0.156,0,0.2,0,0,0.2,0,0
argued reason feeling frightened control time,3,0.188,0,0,0,0,0.167,0.167,0.167
feel discourage uncertain learn new,3,0.156,0,0,0,0,0.2,0,0
feel agitated cranky upset,3,0.125,0,0,0,0,0.25,0.5,0
feel like people read blog bit nervous whereabouts health sobriet,3,0.312,0,0,0,0.1,0,0,0.1
slept feel incredibly vulnerable fact leaving,3,0.188,0,0,0,0,0,0,0.167
feel hesitant money don t want help alcoholic stay,3,0.281,0,0,0,0.111,0.111,0,0.111
t think feeling bit fearful potential carnage,3,0.219,0,0,0,0,0.286,0.286,0.286
feeling skeptical thwart,3,0.094,0,0,0,0,0,0,0
starting feel anxious couple months,3,0.156,0,0.2,0,0,0,0,0.2
come don t feel threatened,3,0.156,0,0,0,0,0,0.2,0.2
feel vulnerable broken tampered feel swear,3,0.188,0,0,0,0,0.167,0,0.333
ve feeling inhibited,3,0.094,0,0,0,0,0,0,0
hold close feel helpless confident embrace grant sense security nurturing final canines far slowly stab way swollen gums,3,0.562,0,0,0,0.167,0.111,0.056,0.111
feel shy m trying better muslimah,3,0.188,0,0,0,0,0,0,0
realised hard label particular constellation feelings attitudes body sensations m feeling reluctant fearful left shoulder s ear want run away s hard,3,0.688,0,0,0,0.045,0.045,0.045,0.045
d feel restless staring proverbial walls,3,0.188,0,0,0,0,0,0,0
started feel restless decided remain calm,3,0.188,0,0,0,0,0,0,0
feel frantic,3,0.062,0,0,0,0,0,0,0.5
capacity great care compassion ability bite metaphorically speaking feel threatened,3,0.312,0,0,0,0.1,0,0.1,0.1
feel insecure,3,0.062,0,0,0,0,0.5,0,0
believe moment feel til s skeptical song,3,0.219,0,0,0,0,0,0,0
feel night fearful soul fire longer d offered suffering dying,3,0.312,0,0.1,0,0.1,0.3,0.1,0.4
feel overwhelmed nt know start,3,0.156,0,0,0,0,0.2,0,0
run halls stupid think great theory manage pursued things feel inhibited,3,0.344,0,0,0,0.091,0,0,0
ve stressful year eat comfort needless m obese feel uncomfortable body,3,0.344,0,0.091,0,0.091,0,0,0.091
feel pressured fe,3,0.094,0,0,0,0,0,0,0
feel reluctant updating entries usual,3,0.156,0,0,0,0,0,0,0
time felt seen corresponding photography nt justified normal photo mirrors feeling terrified unease hampton court sun began set,3,0.562,0,0,0,0,0,0,0.056
m feeling deeply petrified,3,0.125,0,0,0,0,0,0,0.25
feel tortured thing love thing wo nt support financially cringe think spending years chained desk performing job wrote little room creativity matters,3,0.688,0,0.045,0,0.045,0.091,0.045,0.091
thing feelings m afraid express stand believe,3,0.219,0,0,0,0,0,0,0.143
feel like ve assaulted al sides,3,0.188,0,0,0,0.167,0,0.167,0.167
feel weird wearing public especially know kids,3,0.219,0,0,0,0.143,0,0,0
feel strange repeating things reviews forgotten revived bares repeating premise novel kind brilliant unique,3,0.438,0,0,0,0.143,0.071,0,0
feel pressured going clutter stresses,3,0.156,0,0,0,0,0,0,0.2
feel like brain shaken good thought process fixed totally gone,3,0.312,0,0,0,0.2,0,0,0
wanted reader feel afraid smith s victim,3,0.219,0,0,0,0,0.143,0.143,0.286
court nd feel like uptight right,3,0.188,0,0,0,0.167,0,0,0
feel like time admit strange child,3,0.188,0,0,0,0.167,0,0,0
conceal real true feelings m afraid venerable taking advantage happened destroyed,3,0.344,0,0,0,0,0.091,0.091,0.182
forgive accepting allowing want need desire run away reflection specific person event circumstance feel threatened,3,0.469,0,0,0,0,0,0.067,0.067
m afraid years years feeling insecure exhausted plain unhappy,3,0.281,0,0.111,0,0,0.222,0,0.111
want home sitting corridor feel helpless,3,0.188,0,0,0,0.167,0.167,0,0.167
feel apprehensive nervous vulnerable m wondering people going,3,0.25,0,0,0,0.125,0,0,0.375
m feeling somewhat suspicious,3,0.125,0,0,0,0,0,0,0
mean feel like weird things talk,3,0.188,0,0,0,0.167,0,0,0
want enjoy holidays feel anxious time comes,3,0.219,0,0,0,0.143,0,0,0.143
feel little shy slapping tummy internet feel compelled,3,0.25,0,0,0,0,0,0.125,0
hear marriage reflection gods love feel intimidated,3,0.219,0,0,0,0.429,0,0.143,0.143
think feel shy learn english wrong,3,0.188,0,0,0,0,0,0,0
imagine away months feel terrified,3,0.156,0,0.2,0,0,0,0,0.2
left feeling confused,3,0.094,0,0,0,0,0,0,0
feeling ab thing tortured accountablibuddy abs watched,3,0.219,0,0,0,0,0.143,0.143,0.143
feel little hesitant s obvious know stuff,3,0.219,0,0,0,0,0,0,0
feel shaken book yellowed slips paper torn matchbook covers flattened coffee stirrers fallen floor dog eared flaps pressed smooth,3,0.594,0,0,0,0,0.053,0,0
m polite customers s rule matter polite feel like threatened game,3,0.344,0,0,0,0.091,0,0.091,0.091
feel college faces uncertain future await coming months considerable fear,3,0.312,0,0.1,0,0,0.1,0.1,0.1
humanity s representative feeling doubtful potential earth s candidate stares moon spaceship astronaut s suit,3,0.469,0,0,0,0,0,0,0
got home feeling restless mile walking workout walking lady,3,0.281,0,0,0,0.111,0,0,0
feel unsure feel sure catch,3,0.156,0,0,0,0,0,0,0
feel apprehensive restless days,3,0.125,0,0,0,0,0,0,0.25
scared going hurt feel shaky talk wait,3,0.219,0,0,0,0,0.143,0.286,0.286
smoker years quit weeks ago right finished book nt believe free feel knew quit terrified life cigarettes,3,0.531,0,0.059,0,0.059,0,0,0.059
feel restless discontent,3,0.094,0,0,0,0,0.333,0,0
nt feel anxious,3,0.094,0,0,0,0,0,0,0.333
feel suspicious motives,3,0.094,0,0,0,0,0,0,0
got home working hours nt feel agitated called asked fashion place mall asking wanted come,3,0.469,0,0.067,0,0.067,0,0.067,0
thinking feel like andrew peterson gets weird tension ache knowing imperfection living day day having impulse feel gratitude kind joy lies hidden underneath,3,0.719,0,0.043,0,0.13,0.087,0.043,0
asked half laughing half thinking feeling suspicious,3,0.219,0,0.286,0,0.143,0,0,0
feel kind like weird puppet going motions reading book making salad look bed running bath having body experiences wonder split second actually real,3,0.719,0,0.043,0,0.13,0,0,0
went bed night feeling overwhelmed discouraged life woke morning feeling blah,3,0.344,0,0.091,0,0,0.182,0,0
nt having good day starting feel little apprehensive,3,0.25,0,0.125,0,0.125,0,0,0.125
like makes feel unsure happen usually dies definitely turn people,3,0.312,0,0,0,0.1,0.1,0,0.1
ve feeling strange lately,3,0.125,0,0,0,0,0,0,0
got e mail night feeling anxious makes want avoid today,3,0.312,0,0.1,0,0,0,0,0.1
m feeling kind scared cuz m falling love nt care cuz nt know feel nt want heart new stop,3,0.594,0,0,0,0.158,0,0.053,0.053
feel shy offer talk,3,0.125,0,0,0,0,0,0,0
feel distressed letting small things picked nasty habits way,3,0.281,0,0,0,0,0.111,0.111,0.111
gone stage feel helpless t send friend request dear friends,3,0.312,0,0,0,0.2,0.1,0,0.1
feel like idiot saying genuinely afraid,3,0.188,0,0,0,0.167,0,0.167,0.167
feel like lot cookie cutter heroine comprises reluctant athletic girl needs figure destiny,3,0.406,0,0,0,0.077,0,0,0
m feeling shaky definition,3,0.125,0,0,0,0,0,0,0
m starting feel uncertain trying literary agent try ebook publish book,3,0.344,0,0,0,0,0,0,0
m feeling agitated sick danged hn,3,0.188,0,0,0,0,0.167,0.167,0.167
feel like body silently shaken rhythms earth patwa musical culture undulating pace day life,3,0.438,0,0,0,0.143,0,0,0
going faster faster starting feel completely control frightened,3,0.25,0,0,0,0.125,0.125,0,0.125
returned home work feeling agitated,3,0.156,0,0,0,0.2,0,0.2,0
feel shaky want,3,0.094,0,0,0,0,0,0,0
feel like makes vulnerable,3,0.125,0,0,0,0.25,0,0,0.25
guess feel wanting avoid pain confrontation vulnerable knowing difference offense listening ones self,3,0.406,0,0,0,0,0.077,0.154,0.154
m having hard time shrunk eat blood sugar dips start feeling shaky stuff,3,0.406,0,0,0,0,0,0,0.077
m feeling little apprehensive feel like m suddenly way old compared mental age,3,0.406,0,0,0,0.077,0,0,0.077
loose spiritually feel unsure goals ideas basically loose hope know internal struggle fight carries marriage,3,0.469,0,0,0,0.133,0,0.067,0.133
feel frantic need isolation bit extreme,3,0.188,0,0,0,0,0.167,0,0.333
bombarded manuka honey lemon tons fruit vitamin c high feeling heaviness shaky limbs bad attack m,3,0.5,0,0,0,0,0.062,0.188,0.188
called alias nickname hospital feel shy,3,0.188,0,0,0,0,0,0,0
love santa cruz living campus time feel tortured cat line driving mbps line skull,3,0.438,0,0,0,0.143,0.071,0.071,0.071
feel uncertain,3,0.062,0,0,0,0,0,0,0
think time feeling insecure,3,0.125,0,0,0,0,0.25,0,0
feel tortured,3,0.062,0,0,0,0,0.5,0.5,0.5
d use describe feeling nervous panicky,3,0.188,0,0,0,0,0,0,0.167
feel doubtful ill wearing day,3,0.156,0,0,0,0,0.2,0,0.2
feel doubtful work able click,3,0.156,0,0,0,0,0,0,0
didn t feel afraid,3,0.125,0,0,0,0,0,0,0.25
m position feel uncomfortable,3,0.125,0,0,0,0.25,0,0,0
tend feel uptight worrying look saying clever intelligent things driving frenzied attempt perfect gingered comments distract faux pas,3,0.562,0,0,0,0.056,0.056,0.056,0.111
definitely feel like m fearful places life m writing feel free like mind land,3,0.438,0,0,0,0.214,0.071,0.071,0.071
feel threatened especially taunted white skin,3,0.188,0,0,0,0,0,0.333,0.167
feeling scared yrs ols kid feeling excited free fall,3,0.281,0,0,0,0.333,0,0.111,0.111
fretful feeling helpless,3,0.094,0,0,0,0,0.333,0,0.333
think barrier deployment creates safety net discuss children feeling pressured stressed,3,0.344,0,0,0,0,0,0,0.091
feel anxious everyday leading shift work,3,0.188,0,0,0,0,0,0,0.167
feeling little distressed cat having kidney related difficulties,3,0.25,0,0,0,0,0.25,0,0.125
feeling scared little brave,3,0.125,0,0,0,0,0,0.25,0.25
mother seriously ill admitted hospital,3,0.156,0,0,0,0,0.2,0,0.2
admit walk feeling tad bit insecure nt fit certain situations,3,0.312,0,0,0,0,0.1,0.1,0
