0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
open,site,browser,feel,agit, , , , , , , , , , , , , , , , , , , , , , , , , , , 
spend,month,feel,anxious,search,job, , , , , , , , , , , , , , , , , , , , , , , , , , 
know,peopl,long,feel,like,worth,littl,effort,end,friend,reluct,burn,bridg, , , , , , , , , , , , , , , , , , , 
assum,feel,anxious,deal,custom, , , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,littl,gun,shi,make,purchas,onlin,know,fit,proper,year,ago,home,inspector,found,old,faucet,leak,repair,replac,conting, , , , , , , , , , , 
feel,threaten,kind,patriarch,attitud,educ,parent,push,continu,school,finish,colleg,educ, , , , , , , , , , , , , , , , , , , 
work,low,self,worth,discov,troika,forc,sent,natur,station,call,childhood,s,end,alon,feel,unprotect,merci,hostil,forc, , , , , , , , , , , , 
rememb,feel,terribl,intimid,sight,complic,circuit,wolf,scout,handbook, , , , , , , , , , , , , , , , , , , , , , 
go,tri,leav,day,doll,ampl,time,process,thought,come,feel,pressur, , , , , , , , , , , , , , , , , , , , 
feel,somewhat,intimid,distanc,exposur, , , , , , , , , , , , , , , , , , , , , , , , , , , 
home,feel,agit, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
final,consid,feel,distress,situat, , , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,littl,bit,intimid, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,littl,shaki,littl,emot,delic,wonder,content,play,unsettl,bring,pain,memori,experi,poor,mental,gone, , , , , , , , , , , , , , , 
feel,anxious,put,fire,wear,billowi,like,color,way,fabric,drape,smooth,textur, , , , , , , , , , , , , , , , , , , 
grate,thing,feel,distress,undeserv,soul,wish,death,slight,luxuri,have,hous, , , , , , , , , , , , , , , , , , , , 
told,ruth,lectur,fm,summer,school,start,feel,doubt,attend,lectur, , , , , , , , , , , , , , , , , , , , , 
feel,hesit,close,friend, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,weird,morn, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
need,situat,feel,uncomfort, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
think,comfort,man,relat,mix,confus,feel,afraid,happen,open,spend,time,woman, , , , , , , , , , , , , , , , , , , 
feel,afraid,stupid,world,renown,mayo,surgeon, , , , , , , , , , , , , , , , , , , , , , , , , 
feel,like,startl,lot,like,home, , , , , , , , , , , , , , , , , , , , , , , , , , 
bear,grudg,ill,feel,littl,agit, , , , , , , , , , , , , , , , , , , , , , , , , , 
don,t,feel,threaten,m,go, , , , , , , , , , , , , , , , , , , , , , , , , , 
heard,felt,speak,direct,feel,overwhelm, , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,bit,timid,endeavor,feel,facebook,page,great,way,connect,blog,facebook,twitter,place, , , , , , , , , , , , , , , , , , 
feel,littl,terrifi,come, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
felt,continu,convers,have,client,feel,distress,know,life, , , , , , , , , , , , , , , , , , , , , , , 
think,earth,feel,scare, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
hate,visit,place,right,feel,constant,guard,kid,nt,feel,uncomfort,holiday,famili, , , , , , , , , , , , , , , , , , , 
want,love,want,feel,like,walk,hous,paranoid,look,fat,roll, , , , , , , , , , , , , , , , , , , , , 
feel,confus,peopl,thing,microwav,clear,second,remain, , , , , , , , , , , , , , , , , , , , , , , , 
cover,feel,overwhelm,idea,go,partnership,friend, , , , , , , , , , , , , , , , , , , , , , , , , 
feel,reluct,move, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,agit,restless,nt,cope,right, , , , , , , , , , , , , , , , , , , , , , , , , , 
hate,feel,unsur,place,hate,nt,find,want, , , , , , , , , , , , , , , , , , , , , , , , 
feel,hesit,futur, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
high,recommend,photograph,high,energi,feel,uncomfort, , , , , , , , , , , , , , , , , , , , , , , , , 
feel,weird,like,ve,got,alien,insid, , , , , , , , , , , , , , , , , , , , , , , , , 
struck,way,feel,like,frantic,frenet,version,obrien,make,major,documentari,unabl,stop,stop,mean,unknown, , , , , , , , , , , , , , , , 
feel,distraught,day,feel,like,need,work,break, , , , , , , , , , , , , , , , , , , , , , , , 
nt,pool,coupl,day,start,feel,agit, , , , , , , , , , , , , , , , , , , , , , , , , 
feel,case,frighten,govern,infring,privaci,certain,shouldn,t,possess,googl,account,googl,desktop,lookup,gmail,account, , , , , , , , , , , , , , , 
feel,uncertain, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
pretti,upfront,state,feel,agit,bit,space,deal, , , , , , , , , , , , , , , , , , , , , , , , 
feel,frantic,need,eat,day,long,snack,hope,thing,go,move,right,direct, , , , , , , , , , , , , , , , , , , 
tend,shi,away,feel,intimid,talk,nt,engag, , , , , , , , , , , , , , , , , , , , , , , , 
rememb,experi,end,watch,nt,prepar,emot,recal,walk,away,feel,frighten,discombobul,realiz,s,right, , , , , , , , , , , , , , , , 
think,ve,feel,extrem,intimid,idea,write,album,review,particular,review,favorit,artist, , , , , , , , , , , , , , , , , , , 
guess,home,cri,mom,peopl,teas,look,tend,feel,paranoid,look,hey,nt,wear,sleeveless,bloodi,conscious, , , , , , , , , , , , , , , 
receiv,close,woman,recent,feel,bit,distress, , , , , , , , , , , , , , , , , , , , , , , , , 
nt,know,proud,actual,feel,confus, , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,teacher,administr,reluct,use,classroom,tool,necessari,train,feel,distract, , , , , , , , , , , , , , , , , , , , , 
sorri,nt,great,gf,forev,feel,insecur,blah,blahx,drama, , , , , , , , , , , , , , , , , , , , , , 
feel,nt,miss,m,afraid,reject,know,long,kiss,poem, , , , , , , , , , , , , , , , , , , , , , 
feel,shi,talk,embarrass,moment,life,feel,lost,talk,complex,devout,lover,poetri, , , , , , , , , , , , , , , , , , , 
embarrass,school,class,far,away,feel,like,frantic,stress,sweat,mess,run,class, , , , , , , , , , , , , , , , , , , 
sit,quiet,room, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
admit,nt,sure,like,make,feel,agit, , , , , , , , , , , , , , , , , , , , , , , , , 
feel,anxious, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
afraid,thing,feel,judg,paranoid,littl,fuck,mistak,go,follow,grave, , , , , , , , , , , , , , , , , , , , , 
deep,breath,tell,ok,feel,scare,sit,quiet,area,read,book,don,t,feel,like,play,right,away, , , , , , , , , , , , , , 
find,feel,uptight,anxious,list,live,incom,challeng, , , , , , , , , , , , , , , , , , , , , , , , 
post,news,feel,bit,wimpi,ve,decid,kid,great,adventur,tomorrow, , , , , , , , , , , , , , , , , , , , , 
didn,t,know,hang,peopl,anymor,plan,t,possibl,believ,excus,think,start,feel,suspici, , , , , , , , , , , , , , , , , 
nt,specifi,exact,caus,terror,feel,know,terrifi, , , , , , , , , , , , , , , , , , , , , , , , 
sure,felt,prayer,week,long,feel,fear,moment,sigh,if, , , , , , , , , , , , , , , , , , , , , , 
feel,frighten,want,document,way,feel, , , , , , , , , , , , , , , , , , , , , , , , , , 
mess,week,feel,helpless, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
pay,veterinari,specialist,special,fee,feel,frantic,financ, , , , , , , , , , , , , , , , , , , , , , , , 
shake,feel,kind,frantic,mention,job, , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,uncertain,futur,jewish,music,s,sens,belong,nt,know,exact, , , , , , , , , , , , , , , , , , , , , 
feel,mood,terrifi,gon,na,watch,citi,hunter,best,drama,coffe,princ, , , , , , , , , , , , , , , , , , , , 
feel,apprehens,excit,nervous,exhilar,daunt,task,learn,navig,languag,cultur, , , , , , , , , , , , , , , , , , , , , 
go,birthday,potluck,feel,indecis, , , , , , , , , , , , , , , , , , , , , , , , , , , 
turn,tv,turn,radio,leav,room,feel,extrem,agit,happen, , , , , , , , , , , , , , , , , , , , , , 
feel,weird,know,die,wasn,t, , , , , , , , , , , , , , , , , , , , , , , , , , 
hate,debat,hate,begun,feel,like,peopl,timid,quiet,person,trampl, , , , , , , , , , , , , , , , , , , , , 
feel,overwhelm,stress, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,like,fish,flop,floor,final,fish,tank,shaken,wonder,breath,long,go,find,equilibrium, , , , , , , , , , , , , , , , , 
feel,reluct,content, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,unsur,probabl,look,social,contact,sens,slide,downward, , , , , , , , , , , , , , , , , , , , , , , 
feel,nervous, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
start,feel,paranoid,panic,pressur,brain, , , , , , , , , , , , , , , , , , , , , , , , , , 
like,quiet,intellig,feel,skeptic, , , , , , , , , , , , , , , , , , , , , , , , , , , 
glad,nt,think,forget,feel,afraid,outsid,open,window, , , , , , , , , , , , , , , , , , , , , , , 
slight,feel,skeptic, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,like,shouldn,t,put,vulner,posit,leav,open,attack,m,start,thicker,skin,late, , , , , , , , , , , , , , , , , 
admit,feel,littl,neurot,post, , , , , , , , , , , , , , , , , , , , , , , , , , , 
nt,feel,vulner,fragil, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
relax,nt,feel,pressur,need,time,memor,jump,cours,d,pressur,equit,rider,sug,equit,hors, , , , , , , , , , , , , , , , 
feel,help,patienc,calm,day,feel,uptight,start,feel,stress,think,subtl,mind,exercis,focus,breath, , , , , , , , , , , , , , , , 
feel,terrifi,look,child,time,dog,knew, , , , , , , , , , , , , , , , , , , , , , , , , 
look,like,post,photo,soon,feel,littl,bit,shi,moment,ie, , , , , , , , , , , , , , , , , , , , , 
feel,littl,inhibit, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,like,tri,walk,strang,hous,dark,bump,thing,wish,turn,light, , , , , , , , , , , , , , , , , , , , 
nt,problem,get,easel,settl,concentr,especi,feel,pressur,anxious,think,paint,start,fizzl, , , , , , , , , , , , , , , , , , 
feel,littl,uncertain,old,midriff, , , , , , , , , , , , , , , , , , , , , , , , , , , 
clickiti,clack,away,ctc,feel,littl,timid, , , , , , , , , , , , , , , , , , , , , , , , , 
feel,kind,wimpi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
ask,feel,fear,tri,avoid,complet, , , , , , , , , , , , , , , , , , , , , , , , , , 
ve,decid,actual,thing,ve,say,prepar,unexpect,feel,littl,overwhelm,aspect,life,need,thing,prepar,differ,thing,classifi,unexpect, , , , , , , , , , , , 
feel,uncertain,thing,martin,admit,thursday,night,broadway,premier,evita,andrew,lloyd,webber,music, , , , , , , , , , , , , , , , , , 
feel,littl,distraught,decid,watch,movi, , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,littl,shaken, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,vulner,right,take,power,run, , , , , , , , , , , , , , , , , , , , , , , , , , 
marri,felt,stabl,stress,know,stress,nt,feel,uncertain, , , , , , , , , , , , , , , , , , , , , , , 
feel,unsur,like,constant,fail, , , , , , , , , , , , , , , , , , , , , , , , , , , 
wake,morn,feel,agit,restless, , , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,pressur,skip,meal,lie,tell,nt,feel,differ,calori,oppos, , , , , , , , , , , , , , , , , , , , , 
struck,strong,emot,feel,overwhelm, , , , , , , , , , , , , , , , , , , , , , , , , , , 
felt,bit,voyeurist,watch,feel,bit,uncomfort, , , , , , , , , , , , , , , , , , , , , , , , , 
went,pool,wednesday,feel,littl,apprehens,couldn,t,perform,monday, , , , , , , , , , , , , , , , , , , , , , 
wouldn,t,feel,paranoid, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,terrifi,insofar,remain,remot,chanc,assum,power,sorri, , , , , , , , , , , , , , , , , , , , , , , 
feel,blind,terrifi,gluttoni,nt,think,solut,awkward,slumber,parti,mama, , , , , , , , , , , , , , , , , , , , , 
feel,bit,shaki,like,mini,panic,attack, , , , , , , , , , , , , , , , , , , , , , , , , 
feel,david,remind,frighten,elbow,end,nd,ko, , , , , , , , , , , , , , , , , , , , , , , , 
feel,littl,shi,ask,shrini,kind,place, , , , , , , , , , , , , , , , , , , , , , , , , 
absolut,hate,truli,take,vers,heart,doesn,t,matter,feel,overwhelm,joy,jesus,give,salvat,abl,bring, , , , , , , , , , , , , , , 
feel,slight,apprehens,seminar,feel,relax,follow,talk,histori,dept, , , , , , , , , , , , , , , , , , , , , , 
think,compel,act,meek,asian,kind,feel,tad,inhibit,extent,nt, , , , , , , , , , , , , , , , , , , , , 
expert,simpli,filmmak,feel,uncomfort,speak,level,higher,audienc,especi,real,expert,audienc,know,medic,radiat,issu, , , , , , , , , , , , , , , 
feel,scare,uncomfort,bee,wasp,differ,matter, , , , , , , , , , , , , , , , , , , , , , , , , 
feel,helpless,way,claud,mckay,felt,poetri, , , , , , , , , , , , , , , , , , , , , , , , , 
feel,strang,googl,find,comfort,mom,experienc,situat,have, , , , , , , , , , , , , , , , , , , , , , , 
nt,moment,feel,uncertain,s,go, , , , , , , , , , , , , , , , , , , , , , , , , , 
understand,new,chang,technolog,inevit,fact,open,opportun,histori,feel,threaten,choos,cling,past,expect,rest,world, , , , , , , , , , , , , , , 
feel,scare,need,thing,ve,have,greatest,support,truli,worrisom, , , , , , , , , , , , , , , , , , , , , , 
find,later,didn,t,feel,strang,wear,short, , , , , , , , , , , , , , , , , , , , , , , , 
feel,like,s,hide,said,slowli,unsur, , , , , , , , , , , , , , , , , , , , , , , , , 
thing,like,regardless,bad,comment,longer,feel,afraid,thing,want,sake,happi,laugh,danc,sing,slightest,fear,tri,heaven, , , , , , , , , , , , , 
help,feel,littl,agit,situat, , , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,hesit,write,thing,afraid,wrong,thing,wo,nt,voic,clarifi,thing,written,damag, , , , , , , , , , , , , , , , , , 
feel,littl,skeptic,got,lose, , , , , , , , , , , , , , , , , , , , , , , , , , , 
final,abl,convers,complet,stranger,feel,nervous,anxious,thing,got,better, , , , , , , , , , , , , , , , , , , , , 
hope,feel,slight,threaten, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
don,t,think,resist,know,foreign,think,chronic,insecur,especi,spaniard,think,peopl,unamuno,accur,point,feel,suspici, , , , , , , , , , , , , , 
feel,scare,confront,hurt,past,probabl,feel,hurt,feel,shame, , , , , , , , , , , , , , , , , , , , , , 
don,t,courag,feel,indecis,afraid,reject, , , , , , , , , , , , , , , , , , , , , , , , , 
miss,post,birthday,nt,feel,insecur,day,spend,time,onlin, , , , , , , , , , , , , , , , , , , , , , 
hate,feel,pissi,agit, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,restless,life,sure, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
lie,bed,night,day,make,experi,usual,suspect,fabric,plastic,feel,agit,issu,proper,present,headway,cours,mere,hour, , , , , , , , , , , , , 
grade, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,like,confus, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
assumpt,base,think,feel,ve,wonder,strang,thing, , , , , , , , , , , , , , , , , , , , , , , , 
feel,shaki,d,spent,week,contempl,piss,away,life,work, , , , , , , , , , , , , , , , , , , , , , 
feel,complet,helpless,worri,stricken, , , , , , , , , , , , , , , , , , , , , , , , , , , 
tell,nesha,feel,damn,paranoid,think,funni,think,way, , , , , , , , , , , , , , , , , , , , , , , 
feel,indic,child,person,petrifi, , , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,helpless,wonder,thing,hand, , , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,feel,scare, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
believ,david,shown,actual,alright,feel,fear,anxious,day,feel,peac,happi,joy, , , , , , , , , , , , , , , , , , , 
feel,restless,last,way,long, , , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,overwhelm, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
tv,home,feel,assault,commerci, , , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,pressur,post,updat,doesn,t,mean,forc, , , , , , , , , , , , , , , , , , , , , , , , 
nt,feel,uncomfort,peopl,actual,knew,read,scare,get,judg, , , , , , , , , , , , , , , , , , , , , , 
feel,kind,pressur, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,littl,overwhelm,year,bring, , , , , , , , , , , , , , , , , , , , , , , , , , , 
argu,reason,feel,frighten,control,time, , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,discourag,uncertain,learn,new, , , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,agit,cranki,upset, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,like,peopl,read,blog,bit,nervous,whereabout,health,sobriet, , , , , , , , , , , , , , , , , , , , , , 
slept,feel,incred,vulner,fact,leav, , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,hesit,money,don,t,want,help,alcohol,stay, , , , , , , , , , , , , , , , , , , , , , , 
think,feel,bit,fear,potenti,carnag, , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,skeptic,thwart, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
start,feel,anxious,coupl,month, , , , , , , , , , , , , , , , , , , , , , , , , , , 
come,don,t,feel,threaten, , , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,vulner,broken,tamper,feel,swear, , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,inhibit, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
hold,close,feel,helpless,confid,embrac,grant,sens,secur,nurtur,final,canin,far,slowli,stab,way,swollen,gum, , , , , , , , , , , , , , 
feel,shi,m,tri,better,muslimah, , , , , , , , , , , , , , , , , , , , , , , , , , 
realis,hard,label,particular,constel,feel,attitud,bodi,sensat,feel,reluct,fear,left,shoulder,s,ear,want,run,away,s,hard, , , , , , , , , , , 
feel,restless,stare,proverbi,wall, , , , , , , , , , , , , , , , , , , , , , , , , , , 
start,feel,restless,decid,remain,calm, , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,frantic, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
capac,great,care,compass,abil,bite,metaphor,speak,feel,threaten, , , , , , , , , , , , , , , , , , , , , , 
feel,insecur, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
believ,moment,feel,til,s,skeptic,song, , , , , , , , , , , , , , , , , , , , , , , , , 
feel,night,fear,soul,fire,longer,d,offer,suffer,die, , , , , , , , , , , , , , , , , , , , , , 
feel,overwhelm,nt,know,start, , , , , , , , , , , , , , , , , , , , , , , , , , , 
run,hall,stupid,think,great,theori,manag,pursu,thing,feel,inhibit, , , , , , , , , , , , , , , , , , , , , 
stress,year,eat,comfort,needless,obes,feel,uncomfort,bodi, , , , , , , , , , , , , , , , , , , , , , , 
feel,pressur,fe, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,reluct,updat,entri,usual, , , , , , , , , , , , , , , , , , , , , , , , , , , 
time,felt,seen,correspond,photographi,nt,justifi,normal,photo,mirror,feel,terrifi,uneas,hampton,court,sun,began,set, , , , , , , , , , , , , , 
feel,deepli,petrifi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,tortur,thing,love,thing,wo,nt,support,financi,cring,think,spend,year,chain,desk,perform,job,wrote,littl,room,creativ,matter, , , , , , , , , , 
thing,feel,afraid,express,stand,believ, , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,like,ve,assault,al,side, , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,weird,wear,public,especi,know,kid, , , , , , , , , , , , , , , , , , , , , , , , , 
feel,strang,repeat,thing,review,forgotten,reviv,bare,repeat,premis,novel,kind,brilliant,uniqu, , , , , , , , , , , , , , , , , , 
feel,pressur,go,clutter,stress, , , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,like,brain,shaken,good,thought,process,fix,total,gone, , , , , , , , , , , , , , , , , , , , , , 
want,reader,feel,afraid,smith,s,victim, , , , , , , , , , , , , , , , , , , , , , , , , 
court,nd,feel,like,uptight,right, , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,like,time,admit,strang,child, , , , , , , , , , , , , , , , , , , , , , , , , , 
conceal,real,true,feel,afraid,vener,take,advantag,happen,destroy, , , , , , , , , , , , , , , , , , , , , , 
forgiv,accept,allow,want,need,desir,run,away,reflect,specif,person,event,circumst,feel,threaten, , , , , , , , , , , , , , , , , 
afraid,year,year,feel,insecur,exhaust,plain,unhappi, , , , , , , , , , , , , , , , , , , , , , , , 
want,home,sit,corridor,feel,helpless, , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,apprehens,nervous,vulner,m,wonder,peopl,go, , , , , , , , , , , , , , , , , , , , , , , , 
feel,somewhat,suspici, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
mean,feel,like,weird,thing,talk, , , , , , , , , , , , , , , , , , , , , , , , , , 
want,enjoy,holiday,feel,anxious,time,come, , , , , , , , , , , , , , , , , , , , , , , , , 
feel,littl,shi,slap,tummi,internet,feel,compel, , , , , , , , , , , , , , , , , , , , , , , , 
hear,marriag,reflect,god,love,feel,intimid, , , , , , , , , , , , , , , , , , , , , , , , , 
think,feel,shi,learn,english,wrong, , , , , , , , , , , , , , , , , , , , , , , , , , 
imagin,away,month,feel,terrifi, , , , , , , , , , , , , , , , , , , , , , , , , , , 
left,feel,confus, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,ab,thing,tortur,accountablibuddi,ab,watch, , , , , , , , , , , , , , , , , , , , , , , , , 
feel,littl,hesit,s,obvious,know,stuff, , , , , , , , , , , , , , , , , , , , , , , , , 
feel,shaken,book,yellow,slip,paper,torn,matchbook,cover,flatten,coffe,stirrer,fallen,floor,dog,ear,flap,press,smooth, , , , , , , , , , , , , 
polit,custom,s,rule,matter,polit,feel,like,threaten,game, , , , , , , , , , , , , , , , , , , , , , 
feel,colleg,face,uncertain,futur,await,come,month,consider,fear, , , , , , , , , , , , , , , , , , , , , , 
human,s,repres,feel,doubt,potenti,earth,s,candid,stare,moon,spaceship,astronaut,s,suit, , , , , , , , , , , , , , , , , 
got,home,feel,restless,mile,walk,workout,walk,ladi, , , , , , , , , , , , , , , , , , , , , , , 
feel,unsur,feel,sure,catch, , , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,apprehens,restless,day, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
scare,go,hurt,feel,shaki,talk,wait, , , , , , , , , , , , , , , , , , , , , , , , , 
smoker,year,quit,week,ago,right,finish,book,nt,believ,free,feel,knew,quit,terrifi,life,cigarett, , , , , , , , , , , , , , , 
feel,restless,discont, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
nt,feel,anxious, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
feel,suspici,motiv, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
got,home,work,hour,nt,feel,agit,call,ask,fashion,place,mall,ask,want,come, , , , , , , , , , , , , , , , , 
think,feel,like,andrew,peterson,get,weird,tension,ach,know,imperfect,live,day,day,have,impuls,feel,gratitud,kind,joy,lie,hidden,underneath, , , , , , , , , 
ask,half,laugh,half,think,feel,suspici, , , , , , , , , , , , , , , , , , , , , , , , , 
