t,a,wc,uwc,ewc,cpc,hc,sc,fc,ac
Enjoying long catch Paul Foster ! wait exciting future projects x,0,0.136,0.000,0.091,0,0.091,0.091,0.000,0.000
"Got ta clean car , fix phone screenandget Christmas shopping today agenda",0,0.148,0.000,0.167,0,0.083,0.000,0.000,0.000
mOod . way fun . lol . . lOve dance TEchno ! ! ! <3 . . . life . lOve . stress andand . set backs <3 gnite,0,0.358,0.000,0.103,5,0.138,0.000,0.000,0.034
Movies tonight wittth bunch people . . ;),0,0.099,0.000,0.125,2,0.000,0.000,0.000,0.000
"got bit neckache going hard ( going home ) Alternative night . mean , nearly",0,0.185,0.000,0.000,0,0.067,0.000,0.000,0.000
Goin mall gon na movie ghost gfs past hope good m goin ilook cute feel good ^^,0,0.210,0.000,0.000,0,0.176,0.000,0.000,0.059
De nazi zijn nog zit hier een vent met een gigantisch hakenkruis op zn hand,0,0.185,0.000,0.000,0,0.000,0.000,0.067,0.000
1 PJ watching movies . Family time day 2 ! Oh love Holiday ! :),0,0.185,0.067,0.133,1,0.200,0.000,0.000,0.000
"Loving sun today , thought revising . good day , Kates afty , shit day bless x",0,0.210,0.000,0.176,0,0.176,0.000,0.059,0.000
", finally got Twitter . Let hope good use site",0,0.123,0.000,0.100,0,0.200,0.000,0.000,0.000
smoking weed watch 12 pull somebody joyous thing .,0,0.111,0.000,0.111,0,0.000,0.000,0.000,0.000
"triumphing wicked short , joy hypocrite moment ? & 20:5 ( KJV )",0,0.160,0.077,0.154,0,0.077,0.000,0.000,0.077
"Seriously Matthew Atlas . Listening "" North "" EP repeat .",0,0.136,0.091,0.182,0,0.000,0.000,0.000,0.000
absent saturday B- ) ! Soo long weekend * PARTY * ! ! ! ! ! !,0,0.210,0.118,0.118,7,0.059,0.059,0.000,0.000
"foods , barton springs , yogurt spot oasis = perfect day austin .",0,0.160,0.000,0.077,0,0.077,0.000,0.000,0.000
"like 10P kick - Bank Holiday , dig haircut Luke ! stop . . . Selfridges",0,0.198,0.062,0.125,2,0.125,0.000,0.062,0.000
thousandth sinus infection year,0,0.049,0.000,0.250,0,0.000,0.000,0.000,0.250
congestion hurr . Better office assignment mwe . Pick n Pay missions .,0,0.160,0.000,0.000,0,0.000,0.000,0.000,0.000
ages ve shawarma stomach,0,0.049,0.000,0.000,0,0.000,0.000,0.000,0.000
work tomorrow ! Good times ! Revision,0,0.086,0.000,0.143,0,0.143,0.000,0.000,0.000
love watching kids santa mall,0,0.062,0.000,0.000,0,0.600,0.000,0.000,0.000
HAHA ! Follow john mayer . . pretty funny guy want L . . . . . fun !,0,0.235,0.105,0.000,5,0.053,0.000,0.000,0.000
"Took 13 minutes pilot episode Knight Rider , "" , got weird . """,0,0.173,0.000,0.143,3,0.000,0.000,0.000,0.000
setting grandpas tv dad x_x,0,0.062,0.000,0.000,0,0.000,0.000,0.000,0.000
"day chillaxing catching tv shows : "")",0,0.086,0.000,0.000,1,0.000,0.000,0.000,0.000
Working double morning training new person,0,0.074,0.000,0.167,0,0.000,0.000,0.000,0.000
come strapping board plummeting makes damned happy ? !,0,0.111,0.000,0.000,1,0.111,0.000,0.111,0.111
"overall , tonight snl = epic win .",0,0.099,0.000,0.125,0,0.125,0.000,0.000,0.000
completed Christmas shopping,0,0.037,0.000,0.333,0,0.667,0.000,0.000,0.000
Lil R started talking . . . mouth runs constantly . . . turmoil blabbers n spit ! !,0,0.235,0.053,0.053,5,0.000,0.053,0.053,0.053
"Oh god sheer relief feel having endure pt session "" J "" worth losing cash .",0,0.198,0.062,0.000,0,0.062,0.062,0.000,0.000
Thigh muscles burning thanks Andddd wear heels tonight,0,0.099,0.000,0.125,0,0.125,0.000,0.000,0.000
"' Tis unbelievable feeling . cry , laugh scream voice ; able u understand ! :')",0,0.198,0.000,0.000,0,0.062,0.062,0.062,0.062
"laughed today picture lauren , chest hurts .",0,0.099,0.000,0.125,0,0.125,0.125,0.125,0.125
"Christmas tree place , Nutcracker stereo , hot chocolate bellies . Time decorate !",0,0.173,0.000,0.071,0,0.071,0.000,0.071,0.000
getting work . . . attempting Christmas tree !,0,0.111,0.000,0.111,2,0.111,0.000,0.000,0.000
Ok found way . . . think tonight let let dance time !,0,0.160,0.000,0.077,2,0.077,0.000,0.000,0.000
"like bring people , ai nt time ?",0,0.099,0.000,0.000,0,0.125,0.000,0.000,0.000
"Gahh , kind nervous talk tomorrow . . Ohh joy . Let times mess . .",0,0.198,0.000,0.062,2,0.062,0.000,0.000,0.062
wait sleep tomorrow ! study tonight tomorrow night oh 3 essays !,0,0.148,0.000,0.333,0,0.000,0.000,0.000,0.000
"Christmas decorations , try find today holiday season .",0,0.111,0.000,0.222,0,0.222,0.000,0.000,0.000
"wiErD , jUs LuV rAiNy DaYs ! MaKeS feeL waRm cOzY iNsIdE LoL",0,0.160,0.000,0.154,0,0.077,0.000,0.000,0.000
Awkwardly getting gas mexicans rednecks stare,0,0.074,0.000,0.000,0,0.000,0.000,0.000,0.000
Fun water park dinner rainforest cafe ( free ! ) party tonight pretty good Saturday think .,0,0.210,0.000,0.118,1,0.235,0.000,0.000,0.000
"Christmas Time ! Landon , Paige read Night Christmas , watched Charlie Brown Christmas Special !",0,0.198,0.000,0.250,0,0.250,0.000,0.000,0.000
Got damn . tired shit . Bad day plans messed,0,0.123,0.000,0.100,0,0.000,0.000,0.300,0.100
write essay 10:00 tomorrow morning,0,0.062,0.000,0.400,0,0.000,0.000,0.000,0.000
Abc family tonight . Christmas season !,0,0.086,0.000,0.286,0,0.286,0.000,0.000,0.000
mehh . watch videos legalities nursing home staff . Oh,0,0.123,0.000,0.000,0,0.100,0.000,0.000,0.000
"Good night , Twitter world ! Wish good sleep / productive jovial days ! :)",0,0.185,0.000,0.067,1,0.200,0.000,0.000,0.000
"Got 5 hours sleep , teach yoga play 2 soccer games hour away",0,0.160,0.000,0.154,0,0.077,0.000,0.000,0.000
ordered henna ! redhead weeks .,0,0.074,0.000,0.167,0,0.000,0.000,0.000,0.000
""" doubt joy flows thankful heart . "" Need joy ? thankful !",0,0.160,0.000,0.000,1,0.231,0.000,0.000,0.000
Uh wonderful finsh book today . . .,0,0.099,0.000,0.125,2,0.125,0.000,0.000,0.000
2 hour swim practice,0,0.049,0.000,0.250,0,0.000,0.000,0.000,0.000
5 K running race alive !,0,0.074,0.167,0.167,0,0.167,0.000,0.000,0.000
thinking song use chilled edition video !,0,0.086,0.000,0.000,0,0.000,0.000,0.000,0.000
"red wine , trash tv",0,0.062,0.000,0.000,0,0.000,0.000,0.000,0.000
Shower lunch afternoon classesss,0,0.049,0.000,0.250,0,0.000,0.000,0.000,0.000
"min . stimulate biz . 18 % sale , good customer service , awards , Breast cancer camp . , koozies , product variety",0,0.296,0.000,0.042,1,0.083,0.042,0.042,0.042
time start studying finals,0,0.049,0.000,0.000,0,0.000,0.000,0.000,0.000
"Starting internship today , pretty excited !",0,0.086,0.000,0.143,0,0.143,0.000,0.000,0.000
"New word day : "" Whoore lure "" yes . . . new word cologne . Thanks Mike Harding",0,0.235,0.000,0.158,3,0.053,0.000,0.000,0.000
"? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? , ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? , ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? , ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? . . . magic Rafi singing Shammi Kapoor",0,1.000,0.000,0.025,75,0.025,0.000,0.000,0.000
Bout great day ! !,0,0.062,0.000,0.000,1,0.200,0.000,0.200,0.000
"weekend relaxing . . cousin place watch tv series "" Tru Calling "" cool",0,0.173,0.000,0.143,1,0.071,0.000,0.000,0.000
spread gun Contra moment + Duck Tales school channel + cleavage =,0,0.148,0.000,0.167,0,0.000,0.000,0.083,0.083
Greatest : appreciated things expectations,0,0.062,0.000,0.000,0,0.200,0.000,0.000,0.000
Choir concert tonight .,0,0.049,0.000,0.250,0,0.000,0.000,0.000,0.000
"office Buble countdown , gon na singing live Radio 1 .",0,0.136,0.000,0.091,0,0.091,0.000,0.000,0.000
"Eating , crashing early . Got ta 5",0,0.099,0.000,0.125,0,0.000,0.125,0.000,0.125
Operation Essay Xmas starts today .,0,0.074,0.000,0.333,0,0.167,0.000,0.000,0.000
Mango face mask . . . Let pampering begin,0,0.111,0.000,0.000,2,0.000,0.000,0.000,0.111
"Caged room books . Feeling blue . Good thing playing , hours : D",0,0.173,0.071,0.071,0,0.143,0.000,0.000,0.000
looking forward finale RACE week ! Missing castle girls . . . Race fans welcome watch chez moi . . .,0,0.259,0.048,0.048,4,0.048,0.048,0.000,0.000
""" unwavering gladness heart transcends outward circumstances . """,0,0.111,0.000,0.000,1,0.222,0.000,0.000,0.000
"Det är fortfarande två dagar kvar tills min man kommer hem . Två dagar fyllda med "" kränga på ungen vinterkläder och gå ut med hunden """,0,0.333,0.000,0.000,0,0.000,0.000,0.000,0.000
single problem face solved nice blend patience optimism,0,0.099,0.000,0.000,0,0.125,0.000,0.000,0.000
picked new car started bad stuck Bristol fartherinlaw got blow way locking nut,0,0.160,0.000,0.077,0,0.000,0.000,0.077,0.077
"Slept day , feel accomplished . . Time introduction phrases , oh boy ! ! !",0,0.198,0.000,0.000,3,0.062,0.000,0.000,0.000
Spanish recitation today . O . o,0,0.086,0.143,0.286,0,0.000,0.000,0.000,0.000
smiling :),0,0.025,0.000,0.000,0,0.500,0.000,0.000,0.000
: inexpresable joy trials faith tested proven genuine . 1 Peter 6 - 9,0,0.173,0.000,0.143,0,0.071,0.000,0.000,0.000
"Busy day pub lunching birthday party 2 yr old ! 1st looking forward . . . 2nd , ! !",0,0.247,0.000,0.200,4,0.100,0.000,0.000,0.000
victory bulldogs celebrated 3 white chocolate cheesecakes nom nom nom WHATTA FATTYYY,0,0.148,0.167,0.083,0,0.167,0.000,0.000,0.000
eugh know buy boyfriend Christmas !,0,0.074,0.000,0.167,0,0.167,0.000,0.000,0.000
Having bad hair day,0,0.049,0.000,0.000,0,0.000,0.000,0.250,0.250
time bring Relient K Christmas albums .,0,0.086,0.143,0.286,0,0.143,0.000,0.000,0.000
eagle landed Phoenix Ironically colder desert SF .,0,0.099,0.125,0.250,0,0.000,0.125,0.000,0.125
Galskap med matteforelesning på en lørdag ! Stappfullt en halvtime før start .,0,0.160,0.000,0.154,0,0.000,0.000,0.000,0.000
hungover day family thanksgiving dinner . .,0,0.086,0.000,0.143,1,0.286,0.000,0.000,0.000
think understand happy found red pea coat .,0,0.099,0.000,0.000,0,0.125,0.000,0.000,0.000
tomorrow valeria lunch ! ! ! going hair m arraving late got cousins babtizm spell,0,0.185,0.000,0.067,2,0.000,0.000,0.000,0.000
Ready long nap round stuffing face :),0,0.086,0.000,0.000,0,0.000,0.143,0.000,0.000
Today starts 25 days Christmas y ! ❤,0,0.099,0.000,0.250,0,0.125,0.000,0.000,0.000
"Abundance : seeing lots lots family , eat lots delicious food , beautiful places repeatedly days .",0,0.210,0.000,0.059,0,0.235,0.000,0.000,0.000
"Joy . matter season , circumstance , company - Joy goal .",0,0.148,0.000,0.000,0,0.000,0.000,0.000,0.000
"Wow ! , coffee hand outside . peaceful Sunday mornings .",0,0.136,0.000,0.182,1,0.091,0.000,0.000,0.000
Waking bad pain stomach best alarm clock :|,0,0.099,0.000,0.000,0,0.000,0.125,0.125,0.375
"Monday rolls , life school consist practice chiropractor",0,0.099,0.000,0.125,0,0.000,0.000,0.000,0.000
"passed drivers test ! drive ! . . . oh wait , turn 16 till october",0,0.198,0.000,0.062,3,0.000,0.000,0.000,0.000
Truth : find sharing Gospel !,0,0.074,0.000,0.000,0,0.000,0.000,0.000,0.000
Looking fwd finally meeting great friend tomorrow ! ! !,0,0.123,0.000,0.100,2,0.200,0.000,0.000,0.000
"Feeling lot love hope baby Holly , baby born family 19 years",0,0.148,0.000,0.167,0,0.417,0.000,0.000,0.000
going birthday party tonite,0,0.049,0.000,0.000,0,0.500,0.000,0.000,0.000
14 hours shopping deal vomiting animals,0,0.074,0.000,0.167,0,0.167,0.000,0.000,0.000
"goodnight , twitterland ! hope weekends going great !",0,0.111,0.000,0.111,0,0.222,0.000,0.000,0.000
man bus stop smells like public toilet .,0,0.099,0.000,0.000,0,0.125,0.000,0.000,0.000
thinks castles fun,0,0.037,0.000,0.000,0,0.333,0.000,0.000,0.000
gone rest ACT morning . . . ! sike . . . smh .,0,0.173,0.071,0.071,5,0.000,0.000,0.000,0.000
. . . Human existence fullest extent,0,0.086,0.000,0.000,2,0.000,0.000,0.000,0.000
"Mon Celtic , cheer - place , soaked wee nephew Birthday ffs , started , dropped .",0,0.210,0.000,0.118,0,0.118,0.000,0.000,0.000
finals week feel good,0,0.049,0.000,0.250,0,0.250,0.000,0.000,0.000
Listening sister sing Christmas music .,0,0.074,0.000,0.167,0,0.500,0.000,0.000,0.000
"went got pedicure manicure 2daii ! ! ! ! den sunbathed daii ! ! ! ! BEST DAY EVA ! ! ! ! ! oh yeh , . . . . teeny bit study",0,0.420,0.088,0.059,14,0.000,0.000,0.000,0.000
admitted having crush . . cool,0,0.074,0.000,0.000,1,0.000,0.167,0.167,0.167
Goin home fot time school school started,0,0.086,0.000,0.000,0,0.143,0.000,0.000,0.000
"going preview tonight , work . . .",0,0.099,0.000,0.125,2,0.000,0.000,0.000,0.000
Drinking water chore throat . thanks lovely voice coach horrid cold .,0,0.148,0.000,0.000,0,0.167,0.083,0.083,0.083
"Wooow , charged iPod Touch day today , ALIVE ! coolio",0,0.136,0.091,0.273,0,0.091,0.000,0.000,0.000
fun ! got retweeted bot,0,0.062,0.000,0.000,0,0.200,0.000,0.000,0.000
Screaming children waiting room .,0,0.062,0.000,0.000,0,0.000,0.000,0.200,0.200
naps later feel like suffering bad hangover,0,0.086,0.000,0.000,0,0.143,0.143,0.143,0.286
"sure ill sick , babies coughing sneezing . .",0,0.111,0.000,0.000,1,0.111,0.222,0.000,0.222
Time sleep andand waking early study .,0,0.086,0.000,0.143,0,0.000,0.000,0.000,0.000
BREAKING NEWS OCU ! ! ! SUSAN ( Caf / Sudexo employee ) RETURNING ! !,0,0.198,0.312,0.125,3,0.000,0.000,0.000,0.000
wanna UPPPPPP,0,0.025,0.500,0.000,0,0.000,0.000,0.000,0.000
"1 Timothy 4:12 let 1 depise u 4 youth , set believers example n speech , n conduct , n love n faith , n purity",0,0.321,0.000,0.115,1,0.077,0.000,0.000,0.000
Road lesson bit . . . .,0,0.086,0.000,0.000,3,0.000,0.000,0.000,0.000
Want Darren open video appreciate hilarity,0,0.074,0.000,0.167,0,0.333,0.000,0.000,0.000
"1st place competition , superior .",0,0.074,0.000,0.167,0,0.000,0.000,0.000,0.000
DAD COMING HOME IRAQ MONTHS EARLY ! !,0,0.099,0.750,0.000,1,0.125,0.000,0.000,0.000
"Coursework handed ! - criminal coursework , Black Mirror applications !",0,0.136,0.000,0.091,1,0.000,0.000,0.091,0.091
Headed WMC day . Hopefully time swing Chinatown way home . mood duck !,0,0.173,0.071,0.000,0,0.143,0.000,0.000,0.000
Christmas Break= bitches jerks hated high school coming home entire month .,0,0.148,0.000,0.167,0,0.167,0.083,0.250,0.083
"Despite tweet yesterday , actually HPER morning class .",0,0.111,0.111,0.222,0,0.000,0.000,0.000,0.000
thought waking work tomorrow makes feel SICK,0,0.086,0.143,0.143,0,0.000,0.143,0.000,0.143
"Hi Charlie , thank following ! Nice know Ollmann new world . . .",0,0.173,0.000,0.143,2,0.071,0.000,0.000,0.000
"★ Good day ★ sunshine ur heart soul , weather cooperate w/ ur mood !",0,0.185,0.000,0.133,0,0.267,0.000,0.000,0.000
honestly nt believe think right . sick reading questions . got ta study marketing exam tomorrow .,0,0.210,0.000,0.059,0,0.000,0.059,0.000,0.059
excited 25 days Christmas :),0,0.062,0.000,0.200,0,0.400,0.000,0.000,0.000
best time day comes : cooking food listen new music 2012 schedule !,0,0.160,0.000,0.077,0,0.077,0.000,0.000,0.000
praise session work today :D,0,0.062,0.200,0.200,0,0.200,0.000,0.000,0.000
"cold rock , choc mint+bubblegum+cookie+flake+nerds= YUM ! ! ! ! XD . fun day .",0,0.185,0.133,0.000,3,0.067,0.000,0.000,0.000
literally searching ways avoid writing theater paper .,0,0.099,0.000,0.000,0,0.000,0.000,0.000,0.000
pair clean socks house high pink yellow sparkley argyle socks . . gym today .,0,0.185,0.000,0.067,1,0.000,0.000,0.000,0.000
instant - messaging favourite conversation guys,0,0.074,0.000,0.000,0,0.000,0.000,0.000,0.000
loove open refrigerator find midnight snake,0,0.074,0.000,0.167,0,0.000,0.000,0.000,0.167
perfect live earth . . day meet Face face .,0,0.123,0.000,0.000,1,0.100,0.000,0.000,0.000
cup tea bed,0,0.037,0.000,0.000,0,0.000,0.000,0.000,0.000
DIY- dying mg clothes black . . . save money,0,0.123,0.100,0.000,2,0.100,0.100,0.000,0.100
GREAT DAY tweeps ! ! ! Love y ' live w/ Christ today ! ! !,0,0.198,0.125,0.188,4,0.188,0.000,0.000,0.000
Oowweee ! ! ! China club wuz poppin ! ! ! Lipstic n Pumps effect !,0,0.198,0.000,0.125,4,0.062,0.000,0.000,0.000
teach bunch Year 7 play cricket tomorrow .,0,0.099,0.000,0.250,0,0.125,0.000,0.000,0.000
", love Coldplay know said . . . makes heart sing",0,0.136,0.000,0.091,2,0.273,0.000,0.000,0.000
Plan assignment . need write bloody thing .,0,0.099,0.000,0.000,0,0.000,0.125,0.125,0.125
optimism tomorrow foundation today .,0,0.062,0.000,0.400,0,0.200,0.000,0.000,0.000
cheering NA team . want Gaudreau comes piece . getting way risky,0,0.148,0.083,0.167,0,0.083,0.000,0.000,0.083
Squashed fat people fallen asleep,0,0.062,0.000,0.000,0,0.000,0.000,0.000,0.000
sooo pleased sun shining today ! garden come,0,0.099,0.000,0.125,0,0.250,0.000,0.000,0.000
haha bored . . . happy mothers day !,0,0.111,0.000,0.000,2,0.111,0.000,0.000,0.000
"love God , beautiful .",0,0.062,0.000,0.000,0,0.600,0.000,0.000,0.000
resting . ahhhhh . feel good,0,0.074,0.000,0.000,0,0.167,0.000,0.000,0.000
day non stop fun ! Jam packed cleaning washing .,0,0.123,0.000,0.200,0,0.100,0.000,0.000,0.000
got freakin macbook ! ! ! ! ! hoorayyy ! freakin deleted phootbooth .,0,0.173,0.000,0.000,6,0.000,0.000,0.000,0.000
", accumulating money , use fancy finance app . Thinking getting CD IRA . saving house . crazy !",0,0.235,0.105,0.000,0,0.105,0.000,0.053,0.053
Dress Hanging Shoulder Barely Sober,0,0.062,0.000,0.000,0,0.000,0.200,0.200,0.200
"ooh lovely , ridiculous revision left",0,0.074,0.000,0.000,0,0.167,0.167,0.167,0.000
Christmas music ! <3 Christmas season !,0,0.086,0.000,0.143,0,0.429,0.000,0.000,0.000
"1st- TY follow . 2nd - grrr , cuz messes able follow u want ur 2000 +",0,0.210,0.059,0.176,0,0.000,0.000,0.059,0.000
"early loads do- suns , hurrah !",0,0.086,0.000,0.000,0,0.143,0.000,0.000,0.000
relaxing night home best people,0,0.062,0.000,0.200,0,0.400,0.000,0.000,0.000
LETS TRY KIND LET CAUSE ANGRY SAD,0,0.086,1.000,0.000,0,0.143,0.143,0.143,0.000
Got powderpuff outfit finally planned : ) . . . homework .,0,0.148,0.000,0.000,4,0.000,0.000,0.000,0.000
world world away .,0,0.049,0.000,0.000,0,0.000,0.000,0.000,0.000
<3 new picture ! pretty reflecting sunlight leaves !,0,0.111,0.000,0.111,0,0.000,0.000,0.000,0.000
"school tomorrow . Going practice , sit .",0,0.099,0.000,0.000,0,0.000,0.000,0.000,0.000
"fantastic day ! fit went 140 characters , thrilled !",0,0.123,0.000,0.100,0,0.100,0.000,0.100,0.000
Met Mother ? Best,0,0.049,0.000,0.000,0,0.000,0.000,0.000,0.000
"boss likes stand office smile like shark : maliciously gleeful , ask secret tell .",0,0.185,0.000,0.000,0,0.200,0.067,0.067,0.067
Working gap today :p,0,0.049,0.000,0.250,0,0.000,0.000,0.000,0.000
Happy Star Wars Day ! 4th xxx,0,0.086,0.000,0.143,0,0.143,0.000,0.000,0.143
MOO cards holiday cards arrived !,0,0.074,0.167,0.167,0,0.167,0.000,0.000,0.000
mom sounded like bird coo coo cocoa puffs . excited Christmas tree tomorrow .,0,0.173,0.000,0.143,0,0.214,0.000,0.000,0.000
Home time summer,0,0.037,0.000,0.333,0,0.667,0.000,0.000,0.000
Gma Says Ginger Ale Says Ale -__-,0,0.086,0.000,0.429,0,0.000,0.000,0.000,0.000
Think time finish homework,0,0.049,0.000,0.000,0,0.000,0.000,0.000,0.000
unbelievably exciting day laundry grease removal,0,0.074,0.000,0.167,0,0.167,0.000,0.000,0.000
"// happy Star Wars Day , 4th",0,0.086,0.000,0.143,0,0.143,0.000,0.000,0.143
new day ! m ready face future :) &,0,0.111,0.000,0.000,1,0.000,0.000,0.000,0.000
"know love working HR ? Offering 16 people jobs day 15 whooping , clapping crying .",0,0.198,0.062,0.125,0,0.062,0.062,0.000,0.000
kristine looking like crazy ? ? ? ? happy food brings,0,0.136,0.000,0.000,3,0.182,0.000,0.091,0.091
Miss baby friday ☺,0,0.049,0.000,0.250,0,0.250,0.250,0.000,0.000
"Home . bed , super duper excited tomorrow .",0,0.111,0.000,0.111,0,0.333,0.000,0.000,0.000
hahahahaha let tweet ! hours need . . . .,0,0.123,0.000,0.100,3,0.000,0.000,0.000,0.000
year working Black Friday ! !,0,0.074,0.000,0.167,1,0.000,0.000,0.000,0.000
going cinema ghost girlfriends past !,0,0.074,0.000,0.000,0,0.000,0.000,0.000,0.167
got home 2 week mission trip- tanned tired definitely challenged spiritually,0,0.136,0.000,0.091,0,0.091,0.000,0.000,0.000
Excited Rove tonight ! Jennifer Garner Gina Riley !,0,0.111,0.000,0.444,0,0.111,0.000,0.000,0.000
Straighening hair going straight want bummerrr,0,0.074,0.000,0.000,0,0.000,0.000,0.000,0.000
Highlight day . . . . talking 17 month old nephew Saron aka Pooh Bear . :-),0,0.210,0.000,0.235,4,0.000,0.000,0.000,0.059
PUSH amazing,0,0.025,0.500,0.000,0,0.500,0.000,0.000,0.000
"Eating Wich , yumm ! nt think season ended",0,0.111,0.000,0.000,0,0.000,0.000,0.000,0.000
"right smart person help , downloaded new twitter iphone app bloody thing keeps freezing/ app wo nt open ? :|",0,0.247,0.000,0.000,1,0.000,0.050,0.050,0.050
turn 25 weeks . happy . 24 darkest year . elated survived,0,0.148,0.000,0.167,0,0.167,0.000,0.000,0.000
Brother gone black Friday sales . . wrestling morning .,0,0.123,0.000,0.100,1,0.100,0.000,0.000,0.000
sit proud pleasing .,0,0.049,0.000,0.000,0,0.500,0.000,0.000,0.000
started glee beginning n crying babies love children,0,0.099,0.000,0.000,0,0.375,0.125,0.000,0.000
"thank goodness HTC charger , listen olly , JLS jedward , whilst charging ipod :')",0,0.185,0.133,0.133,0,0.133,0.000,0.000,0.000
Today going homework day . week going study week .,0,0.123,0.000,0.200,0,0.000,0.000,0.000,0.000
algebra 2 test tomorrow,0,0.049,0.000,0.500,0,0.000,0.000,0.000,0.000
Christmas lights ? Check ! :) time decorate inside . .,0,0.136,0.000,0.091,2,0.091,0.000,0.000,0.000
"ChocoSlam brother . usual , failures . finally burnt tongue . HAHAHAHA ! Stupid .",0,0.185,0.067,0.067,0,0.067,0.067,0.000,0.067
"ergh think hangover officially set , time write chemistry essay",0,0.123,0.000,0.000,0,0.000,0.000,0.000,0.000
Idk . . . love dance . . . great . . . song heart . . .,0,0.222,0.000,0.000,8,0.222,0.000,0.000,0.000
throat ear hurting . good .,0,0.074,0.000,0.000,0,0.167,0.167,0.167,0.167
Hate submitted essay took forever given .,0,0.086,0.000,0.000,0,0.000,0.143,0.143,0.143
home super scared,0,0.037,0.000,0.000,0,0.667,0.000,0.333,0.333
work tomorrow 1O 5 class 7O5 935 - . -,0,0.123,0.200,0.200,2,0.000,0.000,0.000,0.000
beautiful stay inside,0,0.037,0.000,0.000,0,0.333,0.000,0.000,0.000
time year BEST time year . . makes happy . . heavy sigh *,0,0.173,0.071,0.000,2,0.071,0.000,0.000,0.000
"got German speaking exam , Christmas",0,0.074,0.000,0.333,0,0.167,0.000,0.000,0.000
spilled beer leg . Wasted half beer . Home . met cute girl . Good conversation .,0,0.210,0.000,0.059,0,0.118,0.000,0.000,0.000
short break inputting putting payslips envelopes ! inputting,0,0.099,0.000,0.000,0,0.000,0.000,0.000,0.000
good day selling Feria Urbana . ladies love laser - cut felt .,0,0.160,0.000,0.077,0,0.154,0.000,0.000,0.000
Health social cw Smedders ☑ Psychology Pye ☑ science revision finish H+S,0,0.148,0.083,0.083,0,0.000,0.000,0.000,0.000
added 30 minutes morning sleep cutting useless Today . Feels nice,0,0.136,0.000,0.182,0,0.000,0.000,0.000,0.000
GOD GOOD . . . . 2011 PROMISED INCREASE YEAR . . . . SERVE GOD KEEPS PROMISES HEAR . .,0,0.259,0.476,0.048,7,0.143,0.000,0.000,0.000
""" Bad words crutch , lead tattoos peircings ! "" Hahahaha !",0,0.148,0.000,0.000,1,0.000,0.000,0.083,0.083
